team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
KC,16.0,420.0,630.0,66.7,4854.0,7.9,303.4,75.0,40.0,7.0,24.0,151.0,107.3,2020,403.0,1799.0,4.5,112.4,32.0,13.0,5.0,1.0,420.0,5005.0,11.9,312.8,75.0,40.0,7.0,5.0,397.0,110.0,255.0,32.0,95.0,194.0,49.0,9.0,16.0,56.3,105.0,919.0
TB,16.0,410.0,626.0,65.5,4626.0,7.6,289.1,50.0,42.0,12.0,22.0,150.0,102.8,2020,369.0,1519.0,4.1,94.9,98.0,16.0,3.0,1.0,410.0,4776.0,11.6,298.5,50.0,42.0,5.0,3.0,364.0,82.0,238.0,44.0,83.0,191.0,43.5,8.0,14.0,57.1,84.0,715.0
BUF,16.0,410.0,596.0,68.8,4620.0,8.0,288.8,56.0,40.0,11.0,27.0,166.0,107.5,2020,411.0,1723.0,4.2,107.7,51.0,16.0,6.0,5.0,410.0,4786.0,11.7,299.1,56.0,40.0,3.0,2.0,397.0,119.0,240.0,38.0,93.0,187.0,49.7,8.0,10.0,80.0,102.0,941.0
HOU,16.0,383.0,546.0,70.1,4538.0,8.9,283.6,77.0,33.0,7.0,50.0,305.0,112.3,2020,344.0,1466.0,4.3,91.6,48.0,10.0,7.0,4.0,383.0,4843.0,12.6,302.7,77.0,33.0,7.0,3.0,326.0,83.0,222.0,21.0,83.0,193.0,43.0,9.0,16.0,56.3,80.0,619.0
ATL,16.0,408.0,628.0,65.0,4363.0,7.4,272.7,63.0,27.0,11.0,41.0,257.0,93.9,2020,409.0,1532.0,3.7,95.8,62.0,13.0,5.0,3.0,408.0,4620.0,11.3,288.8,63.0,27.0,5.0,2.0,366.0,86.0,243.0,37.0,97.0,221.0,43.9,15.0,26.0,57.7,83.0,736.0
LAC,16.0,413.0,627.0,65.9,4329.0,7.3,270.6,72.0,31.0,10.0,34.0,219.0,97.0,2020,466.0,1784.0,3.8,111.5,36.0,12.0,8.0,2.0,413.0,4548.0,11.0,284.3,72.0,31.0,3.0,2.0,373.0,111.0,226.0,36.0,99.0,224.0,44.2,12.0,25.0,48.0,85.0,710.0
LV,16.0,369.0,551.0,67.0,4217.0,8.0,263.6,85.0,28.0,10.0,28.0,166.0,100.4,2020,457.0,1916.0,4.2,119.8,43.0,20.0,9.0,4.0,369.0,4383.0,11.9,273.9,85.0,28.0,4.0,4.0,359.0,121.0,206.0,32.0,91.0,198.0,46.0,16.0,21.0,76.2,98.0,856.0
DAL,16.0,413.0,639.0,64.6,4161.0,7.1,260.1,69.0,25.0,13.0,44.0,349.0,89.9,2020,430.0,1788.0,4.2,111.8,42.0,14.0,7.0,5.0,413.0,4510.0,10.9,281.9,69.0,25.0,3.0,3.0,371.0,115.0,231.0,25.0,87.0,215.0,40.5,17.0,31.0,54.8,96.0,849.0
GB,16.0,372.0,526.0,70.7,4106.0,8.2,256.6,78.0,48.0,5.0,21.0,193.0,121.5,2020,443.0,2118.0,4.8,132.4,77.0,16.0,4.0,1.0,372.0,4299.0,11.6,268.7,78.0,48.0,3.0,2.0,358.0,114.0,216.0,28.0,89.0,180.0,49.4,13.0,21.0,61.9,84.0,684.0
DET,16.0,374.0,582.0,64.3,4104.0,7.6,256.5,73.0,27.0,13.0,42.0,293.0,93.3,2020,367.0,1499.0,4.1,93.7,54.0,17.0,5.0,5.0,374.0,4397.0,11.8,274.8,73.0,27.0,1.0,0.0,350.0,93.0,220.0,37.0,79.0,192.0,41.2,10.0,20.0,50.0,95.0,860.0
IND,16.0,371.0,552.0,67.2,4053.0,7.6,253.3,55.0,24.0,11.0,21.0,133.0,95.9,2020,459.0,1996.0,4.3,124.8,62.0,20.0,1.0,1.0,371.0,4186.0,11.3,261.6,55.0,24.0,3.0,2.0,364.0,129.0,201.0,34.0,78.0,197.0,39.6,16.0,26.0,61.5,94.0,899.0
SF,16.0,371.0,570.0,65.1,4033.0,7.6,252.1,76.0,25.0,17.0,39.0,287.0,90.1,2020,437.0,1889.0,4.3,118.1,80.0,19.0,6.0,3.0,371.0,4320.0,11.6,270.0,76.0,25.0,1.0,0.0,350.0,101.0,217.0,32.0,77.0,197.0,39.1,6.0,15.0,40.0,85.0,731.0
LAR,16.0,392.0,590.0,66.4,4014.0,7.1,250.9,56.0,20.0,14.0,25.0,169.0,88.4,2020,473.0,2018.0,4.3,126.1,61.0,19.0,4.0,3.0,392.0,4183.0,10.7,261.4,56.0,20.0,4.0,2.0,352.0,123.0,206.0,23.0,98.0,226.0,43.4,8.0,17.0,47.1,71.0,655.0
MIN,16.0,349.0,516.0,67.6,4009.0,8.3,250.6,71.0,35.0,13.0,39.0,256.0,105.0,2020,468.0,2283.0,4.9,142.7,70.0,20.0,5.0,3.0,349.0,4265.0,12.2,266.6,71.0,35.0,4.0,2.0,383.0,139.0,212.0,32.0,74.0,181.0,40.9,13.0,23.0,56.5,82.0,650.0
