team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
DEN,16.0,461.0,675.0,68.3,5444.0,8.3,340.3,78.0,55.0,10.0,20.0,128.0,114.4,2013,461.0,1873.0,4.1,117.1,45.0,16.0,10.0,6.0,461.0,5572.0,12.1,348.3,78.0,55.0,4.0,2.0,435.0,107.0,293.0,35.0,95.0,205.0,46.3,8.0,9.0,88.9,117.0,1000.0
NO,16.0,446.0,651.0,68.5,4918.0,7.9,307.4,76.0,39.0,12.0,37.0,244.0,104.5,2013,391.0,1473.0,3.8,92.1,38.0,10.0,1.0,1.0,446.0,5162.0,11.6,322.6,76.0,39.0,1.0,0.0,359.0,87.0,244.0,28.0,97.0,221.0,43.9,9.0,19.0,47.4,95.0,817.0
DET,16.0,371.0,634.0,58.5,4482.0,7.3,280.1,87.0,29.0,19.0,23.0,168.0,84.2,2013,445.0,1792.0,4.0,112.0,39.0,15.0,19.0,10.0,371.0,4650.0,12.5,290.6,87.0,29.0,4.0,3.0,350.0,106.0,221.0,23.0,95.0,221.0,43.0,5.0,14.0,35.7,110.0,925.0
LAC,16.0,378.0,544.0,69.5,4328.0,8.2,270.5,60.0,32.0,11.0,30.0,150.0,105.5,2013,486.0,1965.0,4.0,122.8,51.0,9.0,5.0,3.0,378.0,4478.0,11.8,279.9,60.0,32.0,4.0,4.0,373.0,104.0,230.0,39.0,101.0,206.0,49.0,5.0,6.0,83.3,95.0,765.0
CHI,16.0,373.0,579.0,64.4,4281.0,7.7,267.6,80.0,32.0,13.0,30.0,169.0,96.9,2013,404.0,1828.0,4.5,114.3,55.0,13.0,4.0,2.0,373.0,4450.0,11.9,278.1,80.0,32.0,5.0,3.0,344.0,102.0,215.0,27.0,83.0,197.0,42.1,8.0,13.0,61.5,85.0,708.0
GB,16.0,366.0,570.0,64.2,4268.0,8.0,266.8,83.0,25.0,16.0,45.0,270.0,91.7,2013,459.0,2136.0,4.7,133.5,67.0,17.0,7.0,4.0,366.0,4538.0,12.4,283.6,83.0,25.0,3.0,1.0,351.0,119.0,201.0,31.0,89.0,216.0,41.2,9.0,13.0,69.2,86.0,801.0
ATL,16.0,445.0,659.0,67.5,4243.0,6.9,265.2,81.0,26.0,17.0,44.0,298.0,89.5,2013,321.0,1247.0,3.9,77.9,50.0,11.0,1.0,1.0,445.0,4541.0,10.2,283.8,81.0,26.0,8.0,5.0,330.0,64.0,227.0,39.0,89.0,207.0,43.0,6.0,14.0,42.9,91.0,788.0
CIN,16.0,364.0,587.0,62.0,4136.0,7.4,258.5,82.0,33.0,20.0,29.0,182.0,89.0,2013,481.0,1755.0,3.6,109.7,35.0,14.0,7.0,3.0,364.0,4318.0,11.9,269.9,82.0,33.0,6.0,4.0,330.0,101.0,205.0,24.0,92.0,225.0,40.9,12.0,21.0,57.1,102.0,1000.0
PHI,16.0,310.0,508.0,61.0,4110.0,8.7,256.9,70.0,32.0,9.0,46.0,296.0,102.7,2013,500.0,2566.0,5.1,160.4,65.0,19.0,5.0,2.0,310.0,4406.0,14.2,275.4,70.0,32.0,3.0,2.0,355.0,133.0,197.0,25.0,83.0,213.0,39.0,7.0,14.0,50.0,95.0,846.0
NE,16.0,380.0,628.0,60.5,4087.0,6.9,255.4,81.0,25.0,11.0,40.0,256.0,87.3,2013,470.0,2065.0,4.4,129.1,47.0,19.0,10.0,6.0,380.0,4343.0,11.4,271.4,81.0,25.0,2.0,1.0,378.0,110.0,225.0,43.0,83.0,221.0,37.6,7.0,15.0,46.7,69.0,625.0
CLE,16.0,379.0,681.0,55.7,4047.0,6.4,252.9,95.0,26.0,20.0,49.0,325.0,75.7,2013,348.0,1383.0,4.0,86.4,45.0,4.0,2.0,2.0,379.0,4372.0,11.5,273.3,95.0,26.0,2.0,1.0,301.0,77.0,200.0,24.0,83.0,237.0,35.0,14.0,31.0,45.2,104.0,920.0
PIT,16.0,377.0,586.0,64.3,4017.0,7.3,251.1,67.0,28.0,14.0,43.0,289.0,92.3,2013,394.0,1383.0,3.5,86.4,43.0,9.0,6.0,3.0,377.0,4306.0,11.4,269.1,67.0,28.0,3.0,2.0,312.0,81.0,207.0,24.0,82.0,216.0,38.0,9.0,15.0,60.0,80.0,677.0
ARI,16.0,363.0,574.0,63.2,4002.0,7.5,250.1,91.0,24.0,22.0,41.0,289.0,83.9,2013,422.0,1540.0,3.6,96.3,80.0,12.0,7.0,4.0,363.0,4291.0,11.8,268.2,91.0,24.0,3.0,2.0,329.0,84.0,205.0,40.0,74.0,210.0,35.2,5.0,9.0,55.6,97.0,744.0
DAL,16.0,375.0,586.0,64.0,3954.0,7.2,247.1,82.0,33.0,12.0,35.0,272.0,95.7,2013,336.0,1504.0,4.5,94.0,45.0,12.0,5.0,1.0,375.0,4226.0,11.3,264.1,82.0,33.0,8.0,4.0,325.0,80.0,213.0,32.0,63.0,180.0,35.0,4.0,6.0,66.7,102.0,867.0
HOU,16.0,371.0,633.0,58.6,3813.0,6.6,238.3,66.0,19.0,22.0,42.0,370.0,74.0,2013,414.0,1743.0,4.2,108.9,60.0,7.0,5.0,3.0,371.0,4183.0,11.3,261.4,66.0,19.0,5.0,3.0,307.0,90.0,198.0,19.0,83.0,231.0,35.9,6.0,17.0,35.3,112.0,1138.0
WAS,16.0,355.0,611.0,58.1,3751.0,6.6,234.4,62.0,20.0,19.0,43.0,306.0,76.1,2013,453.0,2164.0,4.8,135.3,45.0,14.0,11.0,5.0,355.0,4057.0,11.4,253.6,62.0,20.0,5.0,4.0,329.0,112.0,198.0,19.0,95.0,235.0,40.4,6.0,20.0,30.0,99.0,802.0
