team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
ATL,16.0,361.0,577.0,62.6,3567.0,6.5,222.9,46.0,28.0,9.0,23.0,158.0,90.8,2010,497.0,1891.0,3.8,118.2,55.0,14.0,4.0,3.0,361.0,3725.0,10.3,232.8,46.0,28.0,3.0,1.0,353.0,111.0,200.0,42.0,112.0,240.0,46.7,11.0,15.0,73.3,58.0,598.0
MIA,16.0,335.0,557.0,60.1,3527.0,6.7,220.4,57.0,17.0,21.0,38.0,228.0,74.8,2010,445.0,1643.0,3.7,102.7,51.0,8.0,12.0,5.0,335.0,3755.0,11.2,234.7,57.0,17.0,3.0,2.0,300.0,91.0,189.0,20.0,92.0,230.0,40.0,3.0,10.0,30.0,72.0,595.0
TB,16.0,306.0,494.0,61.9,3361.0,7.2,210.1,64.0,26.0,6.0,30.0,203.0,96.2,2010,431.0,2001.0,4.6,125.1,61.0,9.0,7.0,6.0,306.0,3564.0,11.6,222.8,64.0,26.0,6.0,3.0,288.0,97.0,172.0,19.0,89.0,211.0,42.2,10.0,14.0,71.4,100.0,837.0
SF,16.0,282.0,500.0,56.4,3356.0,7.2,209.8,66.0,19.0,15.0,44.0,257.0,79.4,2010,401.0,1657.0,4.1,103.6,64.0,10.0,6.0,2.0,282.0,3613.0,12.8,225.8,66.0,19.0,3.0,2.0,251.0,85.0,149.0,17.0,68.0,213.0,31.9,8.0,16.0,50.0,112.0,933.0
SEA,16.0,324.0,544.0,59.6,3341.0,6.5,208.8,87.0,14.0,20.0,35.0,195.0,72.1,2010,385.0,1424.0,3.7,89.0,39.0,13.0,3.0,1.0,324.0,3536.0,10.9,221.0,87.0,14.0,3.0,3.0,260.0,81.0,159.0,20.0,76.0,214.0,35.5,6.0,17.0,35.3,101.0,890.0
BAL,16.0,308.0,491.0,62.7,3335.0,7.4,208.4,67.0,25.0,10.0,40.0,294.0,93.6,2010,487.0,1831.0,3.8,114.4,50.0,11.0,6.0,5.0,308.0,3629.0,11.8,226.8,67.0,25.0,3.0,1.0,303.0,97.0,175.0,31.0,82.0,210.0,39.1,4.0,10.0,40.0,90.0,673.0
LAR,16.0,354.0,590.0,60.0,3268.0,6.0,204.3,49.0,18.0,15.0,34.0,244.0,76.5,2010,429.0,1578.0,3.7,98.6,42.0,9.0,2.0,1.0,354.0,3512.0,9.9,219.5,49.0,18.0,2.0,1.0,292.0,84.0,179.0,29.0,78.0,235.0,33.2,8.0,15.0,53.3,102.0,877.0
NYJ,16.0,288.0,525.0,54.9,3242.0,6.5,202.6,74.0,20.0,14.0,28.0,178.0,76.5,2010,534.0,2374.0,4.4,148.4,53.0,14.0,11.0,5.0,288.0,3420.0,11.9,213.8,74.0,20.0,3.0,1.0,307.0,118.0,171.0,18.0,93.0,235.0,39.6,5.0,14.0,35.7,103.0,934.0
LV,16.0,279.0,491.0,56.8,3180.0,7.1,198.8,73.0,18.0,16.0,44.0,291.0,77.5,2010,504.0,2494.0,4.9,155.9,71.0,19.0,9.0,4.0,279.0,3471.0,12.4,216.9,73.0,18.0,4.0,2.0,306.0,113.0,159.0,34.0,75.0,220.0,34.1,8.0,20.0,40.0,148.0,1276.0
BUF,16.0,296.0,519.0,57.0,3158.0,6.5,197.4,65.0,24.0,21.0,34.0,213.0,75.2,2010,401.0,1720.0,4.3,107.5,39.0,6.0,11.0,5.0,296.0,3371.0,11.4,210.7,65.0,24.0,8.0,5.0,263.0,82.0,166.0,15.0,80.0,211.0,37.9,11.0,24.0,45.8,82.0,633.0
TEN,16.0,273.0,474.0,57.6,3107.0,6.9,194.2,80.0,24.0,15.0,27.0,171.0,82.6,2010,406.0,1727.0,4.3,107.9,76.0,13.0,7.0,4.0,273.0,3278.0,12.0,204.9,80.0,24.0,4.0,2.0,252.0,73.0,155.0,24.0,71.0,204.0,34.8,8.0,14.0,57.1,128.0,1040.0
MIN,16.0,305.0,505.0,60.4,3097.0,6.6,193.6,53.0,14.0,26.0,36.0,230.0,67.6,2010,441.0,1942.0,4.4,121.4,80.0,16.0,7.0,5.0,305.0,3327.0,10.9,207.9,53.0,14.0,3.0,3.0,289.0,104.0,159.0,26.0,71.0,205.0,34.6,8.0,17.0,47.1,100.0,769.0
JAC,16.0,291.0,469.0,62.0,3065.0,7.2,191.6,75.0,26.0,21.0,38.0,291.0,83.4,2010,512.0,2395.0,4.7,149.7,74.0,14.0,8.0,4.0,291.0,3356.0,11.5,209.8,75.0,26.0,3.0,3.0,330.0,148.0,161.0,21.0,81.0,203.0,39.9,16.0,25.0,64.0,83.0,675.0
CHI,16.0,276.0,466.0,59.2,3015.0,7.3,188.4,89.0,23.0,21.0,56.0,382.0,79.5,2010,414.0,1616.0,3.9,101.0,68.0,10.0,1.0,1.0,276.0,3397.0,12.3,212.3,89.0,23.0,7.0,4.0,263.0,76.0,163.0,24.0,64.0,195.0,32.8,2.0,7.0,28.6,91.0,768.0
CLE,16.0,296.0,478.0,61.9,2989.0,6.7,186.8,65.0,13.0,18.0,36.0,214.0,75.0,2010,413.0,1646.0,4.0,102.9,68.0,13.0,13.0,6.0,296.0,3203.0,10.8,200.2,65.0,13.0,4.0,3.0,265.0,87.0,154.0,24.0,75.0,202.0,37.1,5.0,7.0,71.4,78.0,675.0
KC,16.0,274.0,475.0,57.7,2968.0,6.7,185.5,75.0,27.0,8.0,32.0,221.0,90.1,2010,556.0,2627.0,4.7,164.2,80.0,13.0,7.0,3.0,274.0,3189.0,11.6,199.3,75.0,27.0,2.0,1.0,319.0,129.0,167.0,23.0,83.0,226.0,36.7,10.0,23.0,43.5,90.0,771.0
ARI,16.0,285.0,561.0,50.8,2921.0,5.8,182.6,74.0,10.0,19.0,50.0,343.0,60.5,2010,320.0,1388.0,4.3,86.8,80.0,9.0,7.0,5.0,285.0,3264.0,11.5,204.0,74.0,10.0,4.0,1.0,241.0,67.0,154.0,20.0,58.0,209.0,27.8,7.0,18.0,38.9,108.0,870.0
CAR,16.0,256.0,484.0,52.9,2289.0,5.4,143.1,88.0,9.0,21.0,50.0,346.0,57.0,2010,428.0,1846.0,4.3,115.4,60.0,7.0,16.0,9.0,256.0,2635.0,10.3,164.7,88.0,9.0,2.0,2.0,225.0,78.0,125.0,22.0,69.0,227.0,30.4,10.0,23.0,43.5,106.0,918.0
