team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
BUF,17.0,297.0,530.0,56.0,2771.0,5.7,163.0,73.0,12.0,19.0,42.0,276.0,65.3,2021,442.0,1866.0,4.2,109.8,76.0,19.0,12.0,1.0,297.0,3047.0,10.3,179.2,73.0,12.0,9.0,5.0,285.0,108.0,138.0,39.0,66.0,214.0,30.8,16.0,35.0,45.7,102.0,844.0
NE,17.0,319.0,538.0,59.3,3181.0,6.4,187.1,67.0,21.0,23.0,36.0,256.0,73.3,2021,464.0,2103.0,4.5,123.7,75.0,9.0,13.0,4.0,319.0,3437.0,10.8,202.2,67.0,21.0,6.0,2.0,308.0,111.0,176.0,21.0,77.0,211.0,36.5,17.0,32.0,53.1,100.0,831.0
CHI,17.0,314.0,477.0,65.8,3257.0,7.6,191.6,83.0,31.0,8.0,49.0,366.0,103.3,2021,483.0,2127.0,4.4,125.1,39.0,14.0,12.0,1.0,314.0,3623.0,11.5,213.1,83.0,31.0,11.0,5.0,321.0,116.0,170.0,35.0,81.0,211.0,38.4,12.0,24.0,50.0,93.0,856.0
CAR,17.0,337.0,515.0,65.4,3266.0,6.9,192.1,62.0,26.0,9.0,39.0,293.0,95.0,2021,474.0,1935.0,4.1,113.8,55.0,16.0,9.0,2.0,337.0,3559.0,10.6,209.4,62.0,26.0,7.0,4.0,311.0,112.0,170.0,29.0,82.0,217.0,37.8,12.0,21.0,57.1,108.0,896.0
CLE,17.0,367.0,576.0,63.7,3439.0,6.4,202.3,75.0,29.0,13.0,43.0,273.0,89.4,2021,437.0,1857.0,4.2,109.2,57.0,13.0,9.0,0.0,367.0,3712.0,10.1,218.4,75.0,29.0,10.0,5.0,327.0,108.0,184.0,35.0,86.0,219.0,39.3,16.0,25.0,64.0,98.0,877.0
SF,17.0,372.0,545.0,68.3,3510.0,7.1,206.5,91.0,25.0,9.0,48.0,364.0,97.0,2021,439.0,1760.0,4.0,103.5,73.0,17.0,11.0,2.0,372.0,3874.0,10.4,227.9,91.0,25.0,16.0,6.0,318.0,97.0,180.0,41.0,88.0,220.0,40.0,11.0,25.0,44.0,94.0,793.0
ARI,17.0,367.0,561.0,65.4,3645.0,6.9,214.4,64.0,30.0,13.0,41.0,227.0,93.5,2021,426.0,1952.0,4.6,114.8,62.0,10.0,8.0,3.0,367.0,3872.0,10.6,227.8,64.0,30.0,17.0,10.0,336.0,109.0,192.0,35.0,79.0,207.0,38.2,14.0,30.0,46.7,100.0,896.0
DEN,17.0,341.0,562.0,60.7,3652.0,6.9,214.8,59.0,22.0,13.0,36.0,249.0,85.0,2021,441.0,1892.0,4.3,111.3,35.0,9.0,10.0,3.0,341.0,3901.0,11.4,229.5,59.0,22.0,4.0,2.0,312.0,99.0,192.0,21.0,101.0,225.0,44.9,11.0,26.0,42.3,103.0,921.0
PIT,17.0,355.0,563.0,63.1,3656.0,7.1,215.1,62.0,24.0,13.0,55.0,321.0,88.7,2021,498.0,2483.0,5.0,146.1,49.0,17.0,24.0,2.0,355.0,3977.0,11.2,233.9,62.0,24.0,13.0,5.0,354.0,144.0,186.0,24.0,86.0,232.0,37.1,13.0,24.0,54.2,123.0,1017.0
GB,17.0,379.0,603.0,62.9,3724.0,6.7,219.1,79.0,31.0,18.0,39.0,297.0,86.9,2021,395.0,1855.0,4.7,109.1,38.0,13.0,8.0,0.0,379.0,4021.0,10.6,236.5,79.0,31.0,7.0,5.0,337.0,120.0,194.0,23.0,87.0,203.0,42.9,15.0,33.0,45.5,88.0,718.0
PHI,17.0,409.0,589.0,69.4,3756.0,6.8,220.9,64.0,28.0,12.0,29.0,220.0,95.4,2021,458.0,1834.0,4.0,107.9,38.0,18.0,10.0,2.0,409.0,3976.0,9.7,233.9,64.0,28.0,8.0,2.0,358.0,115.0,208.0,35.0,93.0,217.0,42.9,14.0,29.0,48.3,92.0,824.0
