team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
BUF,16.0,313.0,492.0,63.6,2867.0,6.3,179.2,43.0,22.0,16.0,36.0,217.0,82.6,2018,440.0,1839.0,4.2,114.9,43.0,17.0,10.0,3.0,313.0,3084.0,9.9,192.8,43.0,22.0,4.0,2.0,293.0,111.0,157.0,25.0,74.0,203.0,36.5,6.0,11.0,54.6,99.0,976.0
JAC,16.0,312.0,499.0,62.5,3113.0,6.7,194.6,78.0,17.0,11.0,37.0,241.0,84.4,2018,434.0,1870.0,4.3,116.9,99.0,16.0,5.0,2.0,312.0,3354.0,10.8,209.6,78.0,17.0,0.0,0.0,288.0,89.0,162.0,37.0,80.0,212.0,37.7,3.0,12.0,25.0,92.0,735.0
MIN,16.0,315.0,503.0,62.6,3140.0,7.0,196.3,70.0,15.0,12.0,50.0,361.0,83.3,2018,440.0,1815.0,4.1,113.4,75.0,13.0,12.0,6.0,315.0,3501.0,11.1,218.8,70.0,15.0,1.0,0.0,303.0,107.0,160.0,36.0,58.0,190.0,30.5,9.0,19.0,47.4,106.0,834.0
ARI,16.0,342.0,506.0,67.6,3262.0,7.1,203.9,64.0,21.0,7.0,49.0,333.0,96.1,2018,510.0,2479.0,4.9,154.9,65.0,25.0,3.0,1.0,342.0,3595.0,10.5,224.7,64.0,21.0,5.0,2.0,357.0,139.0,186.0,32.0,78.0,205.0,38.1,8.0,13.0,61.5,100.0,790.0
BAL,16.0,337.0,577.0,58.4,3360.0,6.3,210.0,64.0,21.0,12.0,43.0,291.0,80.6,2018,354.0,1327.0,3.7,82.9,35.0,11.0,2.0,1.0,337.0,3651.0,10.8,228.2,64.0,21.0,4.0,2.0,286.0,82.0,174.0,30.0,72.0,211.0,34.1,10.0,20.0,50.0,113.0,1017.0
TEN,16.0,337.0,533.0,63.2,3471.0,7.0,216.9,75.0,21.0,11.0,39.0,248.0,88.4,2018,429.0,1863.0,4.3,116.4,97.0,9.0,2.0,0.0,337.0,3719.0,11.0,232.4,75.0,21.0,4.0,2.0,298.0,98.0,182.0,18.0,75.0,205.0,36.6,11.0,20.0,55.0,120.0,984.0
CHI,16.0,377.0,615.0,61.3,3515.0,6.3,219.7,75.0,22.0,27.0,50.0,339.0,72.9,2018,339.0,1280.0,3.8,80.0,32.0,5.0,5.0,4.0,377.0,3854.0,10.2,240.9,75.0,22.0,4.0,1.0,278.0,67.0,186.0,25.0,75.0,219.0,34.3,16.0,28.0,57.1,114.0,1022.0
DET,16.0,323.0,496.0,65.1,3599.0,7.9,224.9,82.0,29.0,7.0,43.0,298.0,102.7,2018,403.0,1761.0,4.4,110.1,70.0,11.0,5.0,1.0,323.0,3897.0,12.1,243.6,82.0,29.0,2.0,1.0,315.0,88.0,191.0,36.0,69.0,186.0,37.1,9.0,17.0,52.9,94.0,886.0
LAC,16.0,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,2018,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
PIT,16.0,362.0,566.0,64.0,3697.0,7.1,231.1,71.0,27.0,8.0,52.0,347.0,95.2,2018,369.0,1538.0,4.2,96.1,51.0,13.0,5.0,1.0,362.0,4044.0,11.2,252.8,71.0,27.0,2.0,2.0,317.0,84.0,200.0,33.0,72.0,197.0,36.6,7.0,13.0,53.9,136.0,1170.0
