team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
HOU,16.0,399.0,593.0,67.3,4654.0,8.1,290.9,72.0,29.0,17.0,25.0,149.0,96.3,2009,425.0,1475.0,3.5,92.2,32.0,13.0,11.0,6.0,399.0,4803.0,12.0,300.2,72.0,29.0,6.0,4.0,340.0,93.0,231.0,16.0,82.0,204.0,40.2,8.0,12.0,66.7,95.0,833.0
IND,16.0,402.0,601.0,66.9,4515.0,7.7,282.2,80.0,34.0,19.0,13.0,90.0,95.4,2009,366.0,1294.0,3.5,80.9,45.0,16.0,4.0,2.0,402.0,4605.0,11.5,287.8,80.0,34.0,3.0,1.0,339.0,69.0,241.0,29.0,95.0,193.0,49.2,5.0,11.0,45.5,74.0,546.0
NE,16.0,390.0,592.0,65.9,4436.0,7.7,277.3,81.0,28.0,13.0,18.0,104.0,95.6,2009,466.0,1921.0,4.1,120.1,55.0,19.0,7.0,5.0,390.0,4540.0,11.6,283.8,81.0,28.0,4.0,2.0,373.0,114.0,222.0,37.0,90.0,206.0,43.7,11.0,22.0,50.0,81.0,743.0
NO,16.0,378.0,544.0,69.5,4355.0,8.3,272.2,75.0,34.0,12.0,20.0,135.0,106.0,2009,468.0,2106.0,4.5,131.6,55.0,21.0,6.0,4.0,378.0,4490.0,11.9,280.6,75.0,34.0,5.0,3.0,348.0,115.0,215.0,18.0,88.0,197.0,44.7,6.0,15.0,40.0,89.0,787.0
LAC,16.0,338.0,519.0,65.1,4338.0,8.7,271.1,81.0,29.0,10.0,26.0,168.0,103.1,2009,427.0,1423.0,3.3,88.9,36.0,17.0,2.0,2.0,338.0,4506.0,13.3,281.6,81.0,29.0,3.0,1.0,330.0,80.0,222.0,28.0,83.0,187.0,44.4,5.0,10.0,50.0,78.0,570.0
DAL,16.0,347.0,550.0,63.1,4287.0,8.2,267.9,80.0,26.0,9.0,34.0,196.0,97.6,2009,436.0,2103.0,4.8,131.4,66.0,14.0,6.0,3.0,347.0,4483.0,12.9,280.2,80.0,26.0,3.0,2.0,335.0,110.0,203.0,22.0,82.0,202.0,40.6,4.0,11.0,36.4,115.0,892.0
GB,16.0,357.0,553.0,64.6,4180.0,8.1,261.3,83.0,30.0,8.0,51.0,312.0,101.8,2009,438.0,1885.0,4.3,117.8,62.0,20.0,3.0,0.0,357.0,4492.0,12.6,280.8,83.0,30.0,4.0,3.0,335.0,102.0,201.0,32.0,103.0,219.0,47.0,3.0,9.0,33.3,118.0,1057.0
MIN,16.0,377.0,553.0,68.2,4156.0,8.0,259.8,63.0,34.0,7.0,34.0,247.0,107.3,2009,467.0,1918.0,4.1,119.9,64.0,19.0,8.0,5.0,377.0,4403.0,11.7,275.2,63.0,34.0,3.0,2.0,343.0,99.0,220.0,24.0,100.0,223.0,44.8,8.0,12.0,66.7,101.0,757.0
PIT,16.0,351.0,536.0,65.5,4148.0,8.4,259.3,60.0,28.0,14.0,50.0,348.0,98.1,2009,428.0,1793.0,4.2,112.1,60.0,10.0,8.0,5.0,351.0,4496.0,12.8,281.0,60.0,28.0,6.0,2.0,331.0,96.0,210.0,25.0,80.0,203.0,39.4,8.0,12.0,66.7,85.0,769.0
PHI,16.0,335.0,553.0,60.6,4089.0,7.9,255.6,71.0,27.0,13.0,38.0,291.0,92.0,2009,384.0,1637.0,4.3,102.3,67.0,14.0,7.0,3.0,335.0,4380.0,13.1,273.8,71.0,27.0,3.0,1.0,290.0,87.0,182.0,21.0,75.0,207.0,36.2,6.0,14.0,42.9,115.0,951.0
NYG,16.0,338.0,542.0,62.4,4019.0,7.8,251.2,74.0,28.0,14.0,32.0,227.0,93.2,2009,443.0,1837.0,4.1,114.8,38.0,14.0,12.0,7.0,338.0,4246.0,12.6,265.4,74.0,28.0,4.0,1.0,323.0,103.0,194.0,26.0,90.0,210.0,42.9,9.0,15.0,60.0,95.0,802.0
ARI,16.0,392.0,594.0,66.0,4016.0,7.1,251.0,45.0,27.0,18.0,26.0,184.0,89.1,2009,365.0,1494.0,4.1,93.4,50.0,16.0,12.0,7.0,392.0,4200.0,10.7,262.5,45.0,27.0,5.0,4.0,317.0,77.0,215.0,25.0,69.0,190.0,36.3,5.0,9.0,55.6,108.0,886.0
DEN,16.0,341.0,558.0,61.1,3627.0,6.9,226.7,87.0,21.0,13.0,34.0,198.0,84.4,2009,440.0,1836.0,4.2,114.8,45.0,9.0,6.0,4.0,341.0,3825.0,11.2,239.1,87.0,21.0,2.0,2.0,306.0,95.0,186.0,25.0,78.0,215.0,36.3,7.0,18.0,38.9,93.0,800.0
ATL,16.0,332.0,570.0,58.2,3571.0,6.5,223.2,90.0,26.0,17.0,27.0,126.0,80.4,2009,451.0,1876.0,4.2,117.3,58.0,15.0,5.0,3.0,332.0,3697.0,11.1,231.1,90.0,26.0,3.0,1.0,330.0,105.0,192.0,33.0,91.0,216.0,42.1,16.0,23.0,69.6,78.0,664.0
SEA,16.0,372.0,609.0,61.1,3503.0,6.2,218.9,53.0,20.0,19.0,41.0,268.0,76.7,2009,395.0,1566.0,4.0,97.9,62.0,7.0,11.0,3.0,372.0,3771.0,10.1,235.7,53.0,20.0,6.0,4.0,297.0,80.0,184.0,33.0,75.0,225.0,33.3,8.0,19.0,42.1,95.0,840.0
