team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
IND,16.0,410.0,661.0,62.0,4894.0,7.7,305.9,80.0,42.0,16.0,29.0,168.0,96.8,2014,415.0,1612.0,3.9,100.8,49.0,9.0,10.0,5.0,410.0,5062.0,12.3,316.4,80.0,42.0,6.0,3.0,371.0,80.0,251.0,40.0,89.0,217.0,41.0,6.0,15.0,40.0,105.0,848.0
PIT,16.0,411.0,612.0,67.2,4825.0,8.2,301.6,94.0,33.0,10.0,33.0,172.0,103.2,2014,423.0,1752.0,4.1,109.5,81.0,10.0,7.0,3.0,411.0,4997.0,12.2,312.3,94.0,33.0,5.0,4.0,379.0,98.0,243.0,38.0,93.0,208.0,44.7,5.0,10.0,50.0,103.0,834.0
NO,16.0,456.0,659.0,69.2,4764.0,7.5,297.8,69.0,33.0,17.0,30.0,188.0,97.0,2014,406.0,1818.0,4.5,113.6,67.0,16.0,6.0,3.0,456.0,4952.0,10.9,309.5,69.0,33.0,8.0,6.0,395.0,101.0,258.0,36.0,98.0,203.0,48.3,8.0,15.0,53.3,80.0,670.0
DEN,16.0,399.0,607.0,65.7,4661.0,7.9,291.3,86.0,40.0,15.0,17.0,118.0,101.3,2014,443.0,1785.0,4.0,111.6,47.0,15.0,6.0,2.0,399.0,4779.0,12.0,298.7,86.0,40.0,4.0,1.0,360.0,98.0,227.0,35.0,94.0,213.0,44.1,6.0,13.0,46.2,120.0,1045.0
ATL,16.0,418.0,632.0,66.1,4553.0,7.5,284.6,79.0,28.0,15.0,31.0,205.0,93.4,2014,372.0,1498.0,4.0,93.6,55.0,11.0,4.0,2.0,418.0,4758.0,11.4,297.4,79.0,28.0,7.0,4.0,330.0,75.0,233.0,22.0,93.0,210.0,44.3,8.0,16.0,50.0,97.0,840.0
PHI,16.0,384.0,621.0,61.8,4356.0,7.4,272.3,72.0,27.0,21.0,32.0,225.0,84.8,2014,474.0,1992.0,4.2,124.5,53.0,16.0,10.0,6.0,384.0,4581.0,11.9,286.3,72.0,27.0,5.0,5.0,356.0,109.0,218.0,29.0,103.0,237.0,43.5,7.0,11.0,63.6,115.0,995.0
NYG,16.0,383.0,607.0,63.1,4272.0,7.4,267.0,80.0,30.0,14.0,30.0,198.0,92.2,2014,449.0,1603.0,3.6,100.2,50.0,13.0,1.0,0.0,383.0,4470.0,11.7,279.4,80.0,30.0,6.0,6.0,336.0,83.0,218.0,35.0,101.0,235.0,43.0,5.0,16.0,31.3,101.0,896.0
GB,16.0,349.0,536.0,65.1,4261.0,8.3,266.3,80.0,38.0,6.0,30.0,186.0,109.9,2014,435.0,1917.0,4.4,119.8,44.0,14.0,7.0,3.0,349.0,4447.0,12.7,277.9,80.0,38.0,1.0,1.0,356.0,104.0,222.0,30.0,93.0,197.0,47.2,4.0,10.0,40.0,92.0,775.0
NE,16.0,392.0,609.0,64.4,4121.0,7.0,257.6,69.0,34.0,9.0,26.0,170.0,97.5,2014,438.0,1727.0,3.9,107.9,43.0,13.0,1.0,0.0,392.0,4291.0,10.9,268.2,69.0,34.0,4.0,1.0,361.0,96.0,228.0,37.0,98.0,221.0,44.3,7.0,13.0,53.9,120.0,1080.0
LAC,16.0,380.0,574.0,66.2,4098.0,7.5,256.1,59.0,31.0,18.0,37.0,198.0,93.4,2014,398.0,1367.0,3.4,85.4,52.0,6.0,5.0,0.0,380.0,4296.0,11.3,268.5,59.0,31.0,3.0,2.0,326.0,75.0,214.0,37.0,97.0,215.0,45.1,5.0,11.0,45.5,111.0,967.0
