team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
DEN,16.0,306.0,552.0,55.4,2972.0,5.8,185.8,80.0,13.0,14.0,42.0,228.0,69.7,2016,482.0,2085.0,4.3,130.3,70.0,15.0,8.0,3.0,306.0,3200.0,10.5,200.0,80.0,13.0,5.0,3.0,306.0,101.0,169.0,36.0,86.0,236.0,36.4,6.0,16.0,37.5,110.0,990.0
HOU,16.0,319.0,522.0,61.1,3226.0,6.6,201.6,86.0,20.0,11.0,31.0,198.0,84.3,2016,397.0,1595.0,4.0,99.7,41.0,13.0,8.0,4.0,319.0,3424.0,10.7,214.0,86.0,20.0,2.0,0.0,272.0,87.0,157.0,28.0,82.0,213.0,38.5,3.0,13.0,23.1,114.0,950.0
MIN,16.0,332.0,548.0,60.6,3327.0,6.6,207.9,67.0,22.0,14.0,41.0,310.0,83.0,2016,404.0,1711.0,4.2,106.9,69.0,9.0,12.0,7.0,332.0,3637.0,11.0,227.3,67.0,22.0,2.0,1.0,304.0,87.0,186.0,31.0,80.0,206.0,38.8,3.0,14.0,21.4,99.0,825.0
ARI,16.0,344.0,547.0,62.9,3365.0,6.8,210.3,71.0,21.0,14.0,48.0,374.0,85.1,2016,424.0,1518.0,3.6,94.9,49.0,16.0,11.0,4.0,344.0,3739.0,10.9,233.7,71.0,21.0,2.0,1.0,293.0,90.0,175.0,28.0,85.0,219.0,38.8,7.0,15.0,46.7,123.0,1010.0
JAC,16.0,345.0,551.0,62.6,3444.0,6.6,215.3,64.0,20.0,7.0,33.0,183.0,88.5,2016,446.0,1703.0,3.8,106.4,75.0,17.0,7.0,3.0,345.0,3627.0,10.5,226.7,64.0,20.0,1.0,0.0,305.0,93.0,174.0,38.0,83.0,224.0,37.1,6.0,13.0,46.2,101.0,948.0
BUF,16.0,306.0,511.0,59.9,3582.0,7.5,223.9,66.0,19.0,12.0,39.0,253.0,85.9,2016,468.0,2130.0,4.6,133.1,57.0,21.0,10.0,4.0,306.0,3835.0,12.5,239.7,66.0,19.0,2.0,1.0,338.0,122.0,183.0,33.0,82.0,205.0,40.0,4.0,14.0,28.6,106.0,884.0
CHI,16.0,342.0,530.0,64.5,3598.0,7.2,224.9,60.0,22.0,8.0,37.0,230.0,93.5,2016,445.0,1950.0,4.4,121.9,61.0,18.0,3.0,0.0,342.0,3828.0,11.2,239.3,60.0,22.0,3.0,1.0,322.0,99.0,188.0,35.0,85.0,210.0,40.5,10.0,14.0,71.4,103.0,959.0
SEA,16.0,331.0,537.0,61.6,3612.0,7.2,225.8,80.0,16.0,11.0,42.0,272.0,85.0,2016,441.0,1487.0,3.4,92.9,34.0,16.0,8.0,6.0,331.0,3884.0,11.7,242.8,80.0,16.0,2.0,1.0,307.0,94.0,180.0,33.0,82.0,212.0,38.7,6.0,20.0,30.0,103.0,925.0
BAL,16.0,369.0,578.0,63.8,3724.0,6.8,232.8,79.0,28.0,18.0,31.0,223.0,86.9,2016,384.0,1430.0,3.7,89.4,85.0,10.0,10.0,5.0,369.0,3947.0,10.7,246.7,79.0,28.0,1.0,1.0,294.0,74.0,190.0,30.0,75.0,214.0,35.1,11.0,16.0,68.8,95.0,900.0
LAR,16.0,378.0,582.0,64.9,3732.0,6.7,233.3,64.0,32.0,10.0,31.0,196.0,95.5,2016,424.0,1660.0,3.9,103.8,61.0,12.0,3.0,1.0,378.0,3928.0,10.4,245.5,64.0,32.0,5.0,4.0,325.0,91.0,194.0,40.0,82.0,220.0,37.3,12.0,14.0,85.7,108.0,920.0
CIN,16.0,374.0,593.0,63.1,3800.0,6.7,237.5,74.0,22.0,17.0,33.0,185.0,83.1,2016,412.0,1812.0,4.4,113.3,60.0,12.0,4.0,0.0,374.0,3985.0,10.7,249.1,74.0,22.0,3.0,1.0,327.0,95.0,196.0,36.0,86.0,217.0,39.6,9.0,19.0,47.4,105.0,950.0
