team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
TB,16.0,408.0,625.0,65.3,5125.0,8.6,320.3,75.0,36.0,26.0,41.0,233.0,94.1,2018,389.0,1523.0,3.9,95.2,28.0,11.0,5.0,2.0,408.0,5358.0,13.1,334.9,75.0,36.0,7.0,4.0,388.0,80.0,265.0,43.0,86.0,187.0,46.0,9.0,13.0,69.2,117.0,975.0
PIT,16.0,459.0,689.0,66.6,5008.0,7.5,313.0,97.0,35.0,17.0,24.0,166.0,95.5,2018,345.0,1445.0,4.2,90.3,30.0,16.0,4.0,2.0,459.0,5174.0,11.3,323.4,97.0,35.0,7.0,5.0,378.0,88.0,251.0,39.0,88.0,198.0,44.4,9.0,14.0,64.3,111.0,1026.0
KC,16.0,385.0,583.0,66.0,4955.0,8.8,309.7,89.0,50.0,12.0,26.0,171.0,113.8,2018,387.0,1855.0,4.8,115.9,45.0,16.0,4.0,1.0,385.0,5126.0,13.3,320.4,89.0,50.0,4.0,3.0,384.0,108.0,239.0,37.0,83.0,176.0,47.2,12.0,15.0,80.0,137.0,1152.0
ATL,16.0,428.0,617.0,69.4,4653.0,8.0,290.8,75.0,36.0,7.0,42.0,296.0,108.0,2018,351.0,1573.0,4.5,98.3,65.0,11.0,4.0,1.0,428.0,4949.0,11.6,309.3,75.0,36.0,7.0,4.0,352.0,84.0,238.0,30.0,92.0,203.0,45.3,10.0,19.0,52.6,101.0,899.0
LAR,16.0,368.0,568.0,64.8,4507.0,8.3,281.7,70.0,32.0,12.0,33.0,223.0,100.7,2018,459.0,2231.0,4.9,139.4,56.0,23.0,2.0,0.0,368.0,4730.0,12.9,295.6,70.0,32.0,3.0,1.0,401.0,134.0,236.0,31.0,86.0,191.0,45.0,6.0,15.0,40.0,96.0,878.0
IND,16.0,432.0,644.0,67.1,4461.0,7.1,278.8,68.0,39.0,15.0,18.0,134.0,98.2,2018,408.0,1718.0,4.2,107.4,53.0,13.0,5.0,3.0,432.0,4595.0,10.6,287.2,68.0,39.0,4.0,4.0,371.0,96.0,237.0,38.0,104.0,214.0,48.6,7.0,15.0,46.7,120.0,953.0
PHI,16.0,422.0,599.0,70.5,4275.0,7.6,267.2,83.0,29.0,11.0,40.0,249.0,100.8,2018,398.0,1570.0,3.9,98.1,32.0,12.0,5.0,2.0,422.0,4524.0,10.7,282.8,83.0,29.0,5.0,1.0,346.0,94.0,221.0,31.0,84.0,205.0,41.0,14.0,23.0,60.9,100.0,852.0
NE,16.0,378.0,574.0,65.9,4258.0,7.7,266.1,63.0,29.0,11.0,21.0,147.0,97.8,2018,478.0,2037.0,4.3,127.3,34.0,18.0,2.0,1.0,378.0,4405.0,11.7,275.3,63.0,29.0,2.0,2.0,365.0,131.0,206.0,28.0,82.0,201.0,40.8,7.0,14.0,50.0,93.0,744.0
GB,16.0,392.0,640.0,61.3,4238.0,7.2,264.9,75.0,25.0,4.0,53.0,391.0,93.7,2018,333.0,1667.0,5.0,104.2,67.0,14.0,4.0,1.0,392.0,4629.0,11.8,289.3,75.0,25.0,2.0,1.0,332.0,98.0,208.0,26.0,75.0,204.0,36.8,10.0,20.0,50.0,108.0,937.0
LAC,16.0,348.0,512.0,68.0,4089.0,8.4,255.6,75.0,32.0,12.0,34.0,227.0,104.9,2018,399.0,1873.0,4.7,117.1,41.0,16.0,2.0,0.0,348.0,4316.0,12.4,269.8,75.0,32.0,6.0,3.0,338.0,100.0,213.0,25.0,70.0,177.0,39.6,7.0,8.0,87.5,113.0,967.0
