team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
LAR,16.0,347.0,548.0,63.3,3051.0,6.2,190.7,59.0,17.0,14.0,53.0,350.0,80.4,2020,388.0,1460.0,3.8,91.3,27.0,12.0,7.0,5.0,347.0,3401.0,9.8,212.6,59.0,17.0,1.0,0.0,280.0,91.0,170.0,19.0,74.0,209.0,35.4,9.0,21.0,42.9,78.0,582.0
WAS,16.0,330.0,529.0,62.4,3068.0,6.4,191.8,56.0,21.0,16.0,47.0,325.0,81.4,2020,428.0,1805.0,4.2,112.8,50.0,14.0,7.0,4.0,330.0,3393.0,10.3,212.1,56.0,21.0,1.0,0.0,289.0,100.0,161.0,28.0,81.0,216.0,37.5,9.0,24.0,37.5,85.0,708.0
PIT,16.0,298.0,526.0,56.7,3110.0,6.6,194.4,73.0,22.0,18.0,56.0,384.0,76.7,2020,414.0,1783.0,4.3,111.4,74.0,13.0,6.0,2.0,298.0,3494.0,11.7,218.4,73.0,22.0,4.0,3.0,281.0,94.0,163.0,24.0,83.0,222.0,37.4,5.0,20.0,25.0,103.0,980.0
SF,16.0,341.0,537.0,63.5,3327.0,6.6,207.9,70.0,25.0,12.0,30.0,199.0,88.6,2020,430.0,1703.0,4.0,106.4,61.0,12.0,8.0,4.0,341.0,3526.0,10.3,220.4,70.0,25.0,7.0,3.0,311.0,102.0,176.0,33.0,71.0,200.0,35.5,13.0,20.0,65.0,79.0,709.0
NO,16.0,333.0,557.0,59.8,3472.0,6.7,217.0,74.0,28.0,18.0,45.0,287.0,83.3,2020,390.0,1502.0,3.9,93.9,82.0,11.0,7.0,2.0,333.0,3759.0,11.3,234.9,74.0,28.0,0.0,0.0,320.0,85.0,185.0,50.0,79.0,207.0,38.2,16.0,30.0,53.3,64.0,517.0
BAL,16.0,380.0,596.0,63.8,3536.0,6.4,221.0,50.0,22.0,10.0,39.0,272.0,87.1,2020,382.0,1740.0,4.6,108.8,74.0,12.0,7.0,5.0,380.0,3808.0,10.0,238.0,50.0,22.0,11.0,4.0,347.0,96.0,213.0,38.0,65.0,191.0,34.0,16.0,35.0,45.7,77.0,646.0
GB,16.0,346.0,536.0,64.6,3539.0,7.1,221.2,53.0,23.0,11.0,41.0,254.0,91.1,2020,397.0,1805.0,4.5,112.8,57.0,16.0,3.0,2.0,346.0,3793.0,11.0,237.1,53.0,23.0,5.0,3.0,332.0,119.0,184.0,29.0,73.0,185.0,39.5,14.0,24.0,58.3,79.0,734.0
NE,16.0,333.0,494.0,67.4,3557.0,7.5,222.3,54.0,22.0,18.0,24.0,165.0,89.3,2020,464.0,2103.0,4.5,131.4,35.0,17.0,2.0,1.0,333.0,3722.0,11.2,232.6,54.0,22.0,2.0,1.0,339.0,131.0,187.0,21.0,76.0,186.0,40.9,9.0,16.0,56.3,82.0,639.0
LAC,16.0,340.0,543.0,62.6,3578.0,6.8,223.6,54.0,29.0,12.0,27.0,137.0,91.4,2020,427.0,1917.0,4.5,119.8,55.0,17.0,8.0,3.0,340.0,3715.0,10.9,232.2,54.0,29.0,2.0,0.0,324.0,112.0,186.0,26.0,89.0,204.0,43.6,10.0,15.0,66.7,94.0,869.0
ARI,16.0,365.0,570.0,64.0,3623.0,6.9,226.4,76.0,26.0,11.0,48.0,326.0,91.5,2020,436.0,2008.0,4.6,125.5,38.0,13.0,5.0,2.0,365.0,3949.0,10.8,246.8,76.0,26.0,1.0,1.0,363.0,118.0,207.0,38.0,80.0,202.0,39.6,14.0,21.0,66.7,104.0,841.0
DAL,16.0,328.0,513.0,63.9,3642.0,7.4,227.6,81.0,34.0,10.0,31.0,178.0,100.4,2020,510.0,2541.0,5.0,158.8,69.0,20.0,9.0,5.0,328.0,3820.0,11.6,238.8,81.0,34.0,2.0,2.0,359.0,142.0,180.0,37.0,98.0,209.0,46.9,10.0,21.0,47.6,91.0,733.0
CHI,16.0,350.0,547.0,64.0,3705.0,7.2,231.6,72.0,28.0,10.0,35.0,234.0,94.9,2020,438.0,1814.0,4.1,113.4,37.0,11.0,6.0,3.0,350.0,3939.0,11.3,246.2,72.0,28.0,4.0,2.0,331.0,104.0,190.0,37.0,80.0,210.0,38.1,13.0,22.0,59.1,95.0,861.0
