team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
NO,16.0,423.0,671.0,63.0,4997.0,7.7,312.3,80.0,43.0,19.0,26.0,190.0,96.4,2012,370.0,1577.0,4.3,98.6,56.0,10.0,0.0,0.0,423.0,5187.0,12.3,324.2,80.0,43.0,7.0,3.0,352.0,64.0,267.0,21.0,91.0,207.0,44.0,8.0,14.0,57.1,104.0,911.0
DET,16.0,445.0,740.0,60.1,4927.0,6.9,307.9,57.0,22.0,17.0,29.0,212.0,81.5,2012,391.0,1613.0,4.1,100.8,67.0,17.0,7.0,5.0,445.0,5139.0,11.5,321.2,57.0,22.0,7.0,5.0,382.0,84.0,272.0,26.0,97.0,228.0,42.5,6.0,15.0,40.0,103.0,944.0
DAL,16.0,434.0,658.0,66.0,4729.0,7.6,295.6,85.0,29.0,19.0,36.0,263.0,91.3,2012,355.0,1265.0,3.6,79.1,48.0,8.0,6.0,3.0,434.0,4992.0,11.5,312.0,85.0,29.0,4.0,2.0,338.0,76.0,237.0,25.0,93.0,212.0,43.9,8.0,11.0,72.7,117.0,853.0
NE,16.0,402.0,641.0,62.7,4662.0,7.6,291.4,83.0,34.0,9.0,27.0,182.0,97.7,2012,523.0,2184.0,4.2,136.5,47.0,25.0,6.0,3.0,402.0,4844.0,12.1,302.8,83.0,34.0,5.0,3.0,444.0,151.0,256.0,37.0,110.0,226.0,48.7,8.0,12.0,66.7,97.0,840.0
DEN,16.0,402.0,588.0,68.4,4534.0,7.9,283.4,71.0,37.0,11.0,21.0,137.0,105.3,2012,481.0,1832.0,3.8,114.5,31.0,12.0,8.0,6.0,402.0,4671.0,11.6,291.9,71.0,37.0,4.0,4.0,380.0,112.0,232.0,36.0,96.0,213.0,45.1,3.0,5.0,60.0,100.0,805.0
ATL,16.0,422.0,615.0,68.6,4509.0,7.7,281.8,80.0,32.0,14.0,28.0,210.0,99.1,2012,378.0,1397.0,3.7,87.3,43.0,12.0,4.0,2.0,422.0,4719.0,11.2,294.9,80.0,32.0,3.0,1.0,342.0,70.0,246.0,26.0,92.0,204.0,45.1,2.0,8.0,25.0,55.0,415.0
IND,16.0,339.0,628.0,54.0,4128.0,7.0,258.0,70.0,23.0,18.0,41.0,246.0,76.4,2012,440.0,1671.0,3.8,104.4,26.0,11.0,5.0,1.0,339.0,4374.0,12.9,273.4,70.0,23.0,4.0,1.0,360.0,110.0,208.0,42.0,98.0,229.0,42.8,7.0,8.0,87.5,94.0,801.0
LV,16.0,376.0,629.0,59.8,4084.0,6.8,255.3,64.0,24.0,16.0,27.0,208.0,82.5,2012,376.0,1420.0,3.8,88.8,64.0,4.0,4.0,2.0,376.0,4292.0,11.4,268.3,64.0,24.0,6.0,2.0,300.0,72.0,200.0,28.0,77.0,220.0,35.0,4.0,16.0,25.0,108.0,939.0
GB,16.0,374.0,558.0,67.0,4049.0,7.8,253.1,73.0,40.0,8.0,51.0,293.0,108.3,2012,433.0,1702.0,3.9,106.4,41.0,9.0,4.0,2.0,374.0,4342.0,11.6,271.4,73.0,40.0,2.0,1.0,341.0,85.0,213.0,43.0,90.0,213.0,42.3,7.0,13.0,53.9,103.0,923.0
TB,16.0,311.0,566.0,54.9,3983.0,7.3,248.9,95.0,27.0,17.0,26.0,161.0,81.8,2012,416.0,1837.0,4.4,114.8,70.0,13.0,3.0,2.0,311.0,4144.0,13.3,259.0,95.0,27.0,0.0,0.0,301.0,89.0,188.0,24.0,76.0,212.0,35.9,7.0,17.0,41.2,101.0,819.0
HOU,16.0,354.0,554.0,63.9,3830.0,7.3,239.4,60.0,22.0,13.0,28.0,216.0,89.2,2012,508.0,2123.0,4.2,132.7,81.0,19.0,5.0,3.0,354.0,4046.0,11.4,252.9,60.0,22.0,0.0,0.0,341.0,114.0,205.0,22.0,83.0,221.0,37.6,4.0,7.0,57.1,108.0,873.0
NYG,16.0,323.0,539.0,59.9,3825.0,7.4,239.1,80.0,26.0,15.0,20.0,142.0,87.2,2012,409.0,1862.0,4.6,116.4,52.0,18.0,6.0,5.0,323.0,3967.0,12.3,247.9,80.0,26.0,0.0,0.0,327.0,103.0,187.0,37.0,78.0,192.0,40.6,5.0,10.0,50.0,72.0,578.0
PHI,16.0,367.0,618.0,59.4,3791.0,6.6,236.9,77.0,18.0,15.0,48.0,284.0,78.6,2012,413.0,1874.0,4.5,117.1,65.0,10.0,18.0,10.0,367.0,4075.0,11.1,254.7,77.0,18.0,5.0,3.0,332.0,111.0,190.0,31.0,83.0,222.0,37.4,14.0,24.0,58.3,98.0,813.0
PIT,16.0,354.0,574.0,61.7,3787.0,7.0,236.7,82.0,27.0,14.0,37.0,225.0,88.1,2012,412.0,1537.0,3.7,96.1,34.0,8.0,8.0,6.0,354.0,4012.0,11.3,250.8,82.0,27.0,12.0,7.0,307.0,80.0,202.0,25.0,94.0,224.0,42.0,6.0,13.0,46.2,92.0,938.0
BAL,16.0,334.0,560.0,59.6,3739.0,7.1,233.7,61.0,22.0,11.0,38.0,257.0,86.4,2012,444.0,1901.0,4.3,118.8,78.0,17.0,4.0,1.0,334.0,3996.0,12.0,249.8,61.0,22.0,0.0,0.0,314.0,98.0,182.0,34.0,80.0,217.0,36.9,6.0,14.0,42.9,121.0,1127.0
CAR,16.0,284.0,490.0,58.0,3683.0,8.0,230.2,82.0,19.0,12.0,36.0,244.0,86.5,2012,462.0,2088.0,4.5,130.5,72.0,21.0,8.0,4.0,284.0,3927.0,13.8,245.4,82.0,19.0,4.0,1.0,328.0,123.0,171.0,34.0,88.0,204.0,43.1,3.0,9.0,33.3,98.0,835.0
CIN,16.0,335.0,540.0,62.0,3578.0,7.1,223.6,73.0,28.0,16.0,46.0,229.0,88.1,2012,430.0,1745.0,4.1,109.1,48.0,11.0,4.0,2.0,335.0,3807.0,11.4,237.9,73.0,28.0,6.0,3.0,292.0,95.0,173.0,24.0,74.0,217.0,34.1,11.0,16.0,68.8,99.0,857.0
LAR,16.0,332.0,557.0,59.6,3550.0,6.8,221.9,80.0,22.0,14.0,35.0,233.0,82.7,2012,410.0,1714.0,4.2,107.1,53.0,5.0,5.0,2.0,332.0,3783.0,11.4,236.4,80.0,22.0,5.0,2.0,287.0,79.0,189.0,19.0,67.0,209.0,32.1,13.0,24.0,54.2,130.0,978.0
CLE,16.0,328.0,566.0,58.0,3435.0,6.5,214.7,71.0,16.0,18.0,36.0,233.0,73.6,2012,396.0,1593.0,4.0,99.6,35.0,12.0,8.0,0.0,328.0,3668.0,11.2,229.3,71.0,16.0,5.0,3.0,279.0,71.0,185.0,23.0,67.0,218.0,30.7,7.0,16.0,43.8,113.0,1005.0
