team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
NO,16.0,472.0,674.0,70.0,5074.0,7.8,317.1,98.0,38.0,15.0,27.0,184.0,102.5,2016,404.0,1742.0,4.3,108.9,75.0,17.0,2.0,2.0,472.0,5258.0,11.1,328.6,98.0,38.0,7.0,2.0,395.0,105.0,265.0,25.0,107.0,220.0,48.6,13.0,15.0,86.7,107.0,969.0
WAS,16.0,407.0,607.0,67.1,4758.0,8.2,297.4,80.0,25.0,12.0,23.0,190.0,97.4,2016,379.0,1696.0,4.5,106.0,66.0,17.0,7.0,4.0,407.0,4948.0,12.2,309.3,80.0,25.0,4.0,2.0,345.0,89.0,226.0,30.0,90.0,199.0,45.2,7.0,14.0,50.0,110.0,909.0
ATL,16.0,374.0,537.0,69.6,4725.0,9.2,295.3,76.0,38.0,7.0,37.0,235.0,116.8,2016,421.0,1928.0,4.6,120.5,75.0,20.0,3.0,1.0,374.0,4960.0,13.3,310.0,76.0,38.0,1.0,1.0,379.0,108.0,239.0,32.0,75.0,178.0,42.1,8.0,14.0,57.1,104.0,847.0
NE,16.0,368.0,550.0,66.9,4308.0,8.1,269.3,79.0,32.0,2.0,24.0,148.0,109.5,2016,482.0,1872.0,3.9,117.0,44.0,19.0,8.0,2.0,368.0,4456.0,12.1,278.5,79.0,32.0,3.0,3.0,351.0,109.0,203.0,39.0,104.0,227.0,45.8,8.0,12.0,66.7,93.0,819.0
IND,16.0,370.0,584.0,63.4,4202.0,7.7,262.6,64.0,32.0,15.0,44.0,289.0,94.5,2016,409.0,1628.0,4.0,101.8,33.0,13.0,5.0,3.0,370.0,4491.0,12.1,280.7,64.0,32.0,4.0,1.0,351.0,93.0,220.0,38.0,87.0,202.0,43.1,8.0,18.0,44.4,102.0,883.0
PIT,16.0,381.0,596.0,63.9,4202.0,7.3,262.6,72.0,33.0,15.0,21.0,175.0,93.9,2016,409.0,1760.0,4.3,110.0,60.0,13.0,6.0,1.0,381.0,4377.0,11.5,273.6,72.0,33.0,1.0,0.0,336.0,97.0,210.0,29.0,83.0,202.0,41.1,9.0,16.0,56.3,113.0,1068.0
GB,16.0,403.0,620.0,65.0,4199.0,7.2,262.4,66.0,40.0,8.0,35.0,246.0,102.3,2016,374.0,1701.0,4.5,106.3,61.0,11.0,5.0,3.0,403.0,4445.0,11.0,277.8,66.0,40.0,6.0,3.0,349.0,91.0,222.0,36.0,98.0,210.0,46.7,7.0,17.0,41.2,100.0,827.0
LAC,16.0,349.0,580.0,60.2,4198.0,7.6,262.4,59.0,33.0,21.0,36.0,188.0,87.6,2016,398.0,1510.0,3.8,94.4,48.0,10.0,6.0,3.0,349.0,4386.0,12.6,274.1,59.0,33.0,6.0,4.0,340.0,90.0,214.0,36.0,85.0,200.0,42.5,6.0,12.0,50.0,107.0,780.0
ARI,16.0,383.0,646.0,59.3,4136.0,6.9,258.5,80.0,28.0,17.0,41.0,289.0,83.5,2016,399.0,1732.0,4.3,108.3,58.0,20.0,11.0,5.0,383.0,4425.0,11.6,276.6,80.0,28.0,5.0,3.0,368.0,97.0,229.0,42.0,87.0,214.0,40.7,5.0,10.0,50.0,104.0,889.0
SEA,16.0,368.0,567.0,64.9,4124.0,7.8,257.8,59.0,23.0,12.0,42.0,298.0,93.4,2016,403.0,1591.0,3.9,99.4,75.0,13.0,6.0,3.0,368.0,4422.0,12.0,276.4,59.0,23.0,6.0,3.0,313.0,85.0,203.0,25.0,79.0,207.0,38.2,4.0,11.0,36.4,117.0,970.0
