team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
TB,16.0,382.0,630.0,60.6,4845.0,8.1,302.8,71.0,33.0,30.0,47.0,282.0,84.1,2019,409.0,1521.0,3.7,95.1,49.0,15.0,6.0,3.0,382.0,5127.0,13.4,320.4,71.0,33.0,3.0,3.0,353.0,81.0,244.0,28.0,90.0,217.0,41.5,9.0,17.0,52.9,133.0,1111.0
DAL,16.0,388.0,597.0,65.0,4751.0,8.2,296.9,62.0,30.0,11.0,23.0,151.0,99.5,2019,449.0,2153.0,4.8,134.6,44.0,18.0,7.0,3.0,388.0,4902.0,12.6,306.4,62.0,30.0,4.0,2.0,379.0,120.0,229.0,30.0,96.0,204.0,47.1,7.0,16.0,43.8,109.0,1008.0
ATL,16.0,459.0,684.0,67.1,4714.0,7.4,294.6,93.0,29.0,15.0,50.0,335.0,93.8,2019,362.0,1361.0,3.8,85.1,28.0,10.0,4.0,2.0,459.0,5049.0,11.0,315.6,93.0,29.0,3.0,1.0,383.0,84.0,258.0,41.0,87.0,207.0,42.0,13.0,21.0,61.9,119.0,956.0
LAR,16.0,397.0,632.0,62.8,4499.0,7.4,281.2,66.0,22.0,17.0,22.0,170.0,85.6,2019,401.0,1499.0,3.7,93.7,27.0,20.0,6.0,3.0,397.0,4669.0,11.8,291.8,66.0,22.0,3.0,0.0,342.0,92.0,222.0,28.0,83.0,208.0,39.9,3.0,13.0,23.1,118.0,899.0
KC,16.0,378.0,576.0,65.6,4498.0,8.1,281.1,83.0,30.0,5.0,25.0,192.0,104.4,2019,375.0,1569.0,4.2,98.1,91.0,16.0,5.0,3.0,378.0,4690.0,12.4,293.1,83.0,30.0,5.0,3.0,350.0,93.0,211.0,46.0,89.0,187.0,47.6,6.0,10.0,60.0,107.0,1029.0
LAC,16.0,394.0,597.0,66.0,4426.0,7.8,276.6,84.0,24.0,20.0,34.0,222.0,89.0,2019,366.0,1453.0,4.0,90.8,40.0,12.0,7.0,4.0,394.0,4648.0,11.8,290.5,84.0,24.0,4.0,3.0,349.0,90.0,220.0,39.0,86.0,194.0,44.3,10.0,18.0,55.6,103.0,872.0
NO,16.0,418.0,581.0,71.9,4244.0,7.6,265.3,61.0,36.0,6.0,25.0,187.0,110.2,2019,405.0,1738.0,4.3,108.6,40.0,12.0,3.0,1.0,418.0,4431.0,10.6,276.9,61.0,36.0,2.0,0.0,347.0,97.0,230.0,20.0,81.0,192.0,42.2,5.0,13.0,38.5,120.0,1036.0
NE,16.0,378.0,620.0,61.0,3961.0,6.7,247.6,59.0,25.0,9.0,28.0,192.0,88.2,2019,447.0,1703.0,3.8,106.4,33.0,17.0,3.0,1.0,378.0,4153.0,11.0,259.6,59.0,25.0,4.0,2.0,338.0,110.0,197.0,31.0,87.0,227.0,38.3,6.0,15.0,40.0,94.0,828.0
LV,16.0,367.0,523.0,70.2,3926.0,7.9,245.4,75.0,22.0,8.0,29.0,184.0,101.0,2019,437.0,1893.0,4.3,118.3,60.0,13.0,9.0,5.0,367.0,4110.0,11.2,256.9,75.0,22.0,4.0,3.0,315.0,104.0,194.0,17.0,88.0,201.0,43.8,11.0,19.0,57.9,128.0,1138.0
DET,16.0,344.0,571.0,60.2,3900.0,7.3,243.8,75.0,28.0,15.0,43.0,287.0,88.2,2019,407.0,1649.0,4.1,103.1,44.0,7.0,5.0,3.0,344.0,4187.0,12.2,261.7,75.0,28.0,2.0,2.0,313.0,82.0,196.0,35.0,90.0,220.0,40.9,5.0,13.0,38.5,113.0,937.0
PHI,16.0,391.0,613.0,63.8,3833.0,6.6,239.6,53.0,27.0,8.0,37.0,230.0,92.1,2019,454.0,1939.0,4.3,121.2,65.0,16.0,9.0,4.0,391.0,4063.0,10.4,253.9,53.0,27.0,6.0,4.0,354.0,104.0,215.0,35.0,104.0,229.0,45.4,8.0,24.0,33.3,100.0,836.0
MIA,16.0,371.0,615.0,60.3,3804.0,6.7,237.8,51.0,22.0,18.0,58.0,313.0,80.0,2019,349.0,1156.0,3.3,72.3,28.0,10.0,7.0,2.0,371.0,4117.0,11.1,257.3,51.0,22.0,7.0,4.0,315.0,64.0,210.0,41.0,71.0,207.0,34.3,13.0,28.0,46.4,92.0,769.0
