team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
NO,16.0,472.0,662.0,71.3,5347.0,8.3,334.2,79.0,46.0,14.0,24.0,158.0,110.5,2011,431.0,2127.0,4.9,132.9,36.0,16.0,3.0,3.0,472.0,5505.0,11.7,344.1,79.0,46.0,3.0,2.0,416.0,116.0,280.0,20.0,118.0,208.0,56.7,3.0,10.0,30.0,99.0,851.0
NE,16.0,402.0,612.0,65.7,5084.0,8.6,317.8,99.0,39.0,12.0,32.0,173.0,105.7,2011,438.0,1764.0,4.0,110.3,33.0,18.0,3.0,0.0,402.0,5257.0,13.1,328.6,99.0,39.0,1.0,1.0,399.0,107.0,262.0,30.0,89.0,194.0,45.9,7.0,11.0,63.6,87.0,815.0
GB,16.0,376.0,552.0,68.1,4924.0,9.4,307.8,93.0,51.0,8.0,41.0,237.0,122.6,2011,395.0,1558.0,3.9,97.4,47.0,12.0,4.0,2.0,376.0,5161.0,13.7,322.6,93.0,51.0,1.0,0.0,353.0,89.0,230.0,34.0,91.0,189.0,48.2,4.0,8.0,50.0,76.0,591.0
DET,16.0,423.0,666.0,63.5,4814.0,7.6,300.9,73.0,41.0,16.0,36.0,257.0,97.2,2011,356.0,1523.0,4.3,95.2,88.0,9.0,6.0,1.0,423.0,5071.0,12.0,316.9,73.0,41.0,4.0,3.0,349.0,71.0,244.0,34.0,76.0,212.0,35.9,8.0,14.0,57.1,128.0,1075.0
NYG,16.0,359.0,589.0,61.0,4734.0,8.4,295.9,99.0,29.0,16.0,28.0,199.0,92.9,2011,411.0,1427.0,3.5,89.2,37.0,17.0,6.0,1.0,359.0,4933.0,13.7,308.3,99.0,29.0,2.0,2.0,331.0,84.0,216.0,31.0,77.0,206.0,37.4,4.0,13.0,30.8,94.0,795.0
LAC,16.0,366.0,582.0,62.9,4426.0,7.9,276.6,58.0,27.0,20.0,30.0,198.0,88.7,2011,436.0,1864.0,4.3,116.5,41.0,16.0,8.0,4.0,366.0,4624.0,12.6,289.0,58.0,27.0,4.0,0.0,359.0,97.0,234.0,28.0,103.0,211.0,48.8,4.0,11.0,36.4,91.0,753.0
DAL,16.0,376.0,570.0,66.0,4201.0,7.8,262.6,77.0,33.0,12.0,39.0,252.0,100.1,2011,408.0,1807.0,4.4,112.9,91.0,5.0,8.0,3.0,376.0,4453.0,11.8,278.3,77.0,33.0,5.0,3.0,327.0,91.0,219.0,17.0,78.0,198.0,39.4,5.0,10.0,50.0,114.0,816.0
ATL,16.0,365.0,594.0,61.4,4192.0,7.3,262.0,80.0,29.0,13.0,26.0,173.0,91.1,2011,453.0,1834.0,4.0,114.6,81.0,14.0,4.0,3.0,365.0,4365.0,12.0,272.8,80.0,29.0,2.0,1.0,349.0,100.0,215.0,34.0,99.0,224.0,44.2,4.0,13.0,30.8,93.0,769.0
PHI,16.0,330.0,554.0,59.6,4110.0,7.7,256.9,73.0,22.0,25.0,32.0,166.0,78.3,2011,450.0,2276.0,5.1,142.3,60.0,20.0,9.0,4.0,330.0,4276.0,13.0,267.3,73.0,22.0,3.0,3.0,356.0,134.0,197.0,25.0,85.0,205.0,41.5,7.0,15.0,46.7,107.0,853.0
PIT,16.0,341.0,539.0,63.3,4054.0,8.0,253.4,95.0,21.0,15.0,42.0,279.0,89.7,2011,434.0,1903.0,4.4,118.9,76.0,13.0,5.0,4.0,341.0,4333.0,12.7,270.8,95.0,21.0,4.0,4.0,341.0,96.0,221.0,24.0,90.0,196.0,45.9,3.0,8.0,37.5,101.0,854.0
LV,16.0,315.0,524.0,60.1,3962.0,7.9,247.6,78.0,20.0,23.0,25.0,157.0,79.4,2011,466.0,2110.0,4.5,131.9,70.0,16.0,7.0,3.0,315.0,4119.0,13.1,257.4,78.0,20.0,4.0,3.0,328.0,110.0,186.0,32.0,71.0,199.0,35.7,7.0,13.0,53.9,163.0,1358.0
TEN,16.0,353.0,584.0,60.4,3923.0,7.0,245.2,80.0,22.0,14.0,24.0,190.0,84.4,2011,376.0,1438.0,3.8,89.9,48.0,8.0,5.0,3.0,353.0,4113.0,11.7,257.1,80.0,22.0,5.0,4.0,281.0,71.0,185.0,25.0,80.0,218.0,36.7,10.0,14.0,71.4,104.0,960.0
CAR,16.0,312.0,519.0,60.1,3829.0,7.9,239.3,91.0,21.0,17.0,35.0,260.0,84.8,2011,445.0,2408.0,5.4,150.5,74.0,26.0,3.0,0.0,312.0,4089.0,13.1,255.6,91.0,21.0,6.0,4.0,345.0,139.0,175.0,31.0,75.0,185.0,40.5,6.0,10.0,60.0,113.0,1013.0
WAS,16.0,346.0,591.0,58.5,3773.0,6.9,235.8,51.0,19.0,24.0,41.0,285.0,73.3,2011,400.0,1614.0,4.0,100.9,39.0,8.0,4.0,1.0,346.0,4058.0,11.7,253.6,51.0,19.0,4.0,4.0,312.0,79.0,204.0,29.0,81.0,219.0,37.0,4.0,13.0,30.8,91.0,897.0
BUF,16.0,356.0,578.0,61.6,3703.0,6.7,231.4,60.0,24.0,25.0,23.0,154.0,77.0,2011,391.0,1921.0,4.9,120.1,80.0,12.0,10.0,4.0,356.0,3857.0,10.8,241.1,60.0,24.0,1.0,1.0,313.0,100.0,180.0,33.0,62.0,191.0,32.5,9.0,22.0,40.9,86.0,743.0
TB,16.0,365.0,588.0,62.1,3650.0,6.5,228.1,65.0,17.0,24.0,32.0,188.0,73.6,2011,346.0,1458.0,4.2,91.1,54.0,9.0,8.0,5.0,365.0,3838.0,10.5,239.9,65.0,17.0,7.0,4.0,277.0,74.0,180.0,23.0,76.0,206.0,36.9,8.0,21.0,38.1,123.0,1007.0
ARI,16.0,307.0,550.0,55.8,3567.0,7.2,222.9,73.0,21.0,23.0,54.0,387.0,73.9,2011,389.0,1625.0,4.2,101.6,71.0,12.0,8.0,4.0,307.0,3954.0,12.9,247.1,73.0,21.0,4.0,2.0,286.0,83.0,175.0,28.0,66.0,205.0,32.2,9.0,15.0,60.0,106.0,1004.0
HOU,16.0,288.0,467.0,61.7,3506.0,7.9,219.1,80.0,20.0,9.0,33.0,190.0,92.7,2011,546.0,2448.0,4.5,153.0,56.0,18.0,10.0,5.0,288.0,3696.0,12.8,231.0,80.0,20.0,1.0,1.0,321.0,131.0,176.0,14.0,93.0,224.0,41.5,3.0,11.0,27.3,99.0,852.0
BAL,16.0,314.0,544.0,57.7,3423.0,6.7,213.9,74.0,21.0,12.0,33.0,206.0,81.7,2011,459.0,1996.0,4.3,124.8,70.0,15.0,6.0,4.0,314.0,3629.0,11.6,226.8,74.0,21.0,1.0,0.0,312.0,98.0,181.0,33.0,97.0,229.0,42.4,4.0,7.0,57.1,92.0,742.0
CIN,16.0,308.0,535.0,57.6,3340.0,6.6,208.8,84.0,21.0,14.0,25.0,167.0,79.6,2011,455.0,1778.0,3.9,111.1,42.0,10.0,7.0,2.0,308.0,3507.0,11.4,219.2,84.0,21.0,2.0,1.0,285.0,93.0,160.0,32.0,80.0,219.0,36.5,4.0,10.0,40.0,99.0,874.0
NYJ,16.0,310.0,547.0,56.7,3297.0,6.5,206.1,74.0,26.0,18.0,40.0,245.0,78.4,2011,443.0,1692.0,3.8,105.8,31.0,14.0,8.0,4.0,310.0,3542.0,11.4,221.4,74.0,26.0,3.0,2.0,301.0,92.0,173.0,36.0,74.0,213.0,34.7,4.0,11.0,36.4,102.0,849.0
SEA,16.0,299.0,509.0,58.7,3105.0,6.8,194.1,61.0,15.0,14.0,50.0,339.0,77.6,2011,444.0,1756.0,4.0,109.8,48.0,15.0,8.0,4.0,299.0,3444.0,11.5,215.3,61.0,15.0,1.0,0.0,265.0,89.0,153.0,23.0,77.0,228.0,33.8,7.0,15.0,46.7,138.0,1047.0
MIA,16.0,280.0,469.0,59.7,3091.0,7.3,193.2,65.0,20.0,13.0,52.0,334.0,84.9,2011,469.0,1987.0,4.2,124.2,76.0,11.0,13.0,5.0,280.0,3425.0,12.2,214.1,65.0,20.0,3.0,3.0,287.0,89.0,166.0,32.0,69.0,207.0,33.3,6.0,16.0,37.5,85.0,779.0
CLE,16.0,320.0,570.0,56.1,3090.0,5.8,193.1,76.0,16.0,13.0,39.0,210.0,72.8,2011,415.0,1531.0,3.7,95.7,40.0,4.0,10.0,3.0,320.0,3300.0,10.3,206.3,76.0,16.0,2.0,0.0,278.0,77.0,173.0,28.0,92.0,238.0,38.7,10.0,18.0,55.6,95.0,847.0
KC,16.0,299.0,500.0,59.8,3080.0,6.6,192.5,52.0,13.0,18.0,34.0,208.0,73.0,2011,487.0,1893.0,3.9,118.3,34.0,5.0,5.0,3.0,299.0,3288.0,11.0,205.5,52.0,13.0,3.0,1.0,277.0,89.0,163.0,25.0,81.0,225.0,36.0,7.0,17.0,41.2,110.0,916.0
