team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
DEN,16.0,344.0,573.0,60.0,3193.0,6.2,199.6,80.0,19.0,14.0,52.0,351.0,78.8,2015,408.0,1337.0,3.3,83.6,48.0,10.0,4.0,3.0,344.0,3544.0,10.3,221.5,80.0,19.0,10.0,2.0,289.0,81.0,162.0,46.0,80.0,227.0,35.2,5.0,14.0,35.7,104.0,773.0
SEA,16.0,333.0,548.0,60.8,3364.0,6.6,210.3,69.0,14.0,14.0,37.0,255.0,78.1,2015,362.0,1304.0,3.6,81.5,48.0,10.0,9.0,4.0,333.0,3619.0,10.9,226.2,69.0,14.0,3.0,2.0,273.0,71.0,175.0,27.0,67.0,195.0,34.4,1.0,7.0,14.3,94.0,795.0
HOU,16.0,326.0,553.0,59.0,3366.0,6.6,210.4,55.0,24.0,14.0,45.0,311.0,82.8,2015,388.0,1597.0,4.1,99.8,85.0,10.0,5.0,3.0,326.0,3677.0,11.3,229.8,55.0,24.0,2.0,2.0,281.0,79.0,173.0,29.0,61.0,214.0,28.5,7.0,12.0,58.3,116.0,991.0
CHI,16.0,322.0,512.0,62.9,3593.0,7.5,224.6,71.0,31.0,8.0,35.0,237.0,99.3,2015,433.0,1934.0,4.5,120.9,44.0,9.0,6.0,4.0,322.0,3830.0,11.9,239.4,71.0,31.0,3.0,2.0,307.0,103.0,182.0,22.0,89.0,201.0,44.3,5.0,12.0,41.7,98.0,895.0
DAL,16.0,330.0,506.0,65.2,3636.0,7.6,227.3,80.0,19.0,8.0,31.0,229.0,94.2,2015,461.0,1934.0,4.2,120.9,50.0,16.0,2.0,1.0,330.0,3865.0,11.7,241.6,80.0,19.0,2.0,1.0,317.0,113.0,172.0,32.0,81.0,208.0,38.9,5.0,10.0,50.0,113.0,898.0
GB,16.0,321.0,551.0,58.3,3642.0,7.1,227.6,68.0,20.0,16.0,43.0,256.0,80.1,2015,420.0,1905.0,4.5,119.1,55.0,13.0,8.0,3.0,321.0,3898.0,12.1,243.6,68.0,20.0,3.0,1.0,300.0,96.0,183.0,21.0,79.0,220.0,35.9,10.0,21.0,47.6,120.0,1107.0
TEN,16.0,319.0,502.0,63.5,3678.0,7.9,229.9,69.0,34.0,11.0,39.0,271.0,101.3,2015,462.0,1797.0,3.9,112.3,32.0,11.0,3.0,1.0,319.0,3949.0,12.4,246.8,69.0,34.0,0.0,0.0,317.0,101.0,192.0,24.0,92.0,216.0,42.6,4.0,12.0,33.3,112.0,982.0
ARI,16.0,343.0,573.0,59.9,3687.0,6.9,230.4,88.0,24.0,19.0,36.0,270.0,80.9,2015,374.0,1460.0,3.9,91.3,52.0,9.0,12.0,5.0,343.0,3957.0,11.5,247.3,88.0,24.0,4.0,2.0,284.0,79.0,177.0,28.0,75.0,210.0,35.7,8.0,17.0,47.1,130.0,1202.0
KC,16.0,349.0,607.0,57.5,3698.0,6.6,231.1,55.0,25.0,22.0,47.0,290.0,76.0,2015,383.0,1571.0,4.1,98.2,42.0,7.0,7.0,2.0,349.0,3988.0,11.4,249.3,55.0,25.0,0.0,0.0,313.0,86.0,193.0,34.0,72.0,217.0,33.2,13.0,27.0,48.2,110.0,941.0
BAL,16.0,350.0,545.0,64.2,3737.0,7.3,233.6,80.0,30.0,6.0,37.0,220.0,99.6,2015,418.0,1661.0,4.0,103.8,62.0,10.0,7.0,4.0,350.0,3957.0,11.3,247.3,80.0,30.0,3.0,0.0,311.0,80.0,189.0,42.0,86.0,216.0,39.8,4.0,9.0,44.4,103.0,748.0
CAR,16.0,390.0,650.0,60.0,3752.0,6.2,234.5,70.0,21.0,24.0,44.0,302.0,73.5,2015,364.0,1415.0,3.9,88.4,63.0,11.0,9.0,4.0,390.0,4054.0,10.4,253.4,70.0,21.0,7.0,5.0,298.0,74.0,198.0,26.0,86.0,227.0,37.9,15.0,26.0,57.7,99.0,822.0
MIN,16.0,359.0,561.0,64.0,3759.0,7.2,234.9,72.0,24.0,13.0,43.0,283.0,90.0,2015,411.0,1748.0,4.3,109.3,72.0,7.0,6.0,4.0,359.0,4042.0,11.3,252.6,72.0,24.0,2.0,1.0,318.0,94.0,189.0,35.0,71.0,206.0,34.5,11.0,22.0,50.0,109.0,875.0
NYJ,16.0,343.0,601.0,57.1,3763.0,6.7,235.2,72.0,25.0,18.0,39.0,278.0,79.0,2015,373.0,1335.0,3.6,83.4,45.0,4.0,8.0,5.0,343.0,4041.0,11.8,252.6,72.0,25.0,0.0,0.0,271.0,62.0,185.0,24.0,77.0,232.0,33.2,13.0,23.0,56.5,90.0,767.0
