team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
TB,17.0,492.0,731.0,67.3,5229.0,7.4,307.6,62.0,43.0,12.0,23.0,154.0,101.6,2021,385.0,1672.0,4.3,98.4,55.0,18.0,9.0,3.0,492.0,5383.0,10.9,316.6,62.0,43.0,7.0,4.0,404.0,106.0,273.0,25.0,105.0,223.0,47.1,9.0,16.0,56.3,97.0,874.0
DAL,17.0,444.0,647.0,68.6,4800.0,7.7,282.4,73.0,40.0,11.0,33.0,163.0,104.8,2021,473.0,2119.0,4.5,124.6,58.0,15.0,11.0,3.0,444.0,4963.0,11.2,291.9,73.0,40.0,10.0,4.0,390.0,111.0,248.0,31.0,99.0,228.0,43.4,14.0,24.0,58.3,127.0,1103.0
LAC,17.0,443.0,674.0,65.7,4800.0,7.4,282.4,72.0,38.0,15.0,31.0,214.0,97.4,2021,423.0,1834.0,4.3,107.9,75.0,18.0,7.0,2.0,443.0,5014.0,11.3,294.9,72.0,38.0,6.0,4.0,401.0,112.0,256.0,33.0,100.0,221.0,45.3,22.0,34.0,64.7,116.0,1033.0
KC,17.0,448.0,675.0,66.4,4791.0,7.3,281.8,75.0,37.0,13.0,28.0,146.0,98.1,2021,431.0,1955.0,4.5,115.0,51.0,16.0,9.0,4.0,448.0,4937.0,11.0,290.4,75.0,37.0,9.0,5.0,419.0,119.0,267.0,33.0,107.0,205.0,52.2,10.0,15.0,66.7,111.0,925.0
LAR,17.0,406.0,607.0,66.9,4642.0,8.1,273.1,79.0,41.0,18.0,31.0,251.0,101.6,2021,420.0,1683.0,4.0,99.0,39.0,10.0,3.0,2.0,406.0,4893.0,12.1,287.8,79.0,41.0,5.0,2.0,355.0,99.0,233.0,23.0,90.0,205.0,43.9,10.0,19.0,52.6,76.0,637.0
LV,17.0,429.0,628.0,68.3,4567.0,7.7,268.6,61.0,23.0,14.0,40.0,241.0,93.8,2021,414.0,1617.0,3.9,95.1,31.0,14.0,7.0,2.0,429.0,4808.0,11.2,282.8,61.0,23.0,15.0,8.0,349.0,95.0,217.0,37.0,77.0,206.0,37.4,12.0,19.0,63.2,124.0,1104.0
CIN,17.0,384.0,555.0,69.2,4403.0,8.7,259.0,82.0,36.0,14.0,55.0,403.0,106.9,2021,436.0,1742.0,4.0,102.5,46.0,16.0,8.0,1.0,384.0,4806.0,12.5,282.7,82.0,36.0,10.0,4.0,337.0,96.0,208.0,33.0,82.0,207.0,39.6,13.0,20.0,65.0,72.0,620.0
GB,17.0,402.0,593.0,67.8,4315.0,7.6,253.8,75.0,39.0,7.0,33.0,211.0,107.4,2021,446.0,1900.0,4.3,111.8,57.0,13.0,7.0,2.0,402.0,4526.0,11.3,266.2,75.0,39.0,8.0,2.0,375.0,109.0,235.0,31.0,88.0,202.0,43.6,13.0,22.0,59.1,69.0,678.0
BUF,17.0,415.0,655.0,63.4,4284.0,6.8,252.0,61.0,36.0,16.0,27.0,166.0,91.3,2021,461.0,2209.0,4.8,129.9,46.0,20.0,18.0,2.0,415.0,4450.0,10.7,261.8,61.0,36.0,11.0,2.0,398.0,134.0,236.0,28.0,103.0,222.0,46.4,11.0,22.0,50.0,113.0,980.0
ARI,17.0,415.0,591.0,70.2,4276.0,7.8,251.5,77.0,27.0,11.0,39.0,343.0,100.6,2021,496.0,2076.0,4.2,122.1,57.0,23.0,10.0,0.0,415.0,4619.0,11.1,271.7,77.0,27.0,5.0,2.0,367.0,127.0,214.0,26.0,100.0,221.0,45.3,17.0,29.0,58.6,114.0,990.0
