team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
PIT,16.0,289.0,530.0,54.5,2751.0,5.6,171.9,73.0,15.0,11.0,35.0,230.0,71.7,2011,399.0,1597.0,4.0,99.8,42.0,7.0,2.0,1.0,289.0,2981.0,10.3,186.3,73.0,15.0,1.0,0.0,264.0,82.0,156.0,26.0,86.0,221.0,38.9,8.0,13.0,61.5,96.0,777.0
CLE,16.0,265.0,469.0,56.5,2959.0,6.7,184.9,80.0,16.0,9.0,32.0,199.0,80.6,2011,534.0,2359.0,4.4,147.4,67.0,12.0,6.0,4.0,265.0,3158.0,11.9,197.4,80.0,16.0,4.0,3.0,301.0,124.0,149.0,28.0,95.0,230.0,41.3,6.0,14.0,42.9,90.0,726.0
HOU,16.0,279.0,538.0,51.9,3035.0,6.2,189.7,56.0,18.0,17.0,44.0,287.0,69.0,2011,378.0,1536.0,4.1,96.0,42.0,8.0,8.0,5.0,279.0,3322.0,11.9,207.6,56.0,18.0,0.0,0.0,270.0,73.0,166.0,31.0,76.0,212.0,35.9,6.0,13.0,46.2,88.0,686.0
BAL,16.0,288.0,535.0,53.8,3140.0,6.4,196.3,66.0,11.0,15.0,48.0,290.0,68.8,2011,419.0,1482.0,3.5,92.6,25.0,10.0,10.0,3.0,288.0,3430.0,11.9,214.4,66.0,11.0,6.0,3.0,269.0,79.0,166.0,24.0,71.0,221.0,32.1,10.0,21.0,47.6,103.0,1032.0
NYJ,16.0,275.0,507.0,54.2,3216.0,6.7,201.0,99.0,15.0,19.0,35.0,198.0,69.6,2011,451.0,1777.0,3.9,111.1,70.0,17.0,10.0,5.0,275.0,3414.0,12.4,213.4,99.0,15.0,2.0,2.0,272.0,83.0,167.0,22.0,69.0,211.0,32.7,1.0,10.0,10.0,110.0,966.0
KC,16.0,257.0,454.0,56.6,3221.0,7.5,201.3,67.0,23.0,20.0,29.0,186.0,79.1,2011,508.0,2112.0,4.2,132.0,35.0,14.0,8.0,4.0,257.0,3407.0,13.3,212.9,67.0,23.0,1.0,0.0,291.0,96.0,169.0,26.0,72.0,210.0,34.3,7.0,16.0,43.8,108.0,834.0
LAR,16.0,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,2011,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
JAC,16.0,326.0,513.0,63.5,3341.0,6.9,208.8,80.0,21.0,17.0,31.0,213.0,83.7,2011,435.0,1667.0,3.8,104.2,68.0,14.0,7.0,5.0,326.0,3554.0,10.9,222.1,80.0,21.0,1.0,0.0,268.0,73.0,175.0,20.0,79.0,218.0,36.2,4.0,9.0,44.4,105.0,895.0
CIN,16.0,319.0,539.0,59.2,3385.0,6.8,211.6,74.0,21.0,10.0,45.0,277.0,85.0,2011,425.0,1675.0,3.9,104.7,70.0,14.0,8.0,4.0,319.0,3662.0,11.5,228.9,74.0,21.0,8.0,5.0,284.0,94.0,170.0,20.0,78.0,220.0,35.5,4.0,11.0,36.4,101.0,878.0
PHI,16.0,301.0,518.0,58.1,3397.0,7.2,212.3,74.0,27.0,15.0,50.0,316.0,85.7,2011,414.0,1801.0,4.4,112.6,61.0,11.0,5.0,3.0,301.0,3713.0,12.3,232.1,74.0,27.0,3.0,3.0,289.0,84.0,173.0,32.0,75.0,211.0,35.6,7.0,17.0,41.2,97.0,813.0
