team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
JAC,16.0,289.0,509.0,56.8,2718.0,6.0,169.9,74.0,17.0,21.0,55.0,356.0,68.5,2017,429.0,1860.0,4.3,116.3,75.0,9.0,8.0,4.0,289.0,3074.0,10.6,192.1,74.0,17.0,1.0,1.0,257.0,91.0,143.0,23.0,74.0,220.0,33.6,6.0,13.0,46.2,112.0,1050.0
MIN,16.0,324.0,555.0,58.4,3078.0,6.0,192.4,52.0,13.0,14.0,37.0,251.0,73.0,2017,364.0,1337.0,3.7,83.6,62.0,10.0,4.0,2.0,324.0,3329.0,10.3,208.1,52.0,13.0,1.0,1.0,260.0,59.0,168.0,33.0,51.0,202.0,25.3,9.0,23.0,39.1,105.0,928.0
LAC,16.0,329.0,524.0,62.8,3156.0,6.5,197.3,87.0,17.0,18.0,43.0,261.0,78.1,2017,430.0,2098.0,4.9,131.1,69.0,11.0,5.0,3.0,329.0,3417.0,10.4,213.6,87.0,17.0,3.0,2.0,282.0,99.0,153.0,30.0,86.0,221.0,38.9,6.0,20.0,30.0,109.0,995.0
DEN,16.0,294.0,491.0,59.9,3210.0,6.9,200.6,64.0,29.0,10.0,33.0,175.0,91.9,2017,428.0,1430.0,3.3,89.4,47.0,9.0,4.0,2.0,294.0,3385.0,11.5,211.6,64.0,29.0,3.0,1.0,266.0,68.0,166.0,32.0,66.0,209.0,31.6,7.0,21.0,33.3,89.0,821.0
PIT,16.0,297.0,499.0,59.5,3217.0,7.2,201.1,75.0,20.0,16.0,56.0,393.0,81.8,2017,385.0,1693.0,4.4,105.8,90.0,14.0,4.0,2.0,297.0,3610.0,12.2,225.6,75.0,20.0,5.0,3.0,270.0,89.0,157.0,24.0,72.0,199.0,36.2,6.0,19.0,31.6,110.0,1041.0
SEA,16.0,325.0,554.0,58.7,3347.0,6.5,209.2,75.0,19.0,14.0,39.0,269.0,79.1,2017,452.0,1824.0,4.0,114.0,75.0,14.0,8.0,4.0,325.0,3616.0,11.1,226.0,75.0,19.0,1.0,1.0,316.0,90.0,181.0,45.0,85.0,222.0,38.3,7.0,15.0,46.7,102.0,878.0
CHI,16.0,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,2017,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
CIN,16.0,336.0,561.0,59.9,3379.0,6.5,211.2,72.0,20.0,11.0,41.0,278.0,82.9,2017,489.0,2046.0,4.2,127.9,49.0,13.0,4.0,2.0,336.0,3657.0,10.9,228.6,72.0,20.0,1.0,1.0,325.0,111.0,173.0,41.0,98.0,241.0,40.7,9.0,19.0,47.4,106.0,906.0
WAS,16.0,306.0,531.0,57.6,3420.0,7.0,213.8,75.0,23.0,16.0,42.0,272.0,81.0,2017,472.0,2146.0,4.5,134.1,75.0,13.0,8.0,3.0,306.0,3692.0,12.1,230.8,75.0,23.0,2.0,2.0,307.0,105.0,171.0,31.0,83.0,226.0,36.7,9.0,15.0,60.0,100.0,887.0
BAL,16.0,333.0,569.0,58.5,3421.0,6.5,213.8,57.0,18.0,22.0,41.0,280.0,72.4,2017,435.0,1780.0,4.1,111.3,59.0,12.0,5.0,3.0,333.0,3701.0,11.1,231.3,57.0,18.0,4.0,2.0,296.0,87.0,179.0,30.0,82.0,222.0,36.9,6.0,16.0,37.5,96.0,807.0
DAL,16.0,371.0,559.0,66.4,3425.0,6.7,214.1,56.0,28.0,10.0,38.0,321.0,94.6,2017,403.0,1664.0,4.1,104.0,71.0,7.0,6.0,1.0,371.0,3746.0,10.1,234.1,56.0,28.0,3.0,1.0,312.0,96.0,181.0,35.0,90.0,210.0,42.9,4.0,13.0,30.8,107.0,880.0
ATL,16.0,362.0,553.0,65.5,3429.0,6.7,214.3,54.0,22.0,8.0,39.0,296.0,91.9,2017,402.0,1665.0,4.1,104.1,46.0,9.0,8.0,3.0,362.0,3725.0,10.3,232.8,54.0,22.0,0.0,0.0,323.0,97.0,197.0,29.0,75.0,196.0,38.3,13.0,19.0,68.4,103.0,875.0
LAR,16.0,324.0,555.0,58.4,3475.0,6.8,217.2,65.0,21.0,18.0,48.0,324.0,78.4,2017,417.0,1959.0,4.7,122.4,75.0,15.0,8.0,3.0,324.0,3799.0,11.7,237.4,65.0,21.0,3.0,2.0,300.0,86.0,181.0,33.0,86.0,227.0,37.9,9.0,15.0,60.0,102.0,808.0
ARI,16.0,343.0,564.0,60.8,3541.0,6.7,221.3,72.0,24.0,15.0,37.0,255.0,83.9,2017,406.0,1434.0,3.5,89.6,37.0,12.0,7.0,1.0,343.0,3796.0,11.1,237.3,72.0,24.0,3.0,2.0,283.0,68.0,187.0,28.0,80.0,224.0,35.7,7.0,16.0,43.8,129.0,1128.0
NO,16.0,329.0,554.0,59.4,3597.0,7.0,224.8,53.0,22.0,20.0,42.0,287.0,79.0,2017,406.0,1787.0,4.4,111.7,50.0,11.0,5.0,1.0,329.0,3884.0,11.8,242.8,53.0,22.0,4.0,1.0,308.0,92.0,172.0,44.0,87.0,212.0,41.0,4.0,12.0,33.3,108.0,850.0
MIA,16.0,339.0,528.0,64.2,3603.0,7.2,225.2,69.0,26.0,9.0,30.0,185.0,94.8,2017,431.0,1768.0,4.1,110.5,69.0,14.0,9.0,3.0,339.0,3788.0,11.2,236.8,69.0,26.0,1.0,1.0,319.0,88.0,190.0,41.0,75.0,203.0,37.0,2.0,8.0,25.0,122.0,1077.0
PHI,16.0,363.0,601.0,60.4,3637.0,6.5,227.3,77.0,24.0,19.0,38.0,246.0,79.5,2017,337.0,1267.0,3.8,79.2,53.0,7.0,3.0,2.0,363.0,3883.0,10.7,242.7,77.0,24.0,3.0,3.0,272.0,62.0,177.0,33.0,66.0,205.0,32.2,4.0,18.0,22.2,101.0,917.0
CAR,16.0,351.0,550.0,63.8,3665.0,7.2,229.1,70.0,25.0,10.0,50.0,304.0,92.9,2017,353.0,1409.0,4.0,88.1,72.0,7.0,1.0,1.0,351.0,3969.0,11.3,248.1,70.0,25.0,4.0,2.0,282.0,69.0,187.0,26.0,78.0,206.0,37.9,7.0,20.0,35.0,101.0,867.0
CLE,16.0,360.0,525.0,68.6,3684.0,7.4,230.3,61.0,28.0,7.0,34.0,197.0,102.2,2017,467.0,1566.0,3.4,97.9,39.0,14.0,5.0,1.0,360.0,3881.0,10.8,242.6,61.0,28.0,7.0,2.0,315.0,95.0,189.0,31.0,91.0,224.0,40.6,5.0,10.0,50.0,101.0,905.0
BUF,16.0,370.0,573.0,64.6,3688.0,6.7,230.5,77.0,14.0,18.0,27.0,156.0,78.9,2017,466.0,1994.0,4.3,124.6,51.0,22.0,5.0,0.0,370.0,3844.0,10.4,240.3,77.0,14.0,7.0,4.0,348.0,121.0,199.0,28.0,82.0,214.0,38.3,11.0,20.0,55.0,97.0,873.0
NYJ,16.0,329.0,558.0,59.0,3749.0,7.0,234.3,79.0,30.0,11.0,28.0,155.0,90.1,2017,466.0,1887.0,4.0,117.9,70.0,13.0,9.0,4.0,329.0,3904.0,11.9,244.0,79.0,30.0,5.0,4.0,329.0,88.0,191.0,50.0,82.0,221.0,37.1,5.0,11.0,45.5,114.0,981.0
SF,16.0,344.0,544.0,63.2,3764.0,7.2,235.3,72.0,27.0,10.0,30.0,179.0,93.9,2017,491.0,1861.0,3.8,116.3,45.0,13.0,10.0,2.0,344.0,3943.0,11.5,246.4,72.0,27.0,5.0,4.0,343.0,108.0,198.0,37.0,95.0,221.0,43.0,10.0,12.0,83.3,97.0,791.0
GB,16.0,348.0,513.0,67.8,3789.0,7.9,236.8,71.0,30.0,11.0,37.0,252.0,102.0,2017,464.0,1793.0,3.9,112.1,37.0,10.0,6.0,4.0,348.0,4041.0,11.6,252.6,71.0,30.0,3.0,2.0,331.0,95.0,211.0,25.0,89.0,208.0,42.8,8.0,10.0,80.0,94.0,832.0
HOU,16.0,321.0,501.0,64.1,3799.0,8.0,237.4,94.0,30.0,11.0,32.0,200.0,99.5,2017,440.0,1747.0,4.0,109.2,75.0,14.0,4.0,1.0,321.0,3999.0,12.5,249.9,94.0,30.0,2.0,0.0,301.0,88.0,176.0,37.0,71.0,201.0,35.3,5.0,8.0,62.5,122.0,1128.0
