team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
LAC,16.0,366.0,583.0,62.8,4431.0,7.8,276.9,75.0,28.0,11.0,18.0,120.0,95.1,2017,419.0,1595.0,3.8,99.7,87.0,10.0,5.0,1.0,366.0,4551.0,12.4,284.4,75.0,28.0,3.0,2.0,337.0,84.0,220.0,33.0,84.0,209.0,40.2,5.0,11.0,45.5,108.0,927.0
NE,16.0,389.0,587.0,66.3,4418.0,7.9,276.1,64.0,32.0,8.0,35.0,201.0,102.6,2017,448.0,1889.0,4.2,118.1,44.0,16.0,4.0,2.0,389.0,4619.0,11.9,288.7,64.0,32.0,2.0,0.0,389.0,107.0,232.0,50.0,82.0,202.0,40.6,8.0,13.0,61.5,95.0,835.0
PIT,16.0,384.0,590.0,65.1,4380.0,7.7,273.8,97.0,29.0,15.0,24.0,154.0,94.1,2017,437.0,1667.0,3.8,104.2,29.0,12.0,4.0,2.0,384.0,4534.0,11.8,283.4,97.0,29.0,4.0,0.0,348.0,96.0,217.0,35.0,92.0,209.0,44.0,3.0,8.0,37.5,101.0,896.0
TB,16.0,378.0,605.0,62.5,4366.0,7.6,272.9,70.0,26.0,14.0,40.0,241.0,90.6,2017,389.0,1450.0,3.7,90.6,36.0,8.0,7.0,3.0,378.0,4607.0,12.2,287.9,70.0,26.0,6.0,4.0,352.0,76.0,243.0,33.0,85.0,196.0,43.4,4.0,8.0,50.0,104.0,795.0
NO,16.0,386.0,536.0,72.0,4189.0,8.1,261.8,54.0,23.0,8.0,20.0,145.0,103.9,2017,444.0,2070.0,4.7,129.4,74.0,23.0,5.0,3.0,386.0,4334.0,11.2,270.9,54.0,23.0,5.0,5.0,332.0,111.0,201.0,20.0,73.0,194.0,37.6,12.0,15.0,80.0,105.0,962.0
DET,16.0,374.0,570.0,65.6,4183.0,7.8,261.4,71.0,29.0,11.0,47.0,287.0,98.4,2017,363.0,1221.0,3.4,76.3,34.0,10.0,6.0,3.0,374.0,4470.0,12.0,279.4,71.0,29.0,2.0,2.0,296.0,58.0,210.0,28.0,81.0,209.0,38.8,1.0,9.0,11.1,104.0,968.0
KC,16.0,363.0,543.0,66.9,4104.0,8.0,256.5,79.0,26.0,8.0,37.0,222.0,100.8,2017,405.0,1903.0,4.7,118.9,70.0,12.0,3.0,2.0,363.0,4326.0,11.9,270.4,79.0,26.0,2.0,0.0,322.0,95.0,198.0,29.0,78.0,199.0,39.2,3.0,10.0,30.0,118.0,1044.0
ATL,16.0,343.0,530.0,64.7,3990.0,7.8,249.4,88.0,21.0,12.0,24.0,156.0,92.4,2017,430.0,1847.0,4.3,115.4,52.0,12.0,9.0,4.0,343.0,4146.0,12.1,259.1,88.0,21.0,1.0,0.0,330.0,101.0,200.0,29.0,88.0,197.0,44.7,4.0,13.0,30.8,102.0,918.0
SF,16.0,362.0,607.0,59.6,3925.0,7.0,245.3,83.0,15.0,15.0,43.0,310.0,78.8,2017,408.0,1664.0,4.1,104.0,61.0,15.0,7.0,2.0,362.0,4235.0,11.7,264.7,83.0,15.0,2.0,2.0,321.0,88.0,206.0,27.0,91.0,234.0,38.9,8.0,18.0,44.4,123.0,988.0
LAR,16.0,320.0,518.0,61.8,3831.0,7.8,239.4,94.0,28.0,7.0,28.0,192.0,98.3,2017,454.0,1953.0,4.3,122.1,57.0,17.0,8.0,3.0,320.0,4023.0,12.6,251.4,94.0,28.0,5.0,4.0,311.0,97.0,185.0,29.0,88.0,214.0,41.1,5.0,12.0,41.7,107.0,922.0
MIN,16.0,357.0,527.0,67.7,3753.0,7.5,234.6,65.0,25.0,8.0,27.0,176.0,99.1,2017,501.0,1957.0,3.9,122.3,58.0,15.0,4.0,3.0,357.0,3929.0,11.0,245.6,65.0,25.0,4.0,2.0,334.0,100.0,196.0,38.0,94.0,216.0,43.5,1.0,7.0,14.3,100.0,949.0
WAS,16.0,347.0,540.0,64.3,3751.0,7.6,234.4,74.0,27.0,13.0,41.0,342.0,93.9,2017,401.0,1448.0,3.6,90.5,61.0,10.0,10.0,3.0,347.0,4093.0,11.8,255.8,74.0,27.0,4.0,2.0,278.0,66.0,191.0,21.0,66.0,204.0,32.4,9.0,16.0,56.3,92.0,732.0
