rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
208,Brandon Jackson,190,703,3.7,71,0,3,43,50,342,8.0,1,0,16,0.0,0.0,0.0,FA,RB,2010
209,Bernard Scott,61,299,4.9,18,0,1,11,13,60,5.5,0,1,16,0.0,0.0,0.0,FA,RB,2010
210,BenJarvus Green-Ellis,229,1008,4.4,33,0,13,12,16,85,7.1,0,0,16,0.0,0.0,0.0,FA,RB,2010
211,Arian Foster,327,1616,4.9,74,0,16,66,84,604,9.2,2,2,16,0.0,0.0,0.0,FA,RB,2010
212,Anthony Alridge,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,WAS,RB,2010
213,Ahmad Bradshaw,276,1235,4.5,48,0,8,47,58,314,6.7,0,6,16,0.0,0.0,0.0,FA,RB,2010
214,Darren Sproles,50,267,5.3,34,0,0,59,75,520,8.8,2,3,16,0.0,0.0,0.1,FA,RB,2010
215,Darren McFadden,223,1157,5.2,57,0,7,47,61,507,10.8,3,3,13,0.0,0.0,7.0,FA,RB,2010
216,Darius Reynaud,0,0,0.0,0,0,0,0,0,0,0.0,0,0,9,0.0,0.0,0.0,FA,RB,2010
217,Dantrell Savage,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CAR,RB,2010
218,Danny Woodhead,97,547,5.6,36,0,5,34,44,379,11.1,1,1,15,0.0,0.0,20.6,FA,RB,2010
219,Cedric Benson,321,1111,3.5,26,0,7,28,37,178,6.4,1,5,16,0.0,0.0,0.0,FA,RB,2010
220,Chris Pressley,1,0,0.0,0,0,0,1,1,6,6.0,0,0,7,0.0,0.0,0.0,FA,RB,2010
221,Chris Johnson,316,1364,4.3,76,0,11,44,57,245,5.6,1,2,16,0.0,0.0,0.6,FA,RB,2010
222,Chad Simpson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,WAS,RB,2010
223,Kevin Smith,34,133,3.9,15,0,0,11,16,123,11.2,0,0,6,0.0,0.0,0.0,FA,RB,2010
224,Anthony Dixon,70,237,3.4,34,0,2,5,5,11,2.2,0,0,16,0.0,0.0,0.0,FA,RB,2010
225,Stefan Logan,15,95,6.3,21,0,0,0,1,0,0.0,0,1,16,0.0,0.0,0.0,FA,RB,2010
226,Shonn Greene,185,766,4.1,23,0,2,16,24,120,7.5,0,2,15,0.0,0.0,0.0,FA,RB,2010
227,Samkon Gado,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,TEN,RB,2010
228,Ryan Grant,8,45,5.6,18,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,FA,RB,2010
229,Ronnie Brown,200,734,3.7,51,0,5,33,42,242,7.3,0,2,16,0.0,0.0,0.0,FA,RB,2010
230,Tashard Choice,66,243,3.7,26,0,3,17,22,109,6.4,0,1,16,0.0,0.0,0.0,FA,RB,2010
231,Reggie Bush,36,150,4.2,23,0,0,34,42,208,6.1,1,1,8,0.0,0.0,0.0,FA,RB,2010
232,Ray Rice,307,1220,4.0,50,0,5,63,83,556,8.8,1,0,16,0.0,0.0,0.0,FA,RB,2010
233,Rashard Mendenhall,324,1273,3.9,50,0,13,23,34,167,7.3,0,2,16,0.0,0.0,0.0,FA,RB,2010
234,Rashad Jennings,84,459,5.5,74,0,4,26,34,223,8.6,0,0,13,0.0,0.0,0.0,FA,RB,2010
235,Quinn Johnson,0,0,0.0,0,0,0,3,4,26,8.7,0,0,11,0.0,0.0,0.0,FA,RB,2010
236,Pierre Thomas,83,269,3.2,16,0,2,29,29,201,6.9,0,0,6,0.0,0.0,0.0,FA,RB,2010
237,Peyton Hillis,270,1177,4.4,48,0,11,61,77,477,7.8,2,5,16,0.0,0.0,0.0,FA,RB,2010
238,Steven Jackson,330,1241,3.8,42,0,6,46,61,383,8.3,0,1,16,0.0,0.0,0.0,FA,RB,2010
239,Toby Gerhart,81,322,4.0,21,0,1,21,29,167,8.0,0,3,15,0.0,0.0,0.0,FA,RB,2010
240,Dexter McCluster,18,71,3.9,20,0,0,21,39,209,10.0,1,1,11,0.0,0.0,0.0,FA,RB,2010
241,Ryan Mathews,158,678,4.3,31,0,7,22,26,145,6.6,0,3,12,0.0,0.0,0.0,FA,RB,2010
242,Jahvid Best,171,555,3.2,45,0,4,58,80,487,8.4,2,1,16,0.0,0.0,0.0,FA,RB,2010
243,Jonathan Dwyer,9,28,3.1,7,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,FA,RB,2010
244,C.J. Spiller,74,283,3.8,20,0,0,24,30,157,6.5,1,3,14,0.0,0.0,0.1,FA,RB,2010
245,Xavier Omon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,SF,RB,2010
246,Willis McGahee,100,380,3.8,30,0,5,14,17,55,3.9,1,2,15,0.0,0.0,0.0,FA,RB,2010
247,Vonta Leach,0,0,0.0,0,0,0,8,15,91,11.4,0,0,16,0.0,0.0,0.0,FA,RB,2010
248,Tony Fiammetta,7,22,3.1,11,0,0,5,10,34,6.8,0,0,14,0.0,0.0,0.0,FA,RB,2010
249,Tim Hightower,153,736,4.8,80,0,5,21,42,136,6.5,0,4,16,0.0,0.0,0.0,FA,RB,2010
250,Korey Hall,0,0,0.0,0,0,0,1,1,9,9.0,0,0,12,0.0,0.0,0.0,FA,RB,2010
251,Lex Hilliard,0,0,0.0,0,0,0,1,2,3,3.0,0,0,16,0.0,0.0,0.0,FA,RB,2010
252,Leon Washington,27,100,3.7,21,0,1,9,13,79,8.8,0,1,16,0.0,0.0,0.0,FA,RB,2010
253,Le'Ron McClain,28,85,3.0,16,0,0,21,26,134,6.4,0,0,15,0.0,0.0,0.0,FA,RB,2010
254,Marcel Reece,30,122,4.1,31,0,1,25,43,333,13.3,3,1,16,0.0,0.0,0.0,FA,RB,2010
255,Lawrence Vickers,5,11,2.2,3,0,0,4,9,15,3.8,0,0,16,0.0,0.0,0.0,FA,RB,2010
256,LaRod Stephens-Howling,23,113,4.9,30,0,1,16,23,111,6.9,0,0,13,0.0,0.0,0.0,FA,RB,2010
257,Madison Hedgecock,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NYG,RB,2010
258,Marcus Mailei,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NO,RB,2010
259,Mike Bell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,BUF,RB,2010
260,Montell Owens,0,0,0.0,0,0,0,0,0,0,0.0,0,0,16,0.0,0.0,0.0,FA,RB,2010
261,Mike Tolbert,182,735,4.0,36,0,11,25,29,216,8.6,0,3,15,0.0,0.0,0.0,FA,RB,2010
262,Mike Goodson,103,452,4.4,45,0,3,40,57,310,7.8,0,3,16,0.0,0.0,0.0,FA,RB,2010
263,Mike Cox,0,0,0.0,0,0,0,4,4,27,6.8,0,0,7,0.0,0.0,0.0,FA,RB,2010
264,Marcus Mason,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LAC,RB,2010
265,Michael Robinson,12,77,6.4,17,0,0,8,13,37,4.6,0,0,11,0.0,0.0,0.0,FA,RB,2010
266,Michael Bush,158,655,4.1,30,0,8,18,24,194,10.8,0,0,14,0.0,0.0,0.0,FA,RB,2010
267,Maurice Jones-Drew,299,1324,4.4,37,0,5,34,44,317,9.3,2,2,14,0.0,0.0,0.0,FA,RB,2010
268,Matt Lawrence,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,BAL,RB,2010
269,Matt Forte,237,1069,4.5,68,0,6,51,70,547,10.7,3,2,16,0.0,0.0,19.1,FA,RB,2010
270,Marshawn Lynch,202,737,3.6,39,0,6,22,26,145,6.6,0,4,16,0.0,0.0,0.3,FA,RB,2010
271,Andy Janovich,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,CLE,RB,2010
272,Kenyan Drake,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,29.4,LV,RB,2010
273,Jonathan Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6,WAS,RB,2010
274,Jordan Howard,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,18.7,PHI,RB,2010
275,Devontae Booker,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,23.3,NYG,RB,2010
276,Alex Collins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,18.8,SEA,RB,2010
277,Derek Watt,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,PIT,RB,2010
278,Ezekiel Elliott,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,99.7,DAL,RB,2010
279,Peyton Barber,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.2,LV,RB,2010
280,Dwayne Washington,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,NO,RB,2010
281,Derrick Henry,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,78.0,TEN,RB,2010
282,Raheem Mostert,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,13.0,SF,RB,2010
283,Michael Burton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,KC,RB,2010
284,Alex Armah Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,WAS,RB,2010
285,Aaron Jones,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.9,GB,RB,2010
286,Austin Ekeler,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,99.9,LAC,RB,2010
287,Chris Carson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,31.7,SEA,RB,2010
288,Dare Ogunbowale,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,31.1,JAC,RB,2010
289,Taquan Mizzell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NYG,RB,2010
290,J.P. Holtz,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CHI,RB,2010
291,J.D. McKissic,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,32.9,WAS,RB,2010
292,C.J. Ham,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,MIN,RB,2010
293,Brandin Bryant,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,BUF,RB,2010
294,Elijhaa Penny,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,NYG,RB,2010
295,Tarik Cohen,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,3.0,CHI,RB,2010
296,Wayne Gallman Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0,MIN,RB,2010
297,Brian Hill,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,SF,RB,2010
298,James Conner,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,94.6,ARI,RB,2010
299,Corey Clement,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8,DAL,RB,2010
300,Marlon Mack,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.6,IND,RB,2010
301,Kareem Hunt,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,82.1,CLE,RB,2010
302,Jamaal Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,58.2,DET,RB,2010
303,Samaje Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,15.2,CIN,RB,2010
304,Alvin Kamara,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,100.0,NO,RB,2010
305,Joe Mixon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.1,CIN,RB,2010
306,D'Onta Foreman,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,66.5,TEN,RB,2010
307,Christian McCaffrey,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,47.2,CAR,RB,2010
308,Leonard Fournette,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,74.8,TB,RB,2010
309,Dalvin Cook,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,100.0,MIN,RB,2010
310,Jerick McKinnon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8,KC,RB,2010
311,Willie Carter,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CHI,RB,2010
312,James White,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.9,NE,RB,2010
313,Damien Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.4,CHI,RB,2010
314,Tim Flanders,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NO,RB,2010
315,Devonta Freeman,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,74.2,BAL,RB,2010
316,Kyle Juszczyk,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0,SF,RB,2010
317,Latavius Murray,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,22.2,BAL,RB,2010
318,Kenjon Barner,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,TB,RB,2010
319,Rex Burkhead,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,31.5,HOU,RB,2010
320,Carlin Isles,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DET,RB,2010
321,Carlos Hyde,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,6.9,JAC,RB,2010
322,Melvin Gordon III,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,87.8,DEN,RB,2010
323,Duke Johnson Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.4,MIA,RB,2010
324,Tevin Coleman,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,18.5,NYJ,RB,2010
325,Ameer Abdullah,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,10.4,CAR,RB,2010
326,Mike Davis,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,49.7,ATL,RB,2010
327,Ty Montgomery,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6,NO,RB,2010
328,Malcolm Brown,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,3.6,MIA,RB,2010
329,David Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,35.4,HOU,RB,2010
330,Keith Smith,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,ATL,RB,2010
331,Brennan Clay,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DEN,RB,2010
