rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
108.0,Jimmy Clausen,157.0,299.0,52.5,1558.0,5.2,3.0,9.0,33.0,23.0,57.0,0.0,2.0,13.0,0.0,0.0,0.0,CAR,QB,2010
109.0,Shaun Hill,257.0,416.0,61.8,2686.0,6.5,16.0,12.0,17.0,22.0,123.0,0.0,1.0,11.0,0.0,0.0,0.0,DET,QB,2010
110.0,John Skelton,60.0,126.0,47.6,662.0,5.3,2.0,2.0,9.0,10.0,49.0,0.0,1.0,5.0,0.0,0.0,0.0,ARI,QB,2010
111.0,Charlie Whitehurst,57.0,99.0,57.6,507.0,5.1,2.0,3.0,5.0,20.0,43.0,1.0,0.0,6.0,0.0,0.0,0.4,SEA,QB,2010
113.0,Tarvaris Jackson,34.0,58.0,58.6,341.0,5.9,3.0,4.0,6.0,7.0,63.0,0.0,0.0,3.0,0.0,0.0,0.0,MIN,QB,2010
114.0,Seneca Wallace,64.0,101.0,63.4,694.0,6.9,4.0,2.0,6.0,7.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,CLE,QB,2010
115.0,Kevin Kolb,115.0,189.0,60.8,1197.0,6.3,7.0,7.0,15.0,15.0,65.0,0.0,3.0,7.0,0.0,0.0,0.0,PHI,QB,2010
116.0,Matt Cassel,262.0,450.0,58.2,3116.0,6.9,27.0,7.0,26.0,33.0,125.0,0.0,1.0,15.0,0.0,0.0,0.0,KC,QB,2010
117.0,Kyle Orton,293.0,498.0,58.8,3653.0,7.3,20.0,9.0,34.0,22.0,98.0,0.0,4.0,13.0,0.0,0.0,0.0,DEN,QB,2010
118.0,Mark Sanchez,278.0,507.0,54.8,3291.0,6.5,17.0,13.0,27.0,30.0,105.0,3.0,1.0,16.0,0.0,0.0,0.1,NYJ,QB,2010
119.0,Matt Flynn,40.0,66.0,60.6,433.0,6.6,3.0,2.0,7.0,9.0,26.0,0.0,1.0,7.0,0.0,0.0,0.0,GB,QB,2010
120.0,Rex Grossman,74.0,133.0,55.6,884.0,6.6,7.0,4.0,9.0,3.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,WAS,QB,2010
121.0,Matt Hasselbeck,266.0,444.0,59.9,3001.0,6.8,12.0,17.0,29.0,23.0,60.0,3.0,5.0,14.0,0.0,0.0,0.0,SEA,QB,2010
122.0,Michael Vick,233.0,372.0,62.6,3018.0,8.1,21.0,6.0,34.0,100.0,676.0,9.0,3.0,12.0,0.0,0.0,0.1,PHI,QB,2010
123.0,Peyton Manning,450.0,679.0,66.3,4700.0,6.9,33.0,17.0,16.0,18.0,18.0,0.0,1.0,16.0,0.0,0.0,0.0,IND,QB,2010
124.0,Philip Rivers,357.0,541.0,66.0,4710.0,8.7,30.0,13.0,38.0,29.0,52.0,0.0,4.0,16.0,0.0,0.0,20.6,SD,QB,2010
