rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1,Graham Gano,24,35,68.6,49,1,7,4,7,1,0,0,16,69.0,4.3,31.4,NYG,K,2010
2,Nick Folk,30,39,76.9,56,0,7,10,1,2,0,0,16,65.0,4.1,81.8,NE,K,2010
3,Mason Crosby,22,28,78.6,56,1,4,4,7,2,0,0,16,65.0,4.1,40.7,GB,K,2010
4,Robbie Gould,25,30,83.3,54,0,6,6,2,3,0,0,16,59.0,3.7,22.5,SF,K,2010
5,Matt Prater,16,18,88.9,59,0,1,5,4,2,0,0,12,44.0,3.7,52.8,ARI,K,2010
6,Ryan Succop,20,26,76.9,53,0,2,2,5,1,0,0,16,37.0,2.3,57.4,TB,K,2010
7,Stephen Gostkowski,10,13,76.9,43,0,2,3,1,0,0,0,8,19.0,2.4,0.1,FA,K,2010
8,Mike Nugent,15,19,78.9,54,0,2,2,0,1,0,0,9,17.0,1.9,1.0,FA,K,2010
9,Stephen Hauschka,6,7,85.7,46,0,1,2,2,0,0,0,4,17.0,4.3,0.0,FA,K,2010
10,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,2010
11,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,2010
12,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,2010
13,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,2010
14,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,2010
15,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,2010
16,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,2010
17,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,2010
18,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,2010
19,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,2010
20,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,2010
21,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,2010
