,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,35.9,23.2,271.5,2.4,0.8,7.8,41.5,0.3,0.2,25.2
1,Patrick Mahomes IIKC,39.5,25.7,301.3,2.0,0.6,3.8,19.9,0.1,0.1,21.8
2,Aaron RodgersGB,34.6,22.5,270.7,2.3,0.4,2.2,11.5,0.1,0.1,21.0
3,Trey LanceSF,28.2,17.5,210.5,1.4,0.6,9.3,47.8,0.5,0.2,20.8
4,Kyler MurrayARI,36.2,24.0,269.2,1.6,0.7,5.8,29.5,0.2,0.2,20.4
5,Justin HerbertLAC,36.4,24.0,269.9,1.9,0.9,4.1,21.3,0.2,0.1,20.2
6,Dak PrescottDAL,36.4,24.5,272.8,2.0,0.6,3.4,14.5,0.1,0.2,20.1
7,Matthew StaffordLAR,34.8,23.0,290.1,2.1,0.6,1.6,5.5,0.1,0.1,20.0
8,Taysom HillNO,28.1,17.8,199.7,1.1,0.8,9.6,51.0,0.5,0.3,19.2
9,Tyler HuntleyBAL,35.5,23.3,241.2,1.2,0.8,6.9,34.9,0.2,0.3,17.8
10,Russell WilsonSEA,29.4,19.6,235.9,1.7,0.6,3.2,17.3,0.1,0.2,17.7
11,Mac JonesNE,30.9,20.9,228.1,1.7,0.6,3.2,14.0,0.1,0.1,17.1
12,Tua TagovailoaMIA,35.9,24.2,254.2,1.3,0.7,3.0,12.0,0.1,0.2,16.2
13,Derek CarrLV,35.8,23.8,272.8,1.3,0.8,2.4,8.7,0.1,0.2,16.1
14,Carson WentzIND,30.4,19.2,218.1,1.5,0.7,3.8,16.6,0.1,0.2,16.1
15,Ryan TannehillTEN,32.1,21.1,231.1,1.2,0.7,3.7,19.0,0.2,0.2,16.0
16,Andy DaltonCHI,33.0,20.7,233.6,1.2,0.7,2.9,12.8,0.1,0.2,15.0
17,Taylor HeinickeWAS,33.3,21.5,224.3,1.2,1.0,3.4,16.8,0.1,0.2,14.8
18,Matt RyanATL,35.9,23.8,241.1,1.0,0.8,2.2,8.1,0.1,0.2,13.6
19,Drew LockDEN,32.5,20.1,216.8,1.1,1.0,2.4,11.5,0.1,0.2,13.5
20,Zach WilsonNYJ,34.5,20.4,214.7,1.1,1.3,3.1,15.3,0.1,0.2,13.2
21,Davis MillsHOU,33.9,21.8,231.1,1.1,0.8,1.3,5.4,0.0,0.2,13.2
22,Sean MannionMIN,36.0,22.1,228.7,1.0,1.1,2.3,10.3,0.1,0.2,13.1
23,Tim BoyleDET,34.8,22.8,233.1,1.0,1.0,1.3,6.5,0.0,0.2,12.9
24,Sam DarnoldCAR,30.5,18.4,203.1,0.8,0.7,2.9,15.6,0.1,0.2,12.5
25,Trevor LawrenceJAC,34.0,20.9,210.1,0.6,1.1,3.9,20.3,0.1,0.1,11.8
26,Cam NewtonCAR,5.1,3.1,34.5,0.1,0.1,5.4,18.7,0.3,0.0,5.3
27,Jake FrommNYG,10.9,6.9,61.1,0.2,0.2,0.7,2.3,0.0,0.0,3.4
28,Blaine GabbertTB,0.0,0.0,30.2,0.1,0.1,0.0,2.7,0.0,0.0,2.0
29,Kyle AllenWAS,3.4,2.1,22.0,0.1,0.1,0.4,1.5,0.0,0.0,1.5
30,Cooper RushDAL,0.0,0.0,25.9,0.1,0.2,0.0,0.4,0.0,0.0,1.5
31,Chad HenneKC,0.0,0.0,25.5,0.1,0.1,0.0,1.4,0.0,0.0,1.4
32,Jordan LoveGB,0.0,0.0,25.6,0.1,0.2,0.0,0.2,0.0,0.0,1.3
33,Trace McSorleyARI,0.0,0.0,26.3,0.1,0.3,0.0,0.9,0.0,0.0,1.2
34,Kellen MondMIN,0.0,0.0,18.5,0.1,0.2,0.0,1.1,0.0,0.0,1.2
35,Brett RypienDEN,3.1,1.9,20.0,0.1,0.1,0.1,0.2,0.0,0.0,1.1
36,Nate SudfeldSF,0.0,0.0,18.8,0.1,0.1,0.0,0.2,0.0,0.0,1.1
37,Sam EhlingerIND,0.0,0.0,14.8,0.1,0.1,0.0,0.2,0.0,0.0,1.0
38,Nick FolesCHI,0.0,0.0,18.3,0.1,0.1,0.0,0.1,0.0,0.0,0.9
39,Gardner Minshew IIPHI,0.0,0.0,13.9,0.1,0.1,0.0,0.0,0.0,0.0,0.8
40,Geno SmithSEA,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8
41,Brian HoyerNE,0.0,0.0,12.8,0.1,0.1,0.0,0.0,0.0,0.0,0.8
42,John WolfordLAR,0.0,0.0,16.0,0.0,0.1,0.0,0.1,0.0,0.0,0.8
43,Case KeenumCLE,0.0,0.0,10.8,0.1,0.1,0.0,0.0,0.0,0.0,0.7
44,Jacoby BrissettMIA,0.0,0.0,7.5,0.0,0.0,0.2,0.8,0.0,0.0,0.5
45,Jimmy GaroppoloSF,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
46,Marcus MariotaLV,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
