,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,37.4,25.0,291.6,2.0,0.8,7.0,33.4,0.3,0.2,23.9
1,Patrick Mahomes IIKC,41.0,26.7,310.6,2.3,0.9,3.8,22.2,0.1,0.2,23.6
2,Dak PrescottDAL,38.4,25.8,299.6,2.2,0.6,3.4,14.5,0.1,0.2,21.9
3,Justin HerbertLAC,37.8,24.7,284.6,1.9,0.8,3.6,16.7,0.2,0.1,20.7
4,Ryan TannehillTEN,30.9,20.7,252.1,1.9,0.7,4.1,19.6,0.2,0.2,20.0
5,Kyler MurrayARI,30.0,21.0,256.0,2.0,0.0,3.0,17.0,0.0,0.0,19.9
6,Derek CarrLV,36.9,25.0,299.2,1.8,0.6,2.2,7.8,0.1,0.2,19.6
7,Aaron RodgersGB,34.1,22.0,262.5,1.9,0.4,2.6,12.0,0.1,0.1,19.1
8,Tua TagovailoaMIA,36.1,23.7,255.2,1.7,0.9,3.3,14.0,0.2,0.1,18.6
9,Russell WilsonSEA,31.2,20.8,238.6,1.7,0.6,4.4,25.3,0.1,0.2,18.5
10,Kirk CousinsMIN,35.8,24.2,270.9,1.8,0.7,1.7,7.6,0.1,0.2,17.9
11,Mac JonesNE,33.1,22.9,252.7,1.8,0.6,1.9,8.2,0.1,0.1,17.6
12,Jimmy GaroppoloSF,32.3,21.8,263.8,1.7,0.8,2.2,6.8,0.1,0.2,17.4
13,Cam NewtonCAR,30.7,19.9,219.6,1.2,0.8,5.7,28.7,0.3,0.2,16.9
14,Tyler HuntleyBAL,31.7,19.8,223.5,1.2,0.9,6.0,31.3,0.2,0.2,16.5
15,Justin FieldsCHI,30.6,18.7,207.8,1.1,1.0,7.4,38.3,0.2,0.3,16.1
16,Taylor HeinickeWAS,34.0,22.1,229.3,1.1,1.0,4.9,25.5,0.1,0.1,15.7
17,Matt RyanATL,36.8,24.1,258.8,1.3,0.9,1.6,5.1,0.1,0.2,15.3
18,Carson WentzIND,35.1,21.7,225.8,1.4,0.8,3.2,13.3,0.1,0.2,15.3
19,Tyrod TaylorHOU,34.6,21.7,239.0,1.1,0.9,3.6,17.6,0.1,0.1,15.2
20,Trevor LawrenceJAC,34.6,21.4,220.0,1.1,1.0,3.9,18.9,0.1,0.2,14.8
21,Colt McCoyARI,34.3,22.4,232.0,1.2,0.9,2.9,11.6,0.1,0.2,14.5
22,Joe FlaccoNYJ,35.3,22.0,246.4,1.3,1.0,1.2,4.3,0.0,0.2,14.4
23,Trevor SiemianNO,32.1,20.0,226.2,1.3,0.7,1.2,5.2,0.0,0.2,14.0
