,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Patrick Mahomes IIKC,39.1,25.9,314.6,2.6,0.5,3.5,18.9,0.1,0.1,24.9
1,Kyler MurrayARI,37.0,24.5,271.1,1.6,0.9,7.7,43.5,0.6,0.2,23.9
2,Lamar JacksonBAL,28.7,18.1,216.0,1.6,0.8,10.0,63.0,0.6,0.2,23.8
3,Josh AllenBUF,37.0,23.6,272.5,2.1,0.8,6.8,31.9,0.3,0.2,22.9
4,Jalen HurtsPHI,35.3,21.5,248.4,1.4,0.8,8.4,44.4,0.4,0.3,20.9
5,Russell WilsonSEA,34.3,23.2,273.1,2.0,0.6,4.9,27.0,0.1,0.2,20.9
6,Aaron RodgersGB,35.7,23.7,274.7,2.2,0.5,2.5,12.1,0.1,0.2,20.4
7,Dak PrescottDAL,40.0,26.5,300.1,1.8,0.9,3.5,15.6,0.1,0.2,20.3
8,Ryan TannehillTEN,32.2,21.2,254.8,2.0,0.5,3.4,16.4,0.1,0.1,19.8
9,Trevor LawrenceJAC,34.9,23.5,266.3,1.8,0.7,4.1,20.5,0.1,0.1,19.4
10,Justin HerbertLAC,37.7,24.3,272.2,1.7,0.8,4.0,18.0,0.2,0.2,19.3
11,Joe BurrowCIN,37.6,24.2,276.1,1.7,0.8,3.4,13.7,0.1,0.2,18.7
12,Matthew StaffordLAR,37.1,23.9,271.7,1.9,0.8,1.9,7.7,0.0,0.2,18.5
13,Matt RyanATL,36.2,23.9,277.1,1.8,0.7,1.9,5.9,0.1,0.2,18.4
14,Sam DarnoldCAR,34.9,22.2,250.0,1.8,0.9,3.3,13.3,0.1,0.2,18.0
15,Kirk CousinsMIN,32.6,21.5,264.5,1.9,0.8,1.5,5.8,0.0,0.2,17.9
16,Ryan FitzpatrickWAS,35.8,22.9,253.0,1.7,1.1,3.4,16.7,0.1,0.2,17.9
17,Baker MayfieldCLE,36.0,22.5,262.7,1.7,0.9,2.7,11.2,0.1,0.2,17.7
18,Derek CarrLV,36.1,24.0,269.4,1.8,0.8,2.0,6.9,0.1,0.2,17.6
19,Jimmy GaroppoloSF,30.2,20.6,256.5,1.8,0.9,2.2,6.4,0.0,0.2,17.2
20,Mac JonesNE,33.6,21.4,249.2,1.6,0.8,2.4,10.1,0.1,0.2,16.8
21,Teddy BridgewaterDEN,33.9,22.4,253.4,1.3,0.7,3.8,16.6,0.1,0.1,16.8
22,Tyrod TaylorHOU,33.4,20.5,234.1,1.4,0.7,4.5,20.8,0.1,0.1,16.5
23,Tua TagovailoaMIA,35.1,23.0,250.2,1.4,0.9,3.2,13.7,0.1,0.1,16.3
24,Carson WentzIND,35.2,22.0,242.4,1.4,0.9,3.8,15.9,0.1,0.3,16.2
25,Zach WilsonNYJ,34.0,21.8,240.4,1.3,1.0,3.9,19.4,0.1,0.2,16.1
26,Jameis WinstonNO,34.3,21.2,250.2,1.4,1.3,3.3,15.6,0.1,0.2,15.9
27,Daniel JonesNYG,34.0,20.7,229.0,1.3,0.9,4.0,24.3,0.1,0.3,15.8
28,Jared GoffDET,36.2,22.9,255.1,1.3,1.0,2.0,5.0,0.1,0.2,14.7
29,Andy DaltonCHI,35.4,22.0,230.9,1.1,1.1,2.2,7.5,0.1,0.2,13.6
30,Trey LanceSF,4.6,2.8,36.8,0.1,0.1,3.5,17.3,0.2,0.0,5.1
31,Taysom HillNO,1.4,0.8,24.0,0.1,0.1,3.5,15.1,0.1,0.1,3.2
32,Jacoby BrissettMIA,0.8,0.5,5.1,0.1,0.1,3.6,14.5,0.0,0.0,1.8
33,Justin FieldsCHI,1.9,1.1,14.3,0.0,0.0,3.8,9.2,0.0,0.0,1.8
34,Tyler HuntleyBAL,1.1,0.7,18.3,0.0,0.1,0.3,3.8,0.0,0.0,1.3
35,Jacob EasonSEA,1.8,1.0,15.5,0.1,0.1,0.1,0.2,0.0,0.0,0.9
36,Davis MillsHOU,0.0,0.0,12.3,0.0,0.1,0.0,1.5,0.0,0.0,0.8
37,David BloughDET,1.3,0.8,8.2,0.1,0.0,0.2,0.8,0.0,0.0,0.8
38,Cooper RushDAL,1.1,0.7,11.4,0.1,0.1,0.1,0.1,0.0,0.0,0.7
39,Brian HoyerNE,0.0,0.0,16.5,0.0,0.1,0.0,0.0,0.0,0.0,0.7
40,C.J. BeathardJAC,0.8,0.5,10.8,0.1,0.0,0.1,0.4,0.0,0.0,0.7
41,Mason RudolphPIT,1.8,1.0,11.6,0.1,0.0,0.1,0.4,0.0,0.0,0.7
42,Drew LockDEN,0.9,0.6,9.9,0.1,0.1,0.1,0.2,0.0,0.0,0.6
43,Josh RosenATL,0.8,0.5,9.1,0.0,0.0,0.1,0.3,0.0,0.0,0.6
44,Joe FlaccoNYJ,1.0,0.7,10.1,0.0,0.0,0.2,0.5,0.0,0.0,0.6
45,Mitchell TrubiskyBUF,0.7,0.4,8.2,0.1,0.0,0.2,0.4,0.0,0.0,0.5
46,P.J. WalkerCAR,0.7,0.5,8.6,0.0,0.0,0.1,0.3,0.0,0.0,0.5
47,Mike GlennonNYG,1.1,0.9,10.4,0.1,0.0,0.1,0.4,0.0,0.1,0.5
48,Jordan LoveGB,0.5,0.4,8.3,0.1,0.0,0.1,0.1,0.0,0.0,0.5
49,Chad HenneKC,0.8,0.5,5.6,0.1,0.0,0.1,0.5,0.0,0.0,0.5
50,Blaine GabbertTB,0.8,0.5,5.5,0.1,0.0,0.1,0.5,0.0,0.0,0.5
51,Brandon AllenCIN,0.8,0.5,5.4,0.1,0.0,0.1,0.5,0.0,0.0,0.5
52,Colt McCoyARI,0.7,0.5,5.1,0.1,0.0,0.1,0.5,0.0,0.0,0.5
53,Marcus MariotaLV,0.7,0.5,4.9,0.1,0.0,0.2,0.6,0.0,0.0,0.5
54,Chase DanielLAC,0.8,0.5,5.1,0.1,0.0,0.2,0.5,0.0,0.0,0.5
