,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,38.1,24.7,287.5,2.2,0.7,7.0,36.0,0.4,0.3,24.9
1,Kyler MurrayARI,34.5,23.4,262.6,1.9,0.9,7.0,39.3,0.5,0.1,24.2
2,Patrick Mahomes IIKC,37.3,24.6,294.1,2.4,0.7,4.1,21.1,0.2,0.1,23.7
3,Dak PrescottDAL,36.4,25.6,286.6,2.2,0.8,4.1,18.2,0.2,0.2,22.3
4,Kirk CousinsMIN,32.8,22.4,288.5,2.4,0.7,1.9,7.2,0.1,0.2,21.0
5,Matthew StaffordLAR,37.6,24.8,299.7,2.2,0.8,2.3,8.5,0.1,0.2,21.0
6,Russell WilsonSEA,33.3,22.2,263.4,2.0,0.5,4.2,23.6,0.2,0.3,20.8
7,Justin HerbertLAC,38.5,24.7,277.0,2.0,0.8,3.7,15.1,0.2,0.2,20.5
8,Trey LanceSF,33.3,21.2,244.2,1.4,0.9,6.8,36.6,0.4,0.2,20.4
9,Aaron RodgersGB,34.9,23.6,274.1,2.1,0.5,2.3,10.6,0.1,0.1,20.2
10,Sam DarnoldCAR,35.5,23.1,258.6,1.7,0.8,4.3,18.2,0.3,0.2,19.7
11,Ryan TannehillTEN,33.6,22.7,270.4,1.7,0.6,3.7,18.3,0.2,0.2,19.5
12,Derek CarrLV,35.0,23.1,285.7,1.9,0.8,2.6,9.0,0.1,0.2,19.3
13,Trevor LawrenceJAC,35.1,21.9,248.0,1.7,1.1,3.7,18.0,0.1,0.1,17.9
14,Mac JonesNE,34.3,23.9,261.1,1.7,0.7,2.5,10.6,0.1,0.1,17.8
15,Matt RyanATL,37.8,25.0,266.6,1.8,0.7,1.8,6.3,0.1,0.2,17.5
16,Jared GoffDET,37.7,24.5,277.4,1.6,0.9,2.7,9.8,0.1,0.3,17.4
17,Taylor HeinickeWAS,34.6,22.2,247.4,1.5,1.2,4.5,19.8,0.1,0.1,17.3
18,Justin FieldsCHI,34.2,21.4,218.4,1.2,1.0,5.6,27.7,0.2,0.2,16.4
19,Zach WilsonNYJ,33.7,20.9,243.8,1.4,1.1,2.5,11.1,0.1,0.1,15.8
20,Carson WentzIND,35.3,22.2,239.0,1.3,0.8,3.4,14.7,0.1,0.3,15.7
21,Jacoby BrissettMIA,37.2,23.6,239.9,1.3,0.8,3.6,13.6,0.2,0.2,15.7
22,Davis MillsHOU,31.8,18.9,213.2,1.0,1.2,2.2,7.8,0.0,0.2,11.8
23,Taysom HillNO,1.9,1.2,11.7,0.0,0.0,3.6,17.0,0.2,0.0,3.4
24,Nate SudfeldSF,0.0,0.0,22.5,0.1,0.1,0.0,0.6,0.0,0.0,1.2
25,Jordan LoveGB,1.3,0.9,18.5,0.1,0.1,0.2,0.1,0.0,0.0,1.1
26,Brian HoyerNE,1.5,1.1,17.0,0.1,0.0,0.2,0.3,0.0,0.0,1.0
27,Mitchell TrubiskyBUF,1.5,1.0,11.3,0.1,0.0,0.3,1.4,0.0,0.0,1.0
28,David BloughDET,1.5,1.0,10.9,0.1,0.0,0.2,1.0,0.0,0.0,0.9
29,Chad HenneKC,1.5,0.9,10.1,0.1,0.0,0.2,1.1,0.0,0.0,0.9
30,Joe FlaccoNYJ,1.4,0.9,9.4,0.1,0.0,0.2,1.2,0.0,0.0,0.9
31,Blaine GabbertTB,1.7,0.9,13.6,0.1,0.0,0.2,0.2,0.0,0.0,0.9
32,Josh RosenATL,1.6,1.0,9.5,0.1,0.0,0.2,0.8,0.0,0.0,0.9
