,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,36.9,24.8,289.2,2.5,0.5,7.6,38.5,0.5,0.2,27.5
1,Patrick Mahomes IIKC,37.9,25.9,310.3,2.5,0.6,3.9,20.8,0.1,0.1,24.6
2,Kyler MurrayARI,36.3,24.1,264.3,1.7,0.9,6.6,35.3,0.4,0.2,22.2
3,Justin HerbertLAC,40.2,26.6,294.8,2.2,0.7,4.1,17.1,0.2,0.2,22.1
4,Dak PrescottDAL,38.2,26.2,283.6,2.2,0.8,3.7,15.7,0.1,0.2,21.4
5,Russell WilsonSEA,33.9,22.7,271.0,2.1,0.4,4.3,24.1,0.1,0.2,21.2
6,Matthew StaffordLAR,36.8,24.3,282.9,2.2,0.8,2.0,7.7,0.1,0.1,20.2
7,Aaron RodgersGB,34.0,22.7,267.7,2.1,0.5,2.3,11.5,0.1,0.1,20.0
8,Derek CarrLV,36.5,24.3,288.4,1.8,0.7,2.4,9.0,0.1,0.2,19.0
9,Kirk CousinsMIN,34.2,22.8,273.9,2.1,0.8,1.5,6.1,0.0,0.2,18.9
10,Taylor HeinickeWAS,34.2,22.6,253.3,1.7,1.0,3.5,18.0,0.1,0.1,18.4
11,Ryan TannehillTEN,31.3,20.8,240.8,1.7,0.6,3.8,18.4,0.2,0.2,18.2
12,Jimmy GaroppoloSF,32.8,22.0,264.8,1.9,0.9,2.6,8.0,0.1,0.3,18.2
13,Sam DarnoldCAR,37.1,23.7,267.7,1.6,1.0,3.1,13.2,0.2,0.2,18.0
14,Matt RyanATL,38.4,25.4,272.3,1.7,0.8,2.1,7.1,0.1,0.2,17.6
15,Justin FieldsCHI,31.5,19.9,222.0,1.4,0.8,6.4,30.4,0.2,0.2,17.3
16,Jacoby BrissettMIA,34.1,21.1,239.3,1.3,0.8,4.2,17.0,0.2,0.2,16.6
17,Trevor LawrenceJAC,37.0,22.8,243.5,1.6,1.4,3.2,15.2,0.1,0.1,16.3
18,Mac JonesNE,37.1,24.8,264.0,1.4,1.0,2.3,9.1,0.1,0.2,16.2
19,Jared GoffDET,35.5,22.7,258.1,1.4,1.0,2.7,9.2,0.1,0.2,15.8
20,Carson WentzIND,34.9,21.1,241.3,1.3,1.0,3.5,15.5,0.1,0.3,15.5
21,Zach WilsonNYJ,33.1,20.1,232.7,1.4,1.4,2.6,12.4,0.1,0.1,14.9
22,Davis MillsHOU,34.5,20.5,229.0,1.0,1.3,2.2,8.4,0.0,0.2,12.5
23,Nick FolesCHI,10.9,7.2,48.9,0.3,0.2,0.6,0.4,0.0,0.1,2.8
