,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Kyler MurrayARI,33.9,23.8,285.1,2.5,0.6,7.6,41.3,0.5,0.2,27.2
1,Patrick Mahomes IIKC,38.4,26.1,321.5,2.8,0.7,4.5,25.8,0.2,0.2,26.6
2,Matthew StaffordLAR,34.2,23.1,308.6,2.7,0.7,2.5,9.1,0.1,0.2,23.6
3,Aaron RodgersGB,34.4,23.5,281.4,2.4,0.5,2.3,10.3,0.1,0.1,21.6
4,Ryan TannehillTEN,33.0,21.4,260.8,1.8,0.8,3.6,18.7,0.3,0.2,20.3
5,Derek CarrLV,36.3,24.5,292.2,1.9,0.8,2.4,8.1,0.1,0.2,19.3
6,Matt RyanATL,39.5,26.7,297.2,1.9,0.8,1.5,5.6,0.1,0.2,19.3
7,Tua TagovailoaMIA,36.9,24.5,251.4,1.7,0.8,3.1,13.3,0.1,0.1,18.0
8,Sam DarnoldCAR,34.1,22.0,244.6,1.4,1.0,4.3,18.4,0.3,0.2,17.5
9,Mac JonesNE,35.1,24.6,254.6,1.7,0.9,2.3,9.3,0.1,0.2,17.1
10,Taylor HeinickeWAS,35.2,22.6,236.5,1.4,1.2,4.8,23.0,0.1,0.1,16.8
11,Jimmy GaroppoloSF,31.2,21.1,251.9,1.5,0.9,2.5,7.8,0.1,0.2,15.9
12,Carson WentzIND,32.4,20.2,227.1,1.4,0.8,3.2,13.4,0.1,0.2,15.5
13,Geno SmithSEA,32.8,20.9,232.1,1.3,1.1,2.6,12.2,0.0,0.2,14.4
14,Case KeenumCLE,31.3,19.6,220.8,1.2,0.8,2.5,9.1,0.1,0.1,14.2
15,Jared GoffDET,38.2,24.7,252.1,1.1,1.0,2.2,7.0,0.1,0.2,14.1
16,Justin FieldsCHI,30.9,19.3,203.3,1.0,1.1,4.7,20.8,0.1,0.2,13.6
17,Davis MillsHOU,34.6,21.7,237.6,1.0,1.3,1.7,6.6,0.0,0.2,12.8
18,Zach WilsonNYJ,31.9,19.0,218.1,1.0,1.3,1.9,8.1,0.0,0.1,12.3
19,Taysom HillNO,1.7,1.0,12.7,0.0,0.0,3.3,16.6,0.1,0.0,3.0
20,Nate SudfeldSF,0.0,0.0,25.2,0.1,0.1,0.0,0.7,0.0,0.0,1.4
21,Trey LanceSF,0.0,0.0,0.0,0.0,0.0,2.1,8.0,0.1,0.0,1.4
22,Jeff DriskelHOU,0.0,0.0,21.5,0.1,0.1,0.0,0.2,0.0,0.0,1.0
23,Jacoby BrissettMIA,0.8,0.5,8.3,0.0,0.0,1.3,3.0,0.0,0.0,1.0
24,Jordan LoveGB,1.3,0.9,16.6,0.1,0.1,0.3,0.1,0.0,0.0,1.0
25,Marcus MariotaLV,1.5,1.0,13.9,0.1,0.0,0.3,0.7,0.0,0.0,1.0
26,Josh RosenATL,1.6,1.0,11.7,0.1,0.0,0.2,0.9,0.0,0.0,1.0
27,Brian HoyerNE,1.3,0.9,14.3,0.1,0.0,0.3,0.3,0.0,0.0,0.9
28,John WolfordLAR,1.4,0.9,13.7,0.1,0.0,0.3,0.6,0.0,0.0,0.9
29,Blaine GabbertTB,1.6,1.0,14.0,0.1,0.0,0.2,0.3,0.0,0.0,0.9
30,Trevor SiemianNO,0.0,0.0,20.8,0.0,0.1,0.0,0.0,0.0,0.0,0.9
31,David BloughDET,1.4,0.9,9.3,0.1,0.0,0.2,0.8,0.0,0.0,0.9
32,Colt McCoyARI,1.4,1.0,13.8,0.1,0.0,0.2,0.1,0.0,0.0,0.8
33,P.J. WalkerCAR,1.3,0.9,13.2,0.1,0.0,0.2,0.1,0.0,0.0,0.8
34,Chad HenneKC,1.6,1.0,11.7,0.1,0.0,0.2,0.6,0.0,0.0,0.8
35,Drew LockDEN,1.4,0.8,11.9,0.1,0.1,0.3,0.6,0.0,0.0,0.8
36,Tyler HuntleyBAL,1.3,0.8,13.4,0.0,0.0,0.3,1.3,0.0,0.0,0.7
37,Joe FlaccoNYJ,1.4,0.9,9.5,0.1,0.0,0.2,0.6,0.0,0.0,0.7
38,Brandon AllenCIN,1.4,0.9,11.5,0.1,0.1,0.3,0.5,0.0,0.0,0.7
39,Ian BookNO,0.9,0.6,6.2,0.1,0.0,0.1,0.2,0.0,0.0,0.7
40,Andy DaltonCHI,1.5,0.9,10.2,0.1,0.1,0.1,0.3,0.0,0.0,0.6
41,Kyle AllenWAS,1.4,0.8,8.6,0.1,0.1,0.1,0.3,0.0,0.0,0.6
42,Mike WhiteNYJ,0.0,0.0,8.8,0.0,0.1,0.0,0.0,0.0,0.0,0.4
43,Logan WoodsideTEN,0.7,0.5,6.6,0.0,0.0,0.3,0.6,0.0,0.0,0.4
