,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
54,55,Mecole Hardman(KC),59,83,693,11.7,53,0,2,8,46,0,2,17,81.9,4.8,29.2%
55,56,Jarvis Landry(CLE),52,87,570,11.0,38,0,2,6,40,2,2,12,81.0,6.8,72.5%
56,57,Antonio Brown(FA),42,62,545,13.0,62,0,4,1,6,0,0,7,79.1,11.3,84.1%
57,58,Cole Beasley(BUF),82,112,693,8.5,29,0,1,0,0,0,0,16,77.3,4.8,63.2%
58,59,Deonte Harty(NO),36,59,570,15.8,72,0,3,5,41,0,1,13,77.1,5.9,8.7%
59,60,Donovan Peoples-Jones(CLE),34,58,597,17.6,60,0,3,0,0,0,1,14,75.7,5.4,14.3%
60,61,Braxton Berrios(NYJ),46,65,431,9.4,46,0,2,7,40,2,1,16,75.1,4.7,6.3%
61,62,Bryan Edwards(LV),34,59,571,16.8,51,0,3,1,0,0,0,16,75.1,4.7,8.3%
62,63,Quez Watkins(PHI),43,62,647,15.0,91,0,1,1,3,0,0,17,73.0,4.3,1.3%
63,64,Corey Davis(NYJ),34,59,492,14.5,53,0,4,0,0,0,1,9,71.2,7.9,29.9%
64,65,Nick Westbrook-Ikhine(TEN),38,57,476,12.5,46,0,4,0,0,0,1,15,69.6,4.6,8.5%
65,66,Nelson Agholor(NE),37,64,473,12.8,44,0,3,3,11,0,0,15,66.4,4.4,13.6%
66,67,Jalen Guyton(LAC),31,48,448,14.5,59,0,3,7,34,0,0,16,66.2,4.1,7.1%
67,68,Randall Cobb(GB),28,39,375,13.4,54,0,5,1,1,0,1,11,65.6,6.0,7.6%
68,69,Laviska Shenault Jr.(JAC),63,100,619,9.8,58,0,0,11,41,0,1,16,64.0,4.0,34.3%
69,70,DeVante Parker(MIA),40,73,515,12.9,42,0,2,0,0,0,0,10,63.5,6.4,64.3%
70,71,DeAndre Carter(WAS),24,44,296,12.3,26,0,3,10,89,0,0,17,62.5,3.7,1.8%
71,72,Freddie Swain(SEA),25,40,343,13.7,68,0,4,5,32,0,0,17,61.5,3.6,0.7%
72,73,Marquez Valdes-Scantling(GB),26,55,430,16.5,75,0,3,0,0,0,0,11,61.0,5.5,36.0%
73,74,Henry Ruggs III(FA),24,36,469,19.5,61,0,2,3,16,0,0,7,60.5,8.6,10.9%
74,75,Joshua Palmer(LAC),33,49,353,10.7,36,0,4,1,6,0,0,15,59.9,4.0,5.4%
75,76,Zay Jones(LV),47,70,546,11.6,43,0,1,2,3,0,1,15,58.9,3.9,6.0%
76,77,Olamide Zaccheaus(ATL),31,53,406,13.1,49,0,3,1,2,0,0,15,58.8,3.9,0.8%
77,78,Jamison Crowder(NYJ),51,71,447,8.8,29,0,2,0,0,0,1,12,58.7,4.9,23.6%
78,79,Jauan Jennings(SF),24,38,282,11.8,34,0,5,0,0,0,0,13,58.2,4.5,0.6%
79,80,Rashod Bateman(BAL),46,68,515,11.2,36,0,1,0,0,0,0,12,57.5,4.8,29.1%
80,81,Zach Pascal(IND),38,69,384,10.1,41,0,3,2,21,0,1,16,56.5,3.5,3.5%
81,82,Michael Gallup(DAL),35,62,445,12.7,41,0,2,0,0,0,0,9,56.5,6.3,72.8%
82,83,DeSean Jackson(LV),20,34,454,22.7,75,0,2,1,4,0,1,14,55.8,4.0,4.4%
83,84,Tre'Quan Smith(NO),32,50,377,11.8,34,0,3,0,0,0,0,10,55.7,5.6,7.5%
84,85,Rondale Moore(ARI),54,64,435,8.1,77,0,1,18,76,0,1,14,55.1,3.9,20.4%
85,86,Kenny Golladay(NYG),37,76,521,14.1,36,0,0,0,0,0,0,14,52.1,3.7,51.8%
86,87,Jamal Agnew(JAC),24,39,229,9.5,29,0,1,7,111,1,0,12,52.0,4.3,1.2%
87,88,Josh Reynolds(DET),29,49,396,13.7,39,0,2,0,0,0,0,11,51.6,4.7,6.9%
88,89,T.Y. Hilton(IND),23,37,331,14.4,52,0,3,0,0,0,0,10,51.1,5.1,16.8%
89,90,Keelan Cole Sr.(NYJ),28,51,449,16.0,54,0,1,0,0,0,0,14,50.9,3.6,1.0%
90,91,Nico Collins(HOU),33,60,446,13.5,32,0,1,0,0,0,0,14,50.6,3.6,1.8%
91,92,Laquon Treadwell(JAC),33,51,434,13.2,41,0,1,0,0,0,0,12,49.4,4.1,2.5%
92,93,Julio Jones(TEN),31,48,434,14.0,51,0,1,0,0,0,0,10,49.4,4.9,60.7%
93,94,Allen Robinson II(CHI),38,66,410,10.8,39,0,1,0,0,0,0,12,49.0,4.1,53.7%
94,95,Jerry Jeudy(DEN),38,56,467,12.3,40,0,0,2,3,0,0,10,47.0,4.7,65.4%
95,96,Mack Hollins(MIA),14,28,223,15.9,65,0,4,0,0,0,0,16,46.3,2.9,0.2%
96,97,Jalen Reagor(PHI),33,57,299,9.1,34,0,2,10,32,0,0,17,45.1,2.7,13.3%
97,98,Danny Amendola(HOU),24,38,248,10.3,39,0,3,0,0,0,0,8,44.8,5.6,0.1%
98,99,Demarcus Robinson(KC),25,41,264,10.6,33,0,3,0,0,0,0,15,44.4,3.0,0.8%
99,100,Devin Duvernay(BAL),33,47,272,8.2,21,0,2,7,50,0,0,16,44.2,2.8,1.4%
100,101,Kadarius Toney(NYG),39,57,420,10.8,38,0,0,3,6,0,0,9,43.4,4.8,21.6%
101,102,Sammy Watkins(BAL),27,49,394,14.6,49,0,1,0,0,0,1,11,43.4,3.9,7.0%
102,103,Darius Slayton(NYG),26,58,339,13.0,42,0,2,1,-13,0,1,13,42.6,3.3,4.3%
103,104,Chris Conley(HOU),22,37,323,14.7,41,0,2,1,3,0,1,14,42.6,3.0,0.4%
104,105,James Washington(PIT),24,44,285,11.9,42,0,2,2,13,0,0,15,41.8,2.8,1.5%
105,106,Sterling Shepard(NYG),36,53,366,10.2,37,0,1,1,-9,0,0,7,41.7,6.0,23.7%
106,107,Calvin Ridley(ATL),31,52,281,9.1,22,0,2,0,0,0,0,5,40.1,8.0,56.8%
107,108,Damiere Byrd(CHI),26,38,329,12.7,54,0,1,0,0,0,1,11,38.9,3.5,0.1%
108,109,Antoine Wesley(ARI),19,32,208,10.9,33,0,3,0,0,0,0,8,38.8,4.9,0.3%
109,110,Adam Humphries(WAS),41,62,383,9.3,27,0,0,0,0,0,0,17,38.3,2.3,0.8%
110,111,Marquise Goodwin(CHI),20,40,313,15.7,50,0,1,2,-1,0,0,14,37.2,2.7,0.3%
111,112,Lil'Jordan Humphrey(NO),13,18,249,19.2,56,0,2,0,0,0,0,8,36.9,4.6,0.2%
112,113,Tyler Johnson(TB),36,55,360,10.0,31,0,0,0,0,0,0,16,36.0,2.3,4.7%
113,114,Chester Rogers(TEN),30,43,301,10.0,39,0,1,1,9,0,1,16,35.0,2.2,0.6%
114,115,Chris Moore(HOU),21,22,227,10.8,67,0,2,0,0,0,0,10,34.7,3.5,0.1%
115,116,Cyril Grayson Jr.(TB),10,12,212,21.2,62,0,2,1,14,0,0,3,34.6,11.5,2.8%
116,117,Quintez Cephus(DET),15,22,204,13.6,46,0,2,0,0,0,0,5,34.4,6.9,0.8%
117,118,Cam Sims(WAS),15,23,211,14.1,43,0,2,1,7,0,0,12,33.8,2.8,0.1%
118,119,Rashard Higgins(CLE),24,47,275,11.5,21,0,1,0,0,0,0,12,33.5,2.8,0.7%
119,120,Malik Turner(DAL),12,16,149,12.4,61,0,3,0,0,0,0,7,32.9,4.7,0.1%
120,121,Ashton Dulin(IND),13,22,173,13.3,62,0,2,3,32,0,0,16,32.5,2.0,0.1%
121,122,Isaiah McKenzie(BUF),20,26,178,8.9,28,0,1,9,47,1,1,15,32.5,2.2,5.5%
122,123,Brandon Zylstra(CAR),18,25,250,13.9,55,0,1,0,0,0,0,12,31.0,2.6,0.1%
123,124,John Ross(NYG),11,20,224,20.4,51,0,1,1,16,0,0,9,30.0,3.3,0.1%
124,125,Jakeem Grant Sr.(CHI),11,17,132,12.0,46,0,2,5,33,0,3,15,28.5,1.9,1.2%
125,126,Isaiah Ford(MIA),12,16,161,13.4,52,0,2,0,0,0,0,9,28.1,3.1,0.0%
126,127,Greg Ward(PHI),7,11,95,13.6,27,0,3,0,0,0,0,10,27.6,2.8,0.1%
127,128,D.J. Chark Jr.(JAC),7,22,154,22.0,41,0,2,0,0,0,0,3,27.4,9.1,17.9%
128,129,Tavon Austin(JAC),24,38,213,8.9,25,0,1,3,21,0,1,12,27.4,2.3,0.1%
129,130,Ray-Ray McCloud(PIT),39,66,277,7.1,24,0,0,2,15,0,1,16,27.2,1.7,1.0%
130,131,Ihmir Smith-Marsette(MIN),5,6,116,23.2,44,0,2,0,0,0,0,6,23.6,3.9,0.1%
131,132,Kendall Hinton(DEN),15,23,175,11.7,40,0,1,0,0,0,0,11,23.5,2.1,0.1%
132,133,Anthony Schwartz(CLE),10,23,135,13.5,44,0,1,6,39,0,0,13,23.4,1.8,0.3%
133,134,Albert Wilson(MIA),25,39,213,8.5,64,0,0,4,17,0,0,10,23.0,2.3,0.8%
134,135,Tajae Sharpe(ATL),25,37,230,9.2,17,0,0,0,0,0,0,14,23.0,1.6,1.1%
135,136,Breshad Perriman(TB),11,18,167,15.2,58,0,1,1,-3,0,0,5,22.4,4.5,2.5%
136,137,Parris Campbell(IND),10,20,162,16.2,51,0,1,0,0,0,0,6,22.2,3.7,4.5%
137,138,James Proche II(BAL),16,20,202,12.6,32,0,0,0,0,0,0,7,20.2,2.9,0.0%
138,139,JuJu Smith-Schuster(PIT),15,28,129,8.6,24,0,0,3,9,1,0,5,19.8,4.0,18.5%
139,140,Noah Brown(DAL),16,25,184,11.5,27,0,0,0,0,0,0,10,18.4,1.8,0.1%
140,141,D'Wayne Eskridge(SEA),10,20,64,6.4,17,0,1,4,59,0,0,8,18.3,2.3,0.6%
141,142,Mohamed Sanu Sr.(SF),15,24,177,11.8,21,0,0,0,0,0,0,8,17.7,2.2,0.1%
142,143,KhaDarel Hodge(DET),13,27,157,12.1,42,0,0,0,0,0,0,12,17.7,1.5,0.1%
143,144,Jody Fortson(KC),5,5,47,9.4,27,0,2,0,0,0,0,4,16.7,4.2,0.0%
144,145,N'Keal Harry(NE),12,22,184,15.3,43,0,0,0,0,0,1,10,16.4,1.6,0.2%
145,146,Kristian Wilkerson(NE),4,8,42,10.5,20,0,2,0,0,0,0,1,16.2,16.2,0.1%
146,147,Dyami Brown(WAS),12,25,165,13.8,48,0,0,1,-4,0,0,10,16.1,1.6,0.4%
147,148,Marcus Johnson(TEN),9,19,160,17.8,50,0,0,2,-2,0,0,7,15.8,2.3,0.6%
148,149,Terrace Marshall Jr.(CAR),17,30,138,8.1,23,0,0,0,0,0,0,12,15.8,1.3,3.0%
149,150,Dante Pettis(NYG),10,16,87,8.7,27,0,1,0,0,0,0,3,15.3,5.1,0.1%
150,151,Trent Sherfield(SF),9,20,87,9.7,18,0,1,0,0,0,0,12,14.7,1.2,0.1%
151,152,Scotty Miller(TB),5,9,38,7.6,13,0,0,2,43,1,0,6,14.1,2.4,0.7%
152,153,Ben Skowronek(LAR),11,20,133,12.1,35,0,0,0,0,0,0,12,13.3,1.1,0.1%
153,154,Denzel Mims(NYJ),8,23,133,16.6,40,0,0,0,0,0,0,10,13.3,1.3,0.7%
154,155,Kenny Stills(NO),6,23,68,11.3,22,0,1,1,1,0,0,7,12.9,1.8,0.1%
155,156,Tom Kennedy(DET),6,10,54,9.0,15,0,0,0,0,0,0,7,12.4,1.8,0.0%
156,157,Jeff Smith(NYJ),8,17,113,14.1,35,0,0,1,-1,0,0,9,11.2,1.2,0.0%
157,158,Equanimeous St. Brown(GB),9,17,98,10.9,26,0,0,3,14,0,0,12,11.2,0.9,0.1%
158,159,Phillip Dorsett II(HOU),7,14,110,15.7,36,0,0,1,0,0,0,5,11.0,2.2,0.0%
159,160,Dez Fitzpatrick(TEN),5,8,49,9.8,18,0,1,0,0,0,0,3,10.9,3.6,0.1%
160,161,Collin Johnson(NYG),11,21,105,9.5,16,0,0,0,0,0,0,8,10.5,1.3,0.1%
161,162,Trinity Benson(DET),10,22,103,10.3,24,0,0,0,0,0,0,7,10.3,1.5,0.0%
162,163,Chris Hogan(FA),4,8,41,10.3,16,0,1,0,0,0,0,5,10.1,2.0,0.0%
163,164,Shi Smith(CAR),6,11,104,17.3,63,0,0,1,-3,0,0,5,10.1,2.0,0.1%
164,165,Auden Tate(CIN),3,4,39,13.0,18,0,1,0,0,0,0,4,9.9,2.5,0.1%
165,166,Josh Gordon(KC),5,14,32,6.4,11,0,1,0,0,0,0,9,9.2,1.0,1.8%
166,167,Cameron Batson(TEN),2,5,15,7.5,13,0,1,2,15,0,0,4,9.0,2.3,0.0%
167,168,Anthony Miller(PIT),6,12,25,4.2,10,0,1,0,0,0,0,3,8.5,2.8,0.3%
168,169,Dezmon Patmon(IND),2,4,21,10.5,14,0,1,0,0,0,0,4,8.1,2.0,0.0%
169,170,Preston Williams(MIA),6,16,71,11.8,34,0,0,1,7,0,0,6,7.8,1.3,0.1%
170,171,Andre Roberts(LAC),1,2,35,35.0,35,0,0,3,19,0,2,16,7.4,0.5,0.1%
171,172,KJ Hamler(DEN),5,10,74,14.8,28,0,0,0,0,0,0,3,7.4,2.5,0.8%
172,173,Dede Westbrook(MIN),10,15,68,6.8,17,0,0,0,0,0,0,15,6.8,0.5,0.1%
173,174,Dax Milne(WAS),9,14,83,9.2,22,0,0,1,1,0,1,9,6.4,0.7,0.0%
174,175,Ja'Marcus Bradley(CLE),4,4,64,16.0,37,0,0,0,0,0,0,4,6.4,1.6,0.0%
175,176,Brandon Powell(LAR),0,0,0,0,0,0,0,0,0,0,0,6,6.0,1.0,0.0%
176,177,Penny Hart(SEA),7,12,59,8.4,16,0,0,0,0,0,0,12,5.9,0.5,0.0%
177,178,C.J. Board(NYG),4,6,51,12.8,38,0,0,1,6,0,0,6,5.7,1.0,0.0%
178,179,Amari Rodgers(GB),4,8,45,11.3,19,0,0,1,11,0,0,16,5.6,0.4,0.4%
179,180,Jason Moore Jr.(LAC),3,4,56,18.7,24,0,0,0,0,0,0,1,5.6,5.6,0.0%
180,181,Alex Erickson(CAR),3,4,55,18.3,25,0,0,0,0,0,0,17,5.5,0.3,0.0%
181,182,Jaelon Darden(TB),6,12,43,7.2,29,0,0,1,11,0,0,9,5.4,0.6,0.1%
182,183,Mike Thomas(CIN),5,11,52,10.4,19,0,0,0,0,0,0,7,5.2,0.7,0.1%
183,184,Will Fuller V(MIA),4,8,26,6.5,10,0,0,0,0,0,0,2,4.6,2.3,22.8%
184,185,Trent Taylor(CIN),2,3,41,20.5,26,0,0,0,0,0,0,4,4.1,1.0,0.0%
185,186,Gunner Olszewski(NE),2,3,31,15.5,22,0,0,1,9,0,0,16,4.0,0.3,0.1%
186,187,Greg Dortch(ARI),3,3,15,5.0,10,0,0,1,24,0,0,5,3.9,0.8,0.0%
187,188,Juwann Winfree(GB),8,13,58,7.3,12,0,0,0,0,0,1,5,3.8,0.8,0.0%
188,189,Kevin White(NO),1,5,38,38.0,38,0,0,0,0,0,0,4,3.8,1.0,0.0%
189,190,Willie Snead IV(FA),4,8,38,9.5,15,0,0,0,0,0,0,7,3.8,0.5,0.1%
190,191,Curtis Samuel(WAS),6,9,27,4.5,10,0,0,4,11,0,0,5,3.8,0.8,15.7%
191,192,D.J. Montgomery(NYJ),3,6,36,12.0,14,0,0,0,0,0,0,2,3.6,1.8,0.0%
192,193,J.J. Arcega-Whiteside(PHI),2,5,36,18.0,23,0,0,0,0,0,0,7,3.6,0.5,0.1%
193,194,Pharoh Cooper(FA),4,11,33,8.3,15,0,0,1,3,0,0,8,3.6,0.5,0.1%
