player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Jack Doyle,3.0,4.0,35.0,11.7,16.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,15.5,TE,1,2016,IND,DET,True,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Dwayne Allen,4.0,6.0,53.0,13.3,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.3,TE,1,2016,IND,DET,True,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Delanie Walker,6.0,6.0,83.0,13.8,32.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,14.3,TE,2,2016,TEN,DET,False,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Phillip Supernaw,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,TE,2,2016,TEN,DET,False,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Anthony Fasano,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,TE,2,2016,TEN,DET,False,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Richard Rodgers,2.0,3.0,9.0,4.5,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.9,TE,3,2016,GB,DET,True,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Jared Cook,1.0,3.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,TE,3,2016,GB,DET,True,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Justin Perillo,1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,TE,3,2016,GB,DET,True,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Zach Miller,3.0,3.0,31.0,10.3,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.1,TE,4,2016,CHI,DET,True,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
Logan Paulsen,2.0,3.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TE,4,2016,CHI,DET,True,399.0,549.0,72.7,3975.0,7.5,248.4,64.0,33.0,10.0,26.0,161.0,106.5,389.0,1701.0,4.4,106.3,67.0,8.0,5.0,4.0,399.0,4136.0,10.4,258.5,64.0,33.0,1.0,0.0,333.0,99.0,206.0,28.0,90.0,198.0,45.5,3.0,8.0,37.5,122.0,979.0
