player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,team,opponent,home
Adrian Peterson,RB,1.0,38.0,60.0,50.0,5.0,50.0,55.0,3.1,8.2,1,2016,19.0,31.0,1.6,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,MIN,TEN,False
Cordarrelle Patterson,RB,1.0,5.0,8.0,20.0,20.0,40.0,40.0,1.4,28.0,1,2016,,,,,,,,,,,,,MIN,TEN,False
Zach Line,RB,1.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,TEN,False
Jerick McKinnon,RB,1.0,16.0,25.0,6.0,13.0,13.0,19.0,0.9,5.6,1,2016,1.0,6.0,6.0,6.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,MIN,TEN,False
Darren Sproles,RB,1.0,39.0,51.0,13.0,13.0,18.0,26.0,3.6,9.2,1,2016,5.0,12.0,2.4,6.0,0.0,0.0,2.0,5.0,24.0,12.0,0.0,0.0,PHI,CLE,True
Kenjon Barner,RB,1.0,7.0,9.0,57.0,0.0,57.0,57.0,4.2,60.0,1,2016,4.0,42.0,10.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,CLE,True
Wendell Smallwood,RB,1.0,2.0,3.0,50.0,0.0,50.0,50.0,0.1,5.0,1,2016,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,CLE,True
Frank Gore,RB,1.0,49.0,68.0,29.0,12.0,37.0,41.0,7.8,15.9,1,2016,14.0,59.0,4.2,9.0,0.0,0.0,4.0,6.0,19.0,4.8,0.0,0.0,IND,DET,True
Josh Ferguson,RB,1.0,12.0,17.0,8.0,17.0,25.0,25.0,2.4,20.0,1,2016,1.0,-2.0,-2.0,0.0,0.0,0.0,2.0,2.0,26.0,13.0,0.0,0.0,IND,DET,True
LeSean McCoy,RB,1.0,42.0,86.0,38.0,10.0,48.0,48.0,13.0,31.0,1,2016,16.0,58.0,3.6,16.0,0.0,1.0,4.0,4.0,12.0,3.0,0.0,0.0,BUF,BAL,False
Mark Ingram II,RB,1.0,29.0,42.0,41.0,7.0,48.0,48.0,8.7,30.0,1,2016,12.0,58.0,4.8,17.0,0.0,0.0,2.0,2.0,29.0,14.5,0.0,0.0,NO,LV,True
Taiwan Jones,RB,1.0,6.0,8.0,17.0,33.0,50.0,50.0,0.9,15.0,1,2016,1.0,-8.0,-8.0,0.0,0.0,0.0,2.0,2.0,17.0,8.5,0.0,0.0,LV,NO,False
Latavius Murray,RB,1.0,45.0,62.0,31.0,4.0,33.0,36.0,13.2,29.3,1,2016,14.0,59.0,4.2,10.0,0.0,1.0,1.0,2.0,13.0,13.0,0.0,0.0,LV,NO,False
DeAndre Washington,RB,1.0,8.0,11.0,63.0,13.0,75.0,75.0,2.4,30.0,1,2016,5.0,14.0,2.8,5.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,LV,NO,False
Jalen Richard,RB,1.0,10.0,14.0,30.0,20.0,50.0,50.0,15.5,155.0,1,2016,3.0,84.0,28.0,75.0,1.0,1.0,2.0,2.0,11.0,5.5,0.0,0.0,LV,NO,False
Peyton Barber,RB,1.0,,,,,,,0.0,,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,NO,False
Anthony Sherman,RB,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,LAC,True
Lamar Miller,RB,1.0,60.0,80.0,47.0,7.0,53.0,53.0,11.7,19.5,1,2016,28.0,106.0,3.8,12.0,0.0,0.0,4.0,4.0,11.0,2.8,0.0,0.0,HOU,CHI,True
Tyler Ervin,RB,1.0,11.0,15.0,9.0,18.0,18.0,27.0,0.8,7.3,1,2016,1.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,HOU,CHI,True
Rex Burkhead,RB,1.0,,,,,,,0.0,,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,CHI,True
Alfred Morris,RB,1.0,14.0,18.0,50.0,7.0,50.0,57.0,3.5,25.0,1,2016,7.0,35.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Keith Smith,RB,1.0,4.0,5.0,25.0,0.0,25.0,25.0,0.0,0.0,1,2016,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Ezekiel Elliott,RB,1.0,48.0,62.0,42.0,4.0,44.0,46.0,11.2,23.3,1,2016,20.0,51.0,2.6,8.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,DAL,NYG,True
Jamize Olawale,RB,1.0,,,,,,,6.2,,1,2016,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Brandon Bolden,RB,1.0,3.0,4.0,33.0,0.0,33.0,33.0,0.4,13.3,1,2016,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,ARI,False
James Develin,RB,1.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,ARI,False
James White,RB,1.0,25.0,35.0,4.0,28.0,24.0,32.0,4.4,17.6,1,2016,1.0,4.0,4.0,4.0,0.0,0.0,5.0,7.0,40.0,8.0,0.0,0.0,NE,ARI,False
Giovani Bernard,RB,1.0,28.0,49.0,18.0,14.0,25.0,32.0,3.0,10.7,1,2016,5.0,25.0,5.0,11.0,0.0,0.0,2.0,4.0,5.0,2.5,0.0,0.0,CIN,NYJ,False
Theo Riddick,RB,1.0,24.0,37.0,29.0,21.0,50.0,50.0,22.8,95.0,1,2016,7.0,45.0,6.4,21.0,1.0,1.0,5.0,5.0,63.0,12.6,1.0,0.0,DET,IND,False
Ameer Abdullah,RB,1.0,40.0,62.0,30.0,13.0,43.0,43.0,18.0,45.0,1,2016,12.0,63.0,5.3,13.0,0.0,0.0,5.0,5.0,57.0,11.4,1.0,0.0,DET,IND,False
Michael Burton,RB,1.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,IND,False
Dwayne Washington,RB,1.0,2.0,3.0,100.0,0.0,100.0,100.0,6.1,305.0,1,2016,2.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,IND,False
Chris Thompson,RB,1.0,39.0,66.0,10.0,5.0,15.0,15.0,9.9,25.4,1,2016,4.0,23.0,5.8,9.0,0.0,1.0,2.0,2.0,16.0,8.0,0.0,0.0,WAS,PIT,True
Kyle Juszczyk,RB,1.0,21.0,31.0,5.0,14.0,14.0,19.0,2.3,11.0,1,2016,1.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,21.0,10.5,0.0,0.0,BAL,BUF,True
Patrick DiMarco,RB,1.0,13.0,20.0,0.0,8.0,8.0,8.0,0.8,6.2,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,ATL,TB,True
Devonta Freeman,RB,1.0,36.0,55.0,31.0,11.0,42.0,42.0,4.0,11.1,1,2016,11.0,20.0,1.8,10.0,0.0,0.0,4.0,4.0,20.0,5.0,0.0,0.0,ATL,TB,True
Tevin Coleman,RB,1.0,32.0,49.0,25.0,19.0,41.0,44.0,11.7,36.6,1,2016,8.0,22.0,2.8,7.0,0.0,0.0,5.0,6.0,95.0,19.0,0.0,0.0,ATL,TB,True
Cordarrelle Patterson,RB,1.0,,,,,,,0.0,,1,2016,1.0,8.0,8.0,8.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,ATL,TB,True
Carlos Hyde,RB,1.0,57.0,70.0,40.0,5.0,44.0,46.0,21.3,37.4,1,2016,23.0,88.0,3.8,18.0,0.0,2.0,2.0,3.0,5.0,2.5,0.0,0.0,SF,LAR,True
Mike Davis,RB,1.0,3.0,4.0,100.0,0.0,100.0,100.0,0.1,3.3,1,2016,3.0,1.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,LAR,True
Damien Williams,RB,1.0,6.0,11.0,33.0,33.0,50.0,67.0,3.8,63.3,1,2016,2.0,9.0,4.5,5.0,0.0,0.0,1.0,2.0,29.0,29.0,0.0,0.0,MIA,SEA,False
Kenyan Drake,RB,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,SEA,False
Melvin Gordon III,RB,1.0,23.0,32.0,61.0,0.0,61.0,61.0,17.7,77.0,1,2016,14.0,57.0,4.1,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,KC,False
Derek Watt,RB,1.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,KC,False
Todd Gurley II,RB,1.0,37.0,61.0,46.0,8.0,49.0,54.0,4.2,11.4,1,2016,17.0,47.0,2.8,10.0,0.0,0.0,1.0,3.0,-5.0,-5.0,0.0,0.0,LAR,SF,False
Malcolm Brown,RB,1.0,11.0,18.0,9.0,9.0,18.0,18.0,1.3,11.8,1,2016,1.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,LAR,SF,False
Duke Johnson Jr.,RB,1.0,23.0,44.0,13.0,22.0,26.0,35.0,5.0,21.7,1,2016,3.0,22.0,7.3,17.0,0.0,0.0,3.0,5.0,28.0,9.3,0.0,0.0,CLE,PHI,False
Malcolm Johnson,RB,1.0,10.0,19.0,0.0,20.0,20.0,20.0,0.9,9.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,CLE,PHI,False
T.J. Yeldon,RB,1.0,63.0,88.0,33.0,10.0,40.0,43.0,12.9,20.5,1,2016,21.0,39.0,1.9,7.0,0.0,1.0,4.0,6.0,30.0,7.5,0.0,0.0,JAC,GB,True
David Johnson,RB,1.0,58.0,95.0,28.0,10.0,34.0,38.0,19.2,33.1,1,2016,16.0,89.0,5.6,45.0,1.0,1.0,4.0,6.0,43.0,10.8,0.0,0.0,ARI,NE,True
Ty Montgomery,RB,1.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,JAC,False
Derrick Henry,RB,1.0,21.0,31.0,24.0,10.0,33.0,33.0,4.4,21.0,1,2016,5.0,3.0,0.6,5.0,0.0,0.0,2.0,2.0,41.0,20.5,0.0,0.0,TEN,MIN,True
Devontae Booker,RB,1.0,6.0,10.0,50.0,0.0,50.0,50.0,-1.2,-20.0,1,2016,3.0,8.0,2.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DEN,CAR,True
Andy Janovich,RB,1.0,27.0,47.0,4.0,0.0,4.0,4.0,8.8,32.6,1,2016,1.0,28.0,28.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,CAR,True
C.J. Prosise,RB,1.0,9.0,11.0,11.0,11.0,22.0,22.0,1.1,12.2,1,2016,1.0,-2.0,-2.0,0.0,0.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,SEA,MIA,True
Nick Bellore,RB,1.0,,,,,,,0.0,,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,MIA,True
Adrian Peterson,RB,1.0,34.0,59.0,35.0,9.0,41.0,44.0,2.6,7.6,2,2016,12.0,19.0,1.6,5.0,0.0,0.0,2.0,3.0,7.0,3.5,0.0,0.0,MIN,GB,True
Cordarrelle Patterson,RB,1.0,3.0,5.0,33.0,0.0,33.0,33.0,-0.2,-6.7,2,2016,,,,,,,,,,,,,MIN,GB,True
Zach Line,RB,1.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,GB,True
Jerick McKinnon,RB,1.0,12.0,21.0,17.0,8.0,25.0,25.0,0.1,0.8,2,2016,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,MIN,GB,True
Darren Sproles,RB,1.0,41.0,57.0,29.0,5.0,34.0,34.0,4.8,11.7,2,2016,12.0,40.0,3.3,14.0,0.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,PHI,CHI,False
Kenjon Barner,RB,1.0,8.0,11.0,25.0,0.0,25.0,25.0,0.2,2.5,2,2016,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,CHI,False
Wendell Smallwood,RB,1.0,5.0,7.0,40.0,20.0,40.0,60.0,1.6,32.0,2,2016,2.0,16.0,8.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PHI,CHI,False
Frank Gore,RB,1.0,34.0,47.0,38.0,9.0,47.0,47.0,12.3,36.2,2,2016,13.0,44.0,3.4,8.0,0.0,0.0,3.0,3.0,19.0,6.3,1.0,0.0,IND,DEN,False
Josh Ferguson,RB,1.0,27.0,37.0,7.0,19.0,26.0,26.0,3.6,13.3,2,2016,2.0,7.0,3.5,6.0,0.0,0.0,5.0,5.0,29.0,5.8,0.0,0.0,IND,DEN,False
LeSean McCoy,RB,1.0,49.0,91.0,31.0,10.0,39.0,41.0,9.0,18.4,2,2016,15.0,59.0,3.9,24.0,1.0,0.0,4.0,5.0,31.0,7.8,0.0,0.0,BUF,NYJ,True
Mark Ingram II,RB,1.0,36.0,58.0,25.0,11.0,36.0,36.0,4.7,13.1,2,2016,9.0,30.0,3.3,9.0,0.0,0.0,4.0,4.0,17.0,4.3,0.0,0.0,NO,NYG,False
Ty Montgomery,RB,1.0,,,,,,,0.0,,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NYG,False
Taiwan Jones,RB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,ATL,True
Latavius Murray,RB,1.0,36.0,48.0,22.0,17.0,39.0,39.0,16.1,44.7,2,2016,8.0,57.0,7.1,18.0,0.0,1.0,6.0,6.0,44.0,7.3,0.0,0.0,LV,ATL,True
DeAndre Washington,RB,1.0,15.0,20.0,47.0,7.0,53.0,53.0,5.2,34.7,2,2016,7.0,46.0,6.6,26.0,1.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,LV,ATL,True
Jalen Richard,RB,1.0,16.0,21.0,38.0,6.0,44.0,44.0,2.7,16.9,2,2016,6.0,17.0,2.8,7.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,LV,ATL,True
Anthony Sherman,RB,1.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,HOU,False
Lamar Miller,RB,1.0,52.0,72.0,48.0,4.0,52.0,52.0,9.7,18.7,2,2016,25.0,83.0,3.3,8.0,0.0,0.0,2.0,2.0,14.0,7.0,0.0,0.0,HOU,KC,True
Tyler Ervin,RB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,KC,True
Rex Burkhead,RB,1.0,,,,,,,0.0,,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,KC,True
Alfred Morris,RB,1.0,10.0,15.0,50.0,0.0,50.0,50.0,6.7,67.0,2,2016,5.0,7.0,1.4,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,WAS,False
Keith Smith,RB,1.0,5.0,7.0,0.0,20.0,20.0,20.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,DAL,WAS,False
Ezekiel Elliott,RB,1.0,43.0,63.0,49.0,5.0,53.0,53.0,12.7,29.5,2,2016,21.0,83.0,4.0,21.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,DAL,WAS,False
Jamize Olawale,RB,1.0,,,,,,,3.9,,2,2016,1.0,11.0,11.0,11.0,0.0,0.0,2.0,2.0,28.0,14.0,0.0,0.0,DAL,WAS,False
Giovani Bernard,RB,1.0,47.0,62.0,11.0,23.0,30.0,34.0,15.7,33.4,2,2016,5.0,17.0,3.4,10.0,0.0,0.0,9.0,11.0,100.0,11.1,1.0,1.0,CIN,PIT,False
Theo Riddick,RB,1.0,51.0,65.0,22.0,10.0,29.0,31.0,6.5,12.7,2,2016,11.0,37.0,3.4,10.0,0.0,0.0,4.0,5.0,28.0,7.0,0.0,0.0,DET,TEN,True
Ameer Abdullah,RB,1.0,17.0,22.0,35.0,0.0,35.0,35.0,3.8,22.4,2,2016,6.0,38.0,6.3,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,TEN,True
Michael Burton,RB,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,TEN,True
Dwayne Washington,RB,1.0,11.0,14.0,36.0,0.0,36.0,36.0,3.1,28.2,2,2016,4.0,31.0,7.8,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,TEN,True
Chris Thompson,RB,1.0,28.0,42.0,7.0,14.0,18.0,21.0,5.8,20.7,2,2016,2.0,1.0,0.5,1.0,0.0,0.0,3.0,4.0,57.0,19.0,0.0,0.0,WAS,DAL,True
Kyle Juszczyk,RB,1.0,15.0,20.0,0.0,13.0,7.0,13.0,0.8,5.3,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,8.0,0.0,0.0,BAL,CLE,False
James Develin,RB,1.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,MIA,True
James White,RB,1.0,28.0,35.0,14.0,14.0,21.0,29.0,2.9,10.4,2,2016,4.0,19.0,4.8,16.0,0.0,0.0,2.0,4.0,10.0,5.0,0.0,0.0,NE,MIA,True
D.J. Foster,RB,1.0,4.0,5.0,25.0,50.0,50.0,75.0,0.9,22.5,2,2016,1.0,7.0,7.0,7.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,NE,MIA,True
Brandon Bolden,RB,1.0,,,,,,,0.0,,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,MIA,True
Patrick DiMarco,RB,1.0,23.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,LV,False
Devonta Freeman,RB,1.0,36.0,55.0,47.0,0.0,47.0,47.0,9.3,25.8,2,2016,17.0,93.0,5.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,LV,False
Tevin Coleman,RB,1.0,30.0,45.0,40.0,7.0,47.0,47.0,13.1,43.7,2,2016,12.0,46.0,3.8,13.0,0.0,1.0,2.0,2.0,25.0,12.5,0.0,0.0,ATL,LV,False
Cordarrelle Patterson,RB,1.0,,,,,,,0.0,,2,2016,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,LV,False
Carlos Hyde,RB,1.0,39.0,60.0,36.0,8.0,44.0,44.0,3.2,8.2,2,2016,14.0,34.0,2.4,8.0,0.0,0.0,3.0,3.0,18.0,6.0,0.0,1.0,SF,CAR,False
Mike Davis,RB,1.0,4.0,6.0,0.0,25.0,25.0,25.0,1.0,25.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,SF,CAR,False
Melvin Gordon III,RB,1.0,51.0,75.0,47.0,6.0,53.0,53.0,18.0,35.3,2,2016,24.0,102.0,4.3,21.0,1.0,1.0,3.0,3.0,18.0,6.0,0.0,0.0,LAC,JAC,True
Derek Watt,RB,1.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,JAC,True
Todd Gurley II,RB,1.0,50.0,81.0,38.0,2.0,40.0,40.0,7.0,14.0,2,2016,19.0,51.0,2.7,11.0,0.0,0.0,1.0,1.0,19.0,19.0,0.0,0.0,LAR,SEA,True
Duke Johnson Jr.,RB,1.0,31.0,50.0,10.0,16.0,23.0,26.0,5.6,18.1,2,2016,3.0,12.0,4.0,8.0,0.0,0.0,4.0,5.0,44.0,11.0,0.0,0.0,CLE,BAL,True
Malcolm Johnson,RB,1.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,BAL,True
Jay Ajayi,RB,1.0,36.0,56.0,14.0,11.0,25.0,25.0,2.5,6.9,2,2016,5.0,14.0,2.8,8.0,0.0,0.0,4.0,4.0,31.0,7.8,0.0,1.0,MIA,NE,False
Kenyan Drake,RB,1.0,18.0,28.0,11.0,11.0,22.0,22.0,7.8,43.3,2,2016,2.0,12.0,6.0,7.0,0.0,1.0,2.0,2.0,6.0,3.0,0.0,0.0,MIA,NE,False
Malcolm Brown,RB,1.0,,,,,,,0.0,,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,NE,False
T.J. Yeldon,RB,1.0,44.0,67.0,16.0,20.0,34.0,36.0,3.8,8.6,2,2016,7.0,28.0,4.0,15.0,0.0,0.0,8.0,9.0,10.0,1.3,0.0,0.0,JAC,LAC,False
David Johnson,RB,1.0,41.0,62.0,29.0,12.0,37.0,41.0,14.3,34.9,2,2016,12.0,45.0,3.8,10.0,0.0,0.0,3.0,5.0,98.0,32.7,0.0,0.0,ARI,TB,True
Derrick Henry,RB,1.0,31.0,46.0,29.0,3.0,32.0,32.0,4.9,15.8,2,2016,9.0,40.0,4.4,9.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,TEN,DET,False
Alex Collins,RB,1.0,4.0,6.0,50.0,0.0,50.0,50.0,0.0,0.0,2,2016,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,LAR,False
Nick Bellore,RB,1.0,,,,,,,0.0,,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,LAR,False
Devontae Booker,RB,1.0,14.0,20.0,64.0,7.0,71.0,71.0,5.1,36.4,2,2016,9.0,46.0,5.1,12.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,DEN,IND,True
Andy Janovich,RB,1.0,34.0,48.0,0.0,3.0,3.0,3.0,1.1,3.2,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,DEN,IND,True
Jordan Howard,RB,1.0,11.0,21.0,27.0,18.0,45.0,45.0,3.1,28.2,2,2016,3.0,22.0,7.3,10.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,CHI,PHI,True
Darren Sproles,RB,1.0,24.0,37.0,8.0,25.0,33.0,33.0,18.7,77.9,3,2016,2.0,-1.0,-0.5,0.0,0.0,0.0,6.0,6.0,128.0,21.3,1.0,0.0,PHI,PIT,True
Kenjon Barner,RB,1.0,12.0,18.0,67.0,0.0,67.0,67.0,10.2,85.0,3,2016,8.0,42.0,5.3,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,PIT,True
Wendell Smallwood,RB,1.0,24.0,37.0,71.0,0.0,71.0,71.0,13.9,57.9,3,2016,17.0,79.0,4.6,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,PIT,True
Frank Gore,RB,1.0,44.0,61.0,48.0,7.0,50.0,55.0,14.3,32.5,3,2016,21.0,82.0,3.9,19.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,IND,LAC,True
Josh Ferguson,RB,1.0,17.0,24.0,6.0,24.0,24.0,29.0,3.1,18.2,3,2016,1.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,29.0,9.7,0.0,0.0,IND,LAC,True
LeSean McCoy,RB,1.0,48.0,75.0,35.0,8.0,42.0,44.0,23.6,49.2,3,2016,17.0,110.0,6.5,24.0,1.0,2.0,3.0,4.0,6.0,2.0,0.0,0.0,BUF,ARI,True
Jonathan Williams,RB,1.0,6.0,9.0,50.0,0.0,50.0,50.0,0.2,3.3,3,2016,3.0,2.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,ARI,True
Taiwan Jones,RB,1.0,,,,,,,0.0,,3,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,ARI,True
Mark Ingram II,RB,1.0,40.0,49.0,38.0,15.0,48.0,53.0,18.7,46.8,3,2016,15.0,77.0,5.1,17.0,0.0,0.0,4.0,6.0,30.0,7.5,1.0,0.0,NO,ATL,True
Ty Montgomery,RB,1.0,,,,,,,0.0,,3,2016,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,ATL,True
Anthony Sherman,RB,1.0,10.0,16.0,0.0,10.0,10.0,10.0,0.3,3.0,3,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,KC,NYJ,True
Lamar Miller,RB,1.0,54.0,76.0,39.0,9.0,46.0,48.0,10.7,19.8,3,2016,21.0,80.0,3.8,15.0,0.0,0.0,4.0,5.0,27.0,6.8,0.0,0.0,HOU,NE,False
Rex Burkhead,RB,1.0,,,,,,,0.0,,3,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,NE,False
Alfred Morris,RB,1.0,7.0,10.0,71.0,14.0,86.0,86.0,8.1,115.7,3,2016,5.0,19.0,3.8,7.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,DAL,CHI,True
Keith Smith,RB,1.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,CHI,True
Ezekiel Elliott,RB,1.0,50.0,74.0,60.0,4.0,64.0,64.0,16.0,32.0,3,2016,30.0,140.0,4.7,21.0,1.0,0.0,2.0,2.0,20.0,10.0,0.0,0.0,DAL,CHI,True
