player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Jared Cook,9.0,12.0,180.0,20.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,TE,1,2018,LV,LAR,True,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Derek Carrier,2.0,3.0,20.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TE,1,2018,LV,LAR,True,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Ricky Seals-Jones,4.0,6.0,17.0,4.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,TE,2,2018,ARI,LAR,False,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Antonio Gates,3.0,5.0,45.0,15.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,TE,3,2018,LAC,LAR,False,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Virgil Green,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,TE,3,2018,LAC,LAR,False,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Kyle Rudolph,5.0,6.0,57.0,11.4,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,TE,4,2018,MIN,LAR,False,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Nick Vannett,3.0,4.0,43.0,14.3,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,TE,5,2018,SEA,LAR,True,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Jeff Heuerman,3.0,5.0,23.0,7.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,TE,6,2018,DEN,LAR,True,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
Matt LaCosse,1.0,4.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,TE,6,2018,DEN,LAR,True,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
George Kittle,5.0,8.0,98.0,19.6,35.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,15.8,TE,7,2018,SF,LAR,True,347.0,533.0,65.1,3780.0,7.7,236.3,73.0,31.0,18.0,41.0,326.0,93.8,386.0,1957.0,5.1,122.3,51.0,12.0,4.0,3.0,347.0,4106.0,11.8,256.6,73.0,31.0,2.0,2.0,322.0,101.0,185.0,36.0,70.0,188.0,37.2,9.0,15.0,60.0,99.0,852.0
