Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Luke Willson(FA),3,3,139,46.3,80,3,2,0,0,0,0,1,25.9,25.9,0.0%
2,Jason Witten(FA),7,7,90,12.9,25,2,1,0,0,0,0,1,15.0,15.0,0.1%
3,Zach Ertz(ARI),15,18,115,7.7,16,0,0,0,0,0,0,1,11.5,11.5,85.8%
4,Jimmy Graham(CHI),6,10,53,8.8,15,0,1,0,0,0,1,1,9.3,9.3,0.8%
5,Rob Gronkowski(TB),6,10,31,5.2,10,0,1,0,0,0,0,1,9.1,9.1,97.7%
6,Marcedes Lewis(GB),2,3,6,3.0,4,0,1,0,0,0,0,1,6.6,6.6,0.2%
7,Travis Kelce(KC),4,7,31,7.8,13,0,0,0,0,0,0,1,3.1,3.1,100.0%
8,Darren Fells(FA),2,2,26,13.0,15,0,0,0,0,0,0,1,2.6,2.6,0.0%
9,Ryan Griffin(NYJ),3,3,25,8.3,11,0,0,0,0,0,0,1,2.5,2.5,0.6%
10,Jack Doyle(FA),2,3,23,11.5,13,0,0,0,0,0,0,1,2.3,2.3,2.2%
11,Greg Olsen(FA),1,3,21,21.0,21,1,0,0,0,0,0,1,2.1,2.1,7.0%
12,Levine Toilolo(NYG),4,4,17,4.3,8,0,0,0,0,0,0,1,1.7,1.7,0.0%
13,Richard Rodgers(PHI),2,3,13,6.5,8,0,0,0,0,0,0,1,1.3,1.3,0.0%
14,Luke Stocker(MIN),2,3,8,4.0,4,0,0,0,0,0,0,1,0.8,0.8,0.0%
15,Jordan Reed(FA),2,4,5,2.5,4,0,0,0,0,0,0,1,0.5,0.5,19.0%
16,Bruce Miller(FA),2,2,22,11.0,12,0,0,1,0,0,1,1,0.2,0.2,0.0%
17,Thaddeus Moss(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
18,Cole Kmet(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3%
19,Brycen Hopkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
20,Hunter Bryant(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
21,Jared Pinkney(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
22,Dalton Keene(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
23,Juwan Johnson(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
24,Colby Parkinson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
25,Harrison Bryant(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
26,Adam Trautman(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%
27,Devin Asiasi(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
28,Noah Gray(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
29,Mitchell Wilcox(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
30,Luke Farrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
31,Josiah Deguara(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
32,John Lovett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
33,Jody Fortson(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
34,Donald Parham Jr.(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
35,Mitchell Fraboni(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
36,Chris Myarick(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
37,Matt Sokol(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,Matthew Orzech(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,Ian Bunting(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,Parker Hesse(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
42,Kyle Markway(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,Tyler Mabry(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,Kyle Pitts(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4%
45,Pat Freiermuth(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7%
46,Charlie Taumoepeau(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,Charlie Woerner(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
48,Noah Togiai(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,Ben Ellefson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,Sean McKeon(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,Tyler Davis(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,Rashod Berry(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,Scotty Washington(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,Eli Wolf(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,Brevin Jordan(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
58,Tommy Hudson(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
59,Rysen John(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
60,Nakia Griffin-Stewart(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,Ryan Becker(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,Farrod Green(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,Nick Bowers(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,Austin Fort(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,Jordan Thomas(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,Mark Andrews(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
68,Dallas Goedert(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
69,Mike Gesicki(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.6%
70,Troy Fumagalli(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
71,Hayden Hurst(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
72,Dalton Schultz(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9%
73,Ian Thomas(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
74,Jordan Akins(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
75,David Wells(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
76,Ethan Wolf(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
77,Durham Smythe(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
78,Noah Fant(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.3%
79,Chris Herndon IV(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
80,Ryan Izzo(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,Dylan Cantrell(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
82,Tyler Conklin(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5%
83,Jason Croom(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
84,Anthony Firkser(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%
85,Pharaoh Brown(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
86,Colin Thompson(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
87,Dan Arnold(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
88,Trevon Wesco(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
89,Albert Okwuegbunam(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
90,T.J. Hockenson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4%
91,Kaden Smith(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
92,Tommy Sweeney(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5%
93,Daniel Helm(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,Foster Moreau(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7%
95,Brandon Dillon(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
96,Kendall Blanton(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
97,Jesper Horsted(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
98,Josh Oliver(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,Drew Sample(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
100,Tyree Jackson(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
101,Alize Mack(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,Isaac Nauta(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,Irv Smith Jr.(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3%
104,Jace Sternberger(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
105,Dawson Knox(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.2%
106,Dax Raymond(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
107,Kahale Warring(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
108,Zach Gentry(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
109,Andrew Beck(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,Stephen Carlson(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
111,Carson Meier(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
112,Hakeem Butler(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
113,Jaeden Graham(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
114,Jordan Franks(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
115,Deon Yelder(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
116,Kevin Rader(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
117,Tanner Hudson(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
118,Ross Dwelley(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
119,Codey McElroy(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,Will Dissly(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
121,Jack Stoll(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
122,Sammis Reyes(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
123,Jacob Harris(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
124,Josh Pederson(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
125,Matt Bushman(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
126,Hunter Long(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
127,Tommy Tremble(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
128,Tre' McKitty(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
129,Kenny Yeboah(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
130,Quintin Morris(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
131,Pro Wells(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
132,Miller Forristall(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
133,John Bates(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
