,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Russell Wilson(SEA),26,41,63.4,452,11.0,4,1,2,4,30,0,0,1,35.1,35.1,90.4%
1,2,Deshaun Watson(HOU),19,30,63.3,402,13.4,4,3,5,8,67,0,0,1,32.8,32.8,5.0%
2,3,Andy Dalton(CHI),17,29,58.6,243,8.4,2,0,3,3,10,0,0,1,18.7,18.7,1.6%
3,4,Josh McCown(FA),26,33,78.8,257,7.8,2,0,3,1,0,0,0,1,18.3,18.3,0.0%
4,5,Matthew Stafford(LAR),27,45,60.0,423,9.4,0,0,2,1,11,0,0,1,18.0,18.0,97.2%
5,6,Case Keenum(CLE),27,43,62.8,288,6.7,2,1,1,0,0,0,0,1,17.5,17.5,0.9%
6,7,Tom Brady(FA),32,47,68.1,333,7.1,1,0,3,1,2,0,0,1,17.5,17.5,99.1%
7,8,Carson Wentz(IND),18,32,56.3,211,6.6,2,1,3,2,7,0,0,1,17.1,17.1,44.0%
8,9,Tyrod Taylor(HOU),20,27,74.1,165,6.1,1,0,0,6,1,1,0,1,16.7,16.7,4.9%
9,10,Jacoby Brissett(MIA),25,39,64.1,233,6.0,2,1,4,1,6,0,0,1,15.9,15.9,0.6%
10,11,Matt Ryan(ATL),18,29,62.1,254,8.8,2,0,1,6,17,0,2,1,15.9,15.9,36.3%
11,12,DeShone Kizer(FA),18,34,52.9,179,5.3,0,0,3,5,18,1,0,1,15.0,15.0,0.0%
12,13,Ben Roethlisberger(FA),17,31,54.8,317,10.2,1,1,0,3,-2,0,0,1,14.5,14.5,23.8%
13,14,Alex Smith(FA),14,31,45.2,202,6.5,1,0,1,4,33,0,1,1,13.4,13.4,5.0%
14,15,Cam Newton(CAR),18,32,56.3,154,4.8,1,1,0,11,44,0,0,1,12.6,12.6,20.3%
15,16,Derek Carr(LV),31,49,63.3,313,6.4,1,2,0,0,0,0,0,1,12.5,12.5,58.1%
16,17,Drew Brees(FA),23,28,82.1,299,10.7,0,0,2,4,-2,0,0,1,11.8,11.8,35.7%
17,18,C.J. Beathard(JAC),17,36,47.2,167,4.6,1,2,4,6,40,0,0,1,10.7,10.7,0.0%
18,19,Kirk Cousins(MIN),26,39,66.7,263,6.7,1,1,4,1,0,0,1,1,10.5,10.5,70.7%
19,20,Philip Rivers(FA),17,30,56.7,212,7.1,1,1,1,0,0,0,0,1,10.5,10.5,20.6%
20,21,Mitchell Trubisky(BUF),14,32,43.8,164,5.1,0,1,2,3,53,0,0,1,9.9,9.9,0.4%
21,22,Joe Flacco(NYJ),10,15,66.7,101,6.7,1,0,0,1,9,0,0,1,8.9,8.9,0.3%
22,23,Trevor Siemian(NO),19,36,52.8,198,5.5,1,3,3,2,20,0,0,1,7.9,7.9,1.1%
23,24,Dak Prescott(DAL),14,22,63.6,143,6.5,0,0,2,3,16,0,0,1,7.3,7.3,98.2%
