rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Derrick Henry,32.0,211.0,6.6,53.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.1,39.1,78.0,TEN,RB,17,2019
2.0,Boston Scott,19.0,54.0,2.8,15.0,0.0,3.0,4.0,6.0,84.0,21.0,0.0,0.0,1.0,31.8,31.8,27.7,PHI,RB,17,2019
3.0,Joe Mixon,26.0,162.0,6.2,41.0,3.0,2.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,29.6,29.6,98.1,CIN,RB,17,2019
4.0,Damien Williams,12.0,124.0,10.3,84.0,1.0,2.0,4.0,7.0,30.0,7.5,0.0,0.0,1.0,27.4,27.4,4.4,KC,RB,17,2019
5.0,Ezekiel Elliott,18.0,122.0,6.8,33.0,1.0,1.0,3.0,5.0,2.0,0.7,1.0,0.0,1.0,24.4,24.4,99.7,DAL,RB,17,2019
6.0,Mike Boone,17.0,148.0,8.7,59.0,2.0,1.0,2.0,3.0,12.0,6.0,0.0,0.0,1.0,22.0,22.0,1.5,MIN,RB,17,2019
7.0,Marlon Mack,15.0,77.0,5.1,20.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.7,19.7,1.6,IND,RB,17,2019
8.0,Raheem Mostert,10.0,57.0,5.7,17.0,0.0,2.0,1.0,2.0,16.0,16.0,0.0,0.0,1.0,19.3,19.3,13.0,SF,RB,17,2019
10.0,Alvin Kamara,8.0,39.0,4.9,15.0,0.0,2.0,2.0,3.0,18.0,9.0,0.0,0.0,1.0,17.7,17.7,100.0,NO,RB,17,2019
11.0,Saquon Barkley,17.0,92.0,5.4,68.0,1.0,1.0,3.0,4.0,25.0,8.3,0.0,0.0,1.0,17.7,17.7,97.6,NYG,RB,17,2019
12.0,David Montgomery,23.0,113.0,4.9,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.3,17.3,98.7,CHI,RB,17,2019
13.0,Christian McCaffrey,9.0,26.0,2.9,10.0,0.0,1.0,7.0,10.0,72.0,10.3,0.0,0.0,1.0,15.8,15.8,47.2,CAR,RB,17,2019
15.0,Ryquell Armstead,10.0,33.0,3.3,9.0,0.0,0.0,5.0,9.0,52.0,10.4,1.0,0.0,1.0,14.5,14.5,0.0,JAC,RB,17,2019
16.0,Aaron Jones,25.0,100.0,4.0,14.0,0.0,0.0,2.0,6.0,43.0,21.5,0.0,0.0,1.0,14.3,14.3,98.9,GB,RB,17,2019
17.0,Kenyan Drake,12.0,60.0,5.0,24.0,1.0,1.0,3.0,4.0,23.0,7.7,0.0,0.0,1.0,14.3,14.3,29.4,CIN,RB,17,2019
