player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
DeSean Jackson,6.0,12.0,102.0,17.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.2,WR,1,2011,PHI,LAR,False,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Jeremy Maclin,1.0,3.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,1,2011,PHI,LAR,False,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Hakeem Nicks,4.0,8.0,38.0,9.5,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2011,NYG,LAR,True,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Mario Manningham,3.0,7.0,56.0,18.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2011,NYG,LAR,True,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Domenik Hixon,2.0,2.0,29.0,14.5,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2011,NYG,LAR,True,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Victor Cruz,2.0,2.0,17.0,8.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2011,NYG,LAR,True,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
LaQuan Williams,1.0,3.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,3,2011,BAL,LAR,False,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Anquan Boldin,7.0,14.0,74.0,10.6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,3,2011,BAL,LAR,False,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Torrey Smith,5.0,8.0,152.0,30.4,74.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,WR,3,2011,BAL,LAR,False,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
Santana Moss,5.0,11.0,39.0,7.8,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,4,2011,WAS,LAR,False,293.0,484.0,60.5,3301.0,7.4,206.3,93.0,21.0,12.0,39.0,261.0,87.3,510.0,2433.0,4.8,152.1,91.0,17.0,12.0,3.0,293.0,3562.0,12.2,222.6,93.0,21.0,2.0,0.0,313.0,122.0,166.0,25.0,83.0,216.0,38.4,5.0,8.0,62.5,111.0,951.0
