player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Rob Gronkowski,6.0,7.0,86.0,14.3,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.6,TE,1,2011,NE,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Owen Daniels,3.0,5.0,25.0,8.3,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,2,2011,HOU,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Joel Dreessen,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,2,2011,HOU,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Alex Smith,1.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,3,2011,CLE,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Dustin Keller,2.0,5.0,51.0,25.5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,6,2011,NYJ,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Daniel Fells,2.0,4.0,31.0,15.5,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,7,2011,DEN,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Jake Ballard,4.0,7.0,55.0,13.8,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,8,2011,NYG,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Logan Paulsen,1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,10,2011,WAS,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Fred Davis,3.0,7.0,28.0,9.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,10,2011,WAS,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Scott Chandler,5.0,6.0,71.0,14.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,11,2011,BUF,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Jason Witten,4.0,5.0,43.0,10.8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,TE,12,2011,DAL,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
John Phillips,2.0,2.0,16.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,12,2011,DAL,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Martellus Bennett,1.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,12,2011,DAL,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Brandon Myers,3.0,6.0,33.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,13,2011,LV,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Brent Celek,4.0,5.0,39.0,9.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,14,2011,PHI,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Rob Gronkowski,7.0,9.0,78.0,11.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,TE,16,2011,NE,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Aaron Hernandez,4.0,6.0,36.0,9.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,TE,16,2011,NE,MIA,True,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Dustin Keller,7.0,7.0,45.0,6.4,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,17,2011,NYJ,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Matthew Mulligan,1.0,1.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,17,2011,NYJ,MIA,False,350.0,590.0,59.3,3992.0,7.2,249.5,99.0,24.0,16.0,41.0,241.0,83.7,412.0,1530.0,3.7,95.6,24.0,8.0,9.0,1.0,350.0,4233.0,12.1,264.6,99.0,24.0,1.0,0.0,310.0,88.0,198.0,24.0,74.0,219.0,33.8,7.0,14.0,50.0,112.0,975.0
Jimmy Graham,4.0,7.0,56.0,14.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.6,TE,1,2011,NO,GB,False,390.0,637.0,61.2,4796.0,7.8,299.8,72.0,29.0,31.0,29.0,192.0,80.6,383.0,1789.0,4.7,111.8,54.0,10.0,6.0,0.0,390.0,4988.0,12.8,311.8,72.0,29.0,8.0,5.0,358.0,96.0,246.0,16.0,83.0,195.0,42.6,4.0,16.0,25.0,122.0,948.0
Greg Olsen,1.0,4.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,TE,2,2011,CAR,GB,True,390.0,637.0,61.2,4796.0,7.8,299.8,72.0,29.0,31.0,29.0,192.0,80.6,383.0,1789.0,4.7,111.8,54.0,10.0,6.0,0.0,390.0,4988.0,12.8,311.8,72.0,29.0,8.0,5.0,358.0,96.0,246.0,16.0,83.0,195.0,42.6,4.0,16.0,25.0,122.0,948.0
Kellen Davis,1.0,2.0,32.0,32.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,3,2011,CHI,GB,True,390.0,637.0,61.2,4796.0,7.8,299.8,72.0,29.0,31.0,29.0,192.0,80.6,383.0,1789.0,4.7,111.8,54.0,10.0,6.0,0.0,390.0,4988.0,12.8,311.8,72.0,29.0,8.0,5.0,358.0,96.0,246.0,16.0,83.0,195.0,42.6,4.0,16.0,25.0,122.0,948.0
Virgil Green,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,TE,4,2011,DEN,GB,False,390.0,637.0,61.2,4796.0,7.8,299.8,72.0,29.0,31.0,29.0,192.0,80.6,383.0,1789.0,4.7,111.8,54.0,10.0,6.0,0.0,390.0,4988.0,12.8,311.8,72.0,29.0,8.0,5.0,358.0,96.0,246.0,16.0,83.0,195.0,42.6,4.0,16.0,25.0,122.0,948.0
Daniel Fells,2.0,3.0,29.0,14.5,22.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,TE,4,2011,DEN,GB,False,390.0,637.0,61.2,4796.0,7.8,299.8,72.0,29.0,31.0,29.0,192.0,80.6,383.0,1789.0,4.7,111.8,54.0,10.0,6.0,0.0,390.0,4988.0,12.8,311.8,72.0,29.0,8.0,5.0,358.0,96.0,246.0,16.0,83.0,195.0,42.6,4.0,16.0,25.0,122.0,948.0
Tony Gonzalez,6.0,8.0,60.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,5,2011,ATL,GB,True,390.0,637.0,61.2,4796.0,7.8,299.8,72.0,29.0,31.0,29.0,192.0,80.6,383.0,1789.0,4.7,111.8,54.0,10.0,6.0,0.0,390.0,4988.0,12.8,311.8,72.0,29.0,8.0,5.0,358.0,96.0,246.0,16.0,83.0,195.0,42.6,4.0,16.0,25.0,122.0,948.0
