rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Brandon McManus,6,6,100.0,54,0,2,0,2,2,0,0,1,24.0,24.0,44.3,DEN,6,K
2,Younghoe Koo,4,4,100.0,50,0,1,0,2,1,4,4,1,20.0,20.0,40.9,ATL,6,K
3,Justin Tucker,3,3,100.0,55,0,0,0,2,1,3,3,1,16.0,16.0,98.0,BAL,6,K
4,Cairo Santos,3,3,100.0,55,0,0,2,0,1,2,2,1,13.0,13.0,2.1,CHI,6,K
5,Randy Bullock,2,3,66.7,55,0,0,0,1,1,3,3,1,12.0,12.0,10.8,TEN,6,K
6,Joey Slye,3,4,75.0,48,0,2,0,1,0,1,1,1,11.0,11.0,1.6,WAS,6,K
7,Matt Prater,2,3,66.7,41,0,0,1,1,0,4,4,1,11.0,11.0,52.8,ARI,6,K
8,Ryan Succop,1,1,100.0,50,0,0,0,0,1,5,5,1,10.0,10.0,57.4,TB,6,K
9,Rodrigo Blankenship,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,4.1,IND,6,K
10,Harrison Butker,2,2,100.0,37,0,0,2,0,0,2,3,1,8.0,8.0,76.6,KC,6,K
11,Zane Gonzalez,1,1,100.0,26,0,1,0,0,0,5,5,1,8.0,8.0,2.6,CAR,6,K
12,Graham Gano,2,2,100.0,33,0,1,1,0,0,2,2,1,8.0,8.0,31.4,NYG,6,K
13,Chris Boswell,1,1,100.0,35,0,0,1,0,0,5,5,1,8.0,8.0,51.0,PIT,6,K
14,Dustin Hopkins,2,3,66.7,35,0,1,1,0,0,1,1,1,7.0,7.0,14.5,LAC,6,K
15,Robbie Gould,1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,22.5,SF,6,K
16,Nick Folk,2,2,100.0,41,0,0,1,1,0,0,0,1,7.0,7.0,81.8,NE,6,K
17,Jason Sanders,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,22.6,MIA,6,K
18,Tyler Bass,1,2,50.0,48,0,0,0,1,0,2,2,1,6.0,6.0,84.8,BUF,6,K
19,Ka'imi Fairbairn,1,1,100.0,38,0,0,1,0,0,3,4,1,6.0,6.0,0.8,HOU,6,K
20,Sam Sloman,1,1,100.0,42,0,0,0,1,0,1,2,1,5.0,5.0,0.0,PIT,6,K
21,Greg Zuerlein,1,2,50.0,34,0,0,1,0,0,1,1,1,4.0,4.0,74.2,DAL,6,K
22,Stephen Gostkowski,0,2,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1,FA,6,K
23,Mason Crosby,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,40.7,GB,6,K
24,Jonathan Brown,1,2,50.0,31,0,0,1,0,0,1,1,1,4.0,4.0,0.1,FA,6,K
25,Cody Parkey,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.4,FA,6,K
26,Dan Bailey,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0,FA,6,K
27,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,6,K
