rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Ka'imi Fairbairn,4,4,100.0,51,0,2,0,1,1,2,3,1,17.0,17.0,0.8,HOU,K,17,2020
2,Greg Zuerlein,4,4,100.0,57,0,0,2,1,1,1,1,1,16.0,16.0,74.2,DAL,K,17,2020
3,Ryan Succop,3,3,100.0,38,0,2,1,0,0,5,5,1,14.0,14.0,57.4,TB,K,17,2020
4,Sam Sloman,2,2,100.0,47,0,0,1,1,0,5,5,1,12.0,12.0,0.0,PIT,K,17,2020
5,Matthew Wright,3,3,100.0,46,0,1,0,2,0,1,1,1,12.0,12.0,0.2,JAC,K,17,2020
6,Tristan Vizcaino,3,3,100.0,47,0,0,2,1,0,2,2,1,12.0,12.0,0.8,FA,K,17,2020
7,Brandon McManus,3,6,50.0,37,0,2,1,0,0,2,2,1,11.0,11.0,44.3,DEN,K,17,2020
8,Cairo Santos,3,3,100.0,30,0,2,1,0,0,1,1,1,10.0,10.0,2.1,CHI,K,17,2020
9,Wil Lutz,2,2,100.0,48,0,0,1,1,0,3,4,1,10.0,10.0,3.3,NO,K,17,2020
10,Dustin Hopkins,2,2,100.0,42,0,0,0,2,0,2,2,1,10.0,10.0,14.5,LAC,K,17,2020
11,Matt Gay,3,3,100.0,34,0,2,1,0,0,1,1,1,10.0,10.0,89.8,LAR,K,17,2020
12,Jason Sanders,2,2,100.0,49,0,0,1,1,0,2,2,1,9.0,9.0,22.6,MIA,K,17,2020
13,Younghoe Koo,2,2,100.0,22,0,2,0,0,0,3,3,1,9.0,9.0,40.9,ATL,K,17,2020
14,Justin Tucker,1,1,100.0,34,0,0,1,0,0,5,5,1,8.0,8.0,98.0,BAL,K,17,2020
15,Tyler Bass,0,0,0.0,0,0,0,0,0,0,8,8,1,8.0,8.0,84.8,BUF,K,17,2020
16,Jason Myers,2,2,100.0,36,0,0,2,0,0,2,3,1,8.0,8.0,22.1,SEA,K,17,2020
17,Rodrigo Blankenship,2,4,50.0,24,0,2,0,0,0,2,2,1,8.0,8.0,4.1,IND,K,17,2020
18,Dan Bailey,1,2,50.0,23,0,1,0,0,0,4,5,1,7.0,7.0,0.0,FA,K,17,2020
