rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Rodrigo Blankenship,4,5,80.0,43,0,0,3,1,0,2,2,1,15.0,15.0,4.1,IND,K,11,2020
2,Younghoe Koo,3,3,100.0,52,0,1,0,0,2,0,0,1,13.0,13.0,40.9,ATL,K,11,2020
3,Stephen Gostkowski,3,3,100.0,40,0,1,0,2,0,1,1,1,12.0,12.0,0.1,FA,K,11,2020
4,Michael Badgley,2,2,100.0,44,0,1,0,1,0,4,4,1,11.0,11.0,19.9,IND,K,11,2020
5,Chris Boswell,2,3,66.7,47,0,0,0,2,0,3,3,1,11.0,11.0,51.0,PIT,K,11,2020
6,Dustin Hopkins,2,3,66.7,50,0,0,1,0,1,2,2,1,10.0,10.0,14.5,LAC,K,11,2020
7,Matt Gay,2,3,66.7,40,0,0,1,1,0,3,3,1,10.0,10.0,89.8,LAR,K,11,2020
8,Jason Sanders,2,2,100.0,53,0,0,0,1,1,1,1,1,10.0,10.0,22.6,MIA,K,11,2020
9,Justin Tucker,3,3,100.0,30,0,2,1,0,0,1,1,1,10.0,10.0,98.0,BAL,K,11,2020
10,Ka'imi Fairbairn,2,2,100.0,46,0,0,1,1,0,3,3,1,10.0,10.0,0.8,HOU,K,11,2020
11,Joey Slye,2,2,100.0,56,0,0,1,0,1,2,2,1,10.0,10.0,1.6,WAS,K,11,2020
12,Nick Folk,2,2,100.0,45,0,0,1,1,0,2,2,1,9.0,9.0,81.8,NE,K,11,2020
13,Cody Parkey,2,3,66.7,46,0,1,0,1,0,2,2,1,9.0,9.0,0.4,FA,K,11,2020
14,Jason Myers,2,2,100.0,41,0,1,0,1,0,2,3,1,9.0,9.0,22.1,SEA,K,11,2020
15,Brandon McManus,2,2,100.0,47,0,1,0,1,0,2,2,1,9.0,9.0,44.3,DEN,K,11,2020
16,Mason Crosby,1,1,100.0,26,0,1,0,0,0,4,4,1,7.0,7.0,40.7,GB,K,11,2020
17,Daniel Carlson,1,1,100.0,35,0,0,1,0,0,4,4,1,7.0,7.0,74.3,LV,K,11,2020
18,Wil Lutz,1,2,50.0,22,0,1,0,0,0,3,3,1,6.0,6.0,3.3,NO,K,11,2020
19,Ryan Succop,1,1,100.0,38,0,0,1,0,0,3,3,1,6.0,6.0,57.4,TB,K,11,2020
20,Jake Elliott,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,22.5,PHI,K,11,2020
21,Harrison Butker,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,76.6,KC,K,11,2020
22,Randy Bullock,1,3,33.3,53,0,0,0,0,1,0,1,1,5.0,5.0,10.8,TEN,K,11,2020
23,Greg Zuerlein,1,1,100.0,19,1,0,0,0,0,2,3,1,5.0,5.0,74.2,DAL,K,11,2020
24,Dan Bailey,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0,FA,K,11,2020
25,Chase McLaughlin,1,1,100.0,41,0,0,0,1,0,0,0,1,4.0,4.0,7.1,CLE,K,11,2020
26,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,2.6,CAR,K,11,2020
27,Sam Ficken,0,0,0.0,0,0,0,0,0,0,2,4,1,2.0,2.0,0.1,TEN,K,11,2020
28,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,11,2020
29,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,11,2020
30,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,11,2020
31,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,11,2020
32,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,11,2020
33,Dominik Eberle,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,11,2020
34,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,11,2020
35,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,K,11,2020
36,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,K,11,2020
37,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,11,2020
38,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,K,11,2020
39,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,K,11,2020
40,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,K,11,2020
41,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,K,11,2020
42,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,K,11,2020
43,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,11,2020
44,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,11,2020
45,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,K,11,2020
46,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,K,11,2020
47,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,K,11,2020
48,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.3,MIA,K,11,2020
49,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,11,2020
50,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,11,2020
51,Robbie Gould,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,SF,K,11,2020
52,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,11,2020
53,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,11,2020
54,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,11,2020
55,Matt Prater,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,52.8,ARI,K,11,2020
56,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,K,11,2020
