,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Alvin KamaraNO,17.4,74.6,0.7,4.8,39.0,0.3,0.1,16.5
1,Najee HarrisPIT,20.5,80.1,0.6,4.3,34.6,0.2,0.1,16.1
2,Jonathan TaylorIND,17.0,78.6,0.8,2.7,24.6,0.1,0.1,15.3
3,Austin EkelerLAC,13.8,61.9,0.5,5.3,44.2,0.3,0.1,15.1
4,Ezekiel ElliottDAL,17.9,78.2,0.7,2.7,21.0,0.1,0.1,14.4
5,Nick ChubbCLE,18.0,89.4,0.7,1.8,13.0,0.0,0.1,14.3
6,Dalvin CookMIN,18.0,79.8,0.6,3.2,26.2,0.1,0.1,14.2
7,Damien HarrisNE,16.0,72.4,0.6,1.1,8.5,0.0,0.1,11.6
8,Josh JacobsLV,14.4,57.1,0.6,2.6,20.3,0.1,0.1,11.5
9,Devontae BookerNYG,14.5,57.1,0.5,3.0,21.3,0.1,0.1,11.2
10,Cordarrelle PattersonATL,11.1,43.9,0.2,4.0,36.0,0.2,0.1,10.5
11,Myles GaskinMIA,12.1,52.6,0.3,3.4,26.5,0.2,0.1,10.3
12,Michael CarterNYJ,11.5,45.3,0.3,4.3,35.6,0.1,0.1,10.2
13,Elijah MitchellSF,13.0,62.5,0.5,0.5,4.6,0.0,0.1,9.7
14,Melvin Gordon IIIDEN,10.2,46.8,0.5,2.1,14.3,0.1,0.1,9.0
15,Darrel WilliamsKC,10.8,44.2,0.4,2.6,21.0,0.1,0.1,8.9
16,Khalil HerbertCHI,12.1,49.7,0.4,1.8,14.7,0.0,0.1,8.7
17,Zack MossBUF,10.8,41.9,0.3,2.4,21.0,0.1,0.1,8.6
18,James ConnerARI,11.1,46.8,0.6,0.8,5.3,0.0,0.1,8.5
19,David MontgomeryCHI,11.2,44.5,0.2,1.8,14.8,0.1,0.1,7.4
20,Javonte WilliamsDEN,8.9,41.1,0.2,2.4,18.1,0.1,0.1,7.3
21,Mike DavisATL,10.4,37.7,0.2,3.2,19.5,0.1,0.1,7.2
22,Devonta FreemanBAL,7.4,36.4,0.2,1.8,14.3,0.1,0.1,6.9
23,David JohnsonHOU,6.6,27.3,0.1,2.6,22.9,0.1,0.1,6.4
24,AJ DillonGB,9.8,41.2,0.2,1.1,8.4,0.0,0.1,6.1
25,Salvon AhmedMIA,8.1,32.1,0.2,1.6,14.3,0.0,0.1,6.1
26,Devin SingletaryBUF,8.7,35.4,0.2,1.7,12.8,0.1,0.1,6.0
27,Kenneth GainwellPHI,4.0,18.6,0.1,2.8,24.4,0.1,0.0,5.6
28,Ty JohnsonNYJ,5.5,20.1,0.1,2.8,23.0,0.1,0.1,5.3
29,D'Ernest JohnsonCLE,6.6,28.8,0.2,1.3,10.2,0.0,0.0,5.2
30,Chuba HubbardCAR,7.7,29.8,0.1,1.6,12.2,0.0,0.1,5.1
31,Nyheim HinesIND,4.7,18.1,0.1,2.5,19.2,0.1,0.1,4.9
32,Jeff Wilson Jr.SF,4.4,22.9,0.2,0.8,7.1,0.1,0.1,4.6
33,Ty'Son WilliamsBAL,5.4,23.4,0.1,1.3,10.5,0.1,0.1,4.5
34,Rhamondre StevensonNE,5.4,21.2,0.1,1.4,12.1,0.1,0.0,4.4
35,Rex BurkheadHOU,4.8,16.4,0.2,1.3,11.9,0.1,0.0,4.3
36,Sony MichelLAR,6.1,27.3,0.2,0.6,4.9,0.0,0.0,4.2
37,Trey SermonSF,6.3,28.0,0.2,0.2,2.0,0.0,0.0,4.2
38,D'Onta ForemanTEN,3.2,24.0,0.2,0.9,6.9,0.0,0.1,4.1
39,Samaje PerineCIN,5.3,21.5,0.1,1.0,8.9,0.1,0.0,4.1
40,Derrick GoreKC,5.9,22.7,0.2,0.6,5.3,0.0,0.0,3.9
41,Phillip LindsayMIA,6.2,23.7,0.1,0.6,4.2,0.0,0.0,3.7
42,Brandon BoldenNE,2.4,9.0,0.1,2.2,18.5,0.1,0.0,3.5
43,Alexander MattisonMIN,5.0,20.1,0.1,1.0,8.2,0.0,0.0,3.5
44,JaMycal HastySF,2.6,11.5,0.1,1.7,14.3,0.0,0.0,3.2
45,Joshua KelleyLAC,4.2,15.3,0.1,0.9,7.2,0.0,0.0,2.7
46,Dontrell HilliardTEN,4.6,19.0,0.1,0.2,2.0,0.0,0.0,2.7
47,Elijhaa PennyNYG,4.5,13.1,0.1,0.5,3.7,0.0,0.0,2.4
48,Dare OgunbowaleJAC,3.4,11.4,0.1,0.9,6.8,0.0,0.0,2.4
49,Scottie PhillipsHOU,4.0,13.1,0.1,0.6,4.8,0.0,0.0,2.3
50,Demetric FeltonCLE,1.3,4.7,0.0,1.2,11.9,0.1,0.0,2.3
51,Larry Rountree IIILAC,4.0,14.0,0.1,0.3,2.5,0.0,0.0,2.3
52,Kyle JuszczykSF,0.8,2.5,0.0,1.4,13.4,0.1,0.0,2.2
53,Jerick McKinnonKC,1.2,6.0,0.0,1.2,9.1,0.1,0.0,2.1
54,Marlon MackIND,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0
55,Jalen RichardLV,1.7,6.0,0.0,1.1,9.3,0.0,0.0,1.9
56,Devine OzigboNE,1.8,6.5,0.1,0.8,6.4,0.0,0.0,1.7
57,Patrick Taylor Jr.GB,0.0,8.4,0.1,0.6,3.0,0.0,0.0,1.7
58,Chris EvansCIN,0.9,3.1,0.0,0.9,8.4,0.1,0.0,1.7
59,La'Mical PerineNYJ,1.2,7.9,0.1,0.5,3.5,0.0,0.0,1.5
