,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Dalvin CookMIN,20.8,93.9,0.8,3.4,28.5,0.1,0.2,17.2
1,Jonathan TaylorIND,18.2,90.4,0.9,2.8,24.3,0.1,0.1,16.9
2,Nick ChubbCLE,18.3,90.4,0.7,2.3,18.4,0.1,0.1,15.2
3,Najee HarrisPIT,19.3,74.6,0.6,3.8,28.1,0.1,0.1,14.7
4,Austin EkelerLAC,12.1,54.6,0.6,4.7,40.5,0.3,0.1,14.1
5,Alvin KamaraNO,15.1,61.7,0.5,4.6,38.8,0.2,0.1,14.0
6,Josh JacobsLV,16.2,65.0,0.6,3.7,26.7,0.1,0.1,13.2
7,James ConnerARI,15.3,61.5,0.8,2.1,19.0,0.1,0.1,13.1
8,David MontgomeryCHI,15.4,66.1,0.6,3.3,25.1,0.1,0.1,12.7
9,Cordarrelle PattersonATL,12.8,56.9,0.4,3.8,35.4,0.2,0.0,12.6
10,Rhamondre StevensonNE,16.3,69.9,0.6,1.8,15.5,0.0,0.1,12.3
11,Antonio GibsonWAS,16.2,67.7,0.6,2.7,19.3,0.1,0.2,12.1
12,Saquon BarkleyNYG,13.3,60.4,0.5,3.4,25.8,0.1,0.1,11.8
13,Myles GaskinMIA,13.9,57.0,0.5,2.9,20.9,0.1,0.1,11.6
14,Melvin Gordon IIIDEN,14.0,63.1,0.6,1.9,13.2,0.1,0.2,11.6
15,Devonta FreemanBAL,14.5,62.0,0.5,2.9,19.7,0.1,0.1,11.5
16,Ezekiel ElliottDAL,13.8,57.6,0.6,2.6,18.9,0.1,0.1,11.4
17,Michael CarterNYJ,13.3,55.3,0.5,3.1,26.5,0.1,0.1,11.4
18,Javonte WilliamsDEN,12.1,54.8,0.4,2.7,21.7,0.1,0.1,10.9
19,D'Onta ForemanTEN,13.2,64.2,0.5,1.3,11.1,0.0,0.2,10.4
20,Jeff Wilson Jr.SF,15.3,61.0,0.6,1.0,8.6,0.1,0.1,10.3
21,AJ DillonGB,12.7,51.7,0.2,2.1,18.1,0.1,0.1,8.7
22,Rashaad PennySEA,12.9,57.6,0.3,1.0,8.0,0.0,0.1,8.6
23,Craig ReynoldsDET,11.0,50.7,0.2,2.0,16.1,0.1,0.1,8.2
24,Sony MichelLAR,11.3,50.9,0.3,1.2,8.9,0.1,0.1,7.8
25,Chuba HubbardCAR,12.8,52.3,0.2,1.4,11.0,0.0,0.1,7.8
26,Devin SingletaryBUF,10.7,48.3,0.2,2.3,15.0,0.1,0.1,7.7
27,David JohnsonHOU,10.0,38.9,0.2,3.0,23.3,0.1,0.1,7.6
28,Darrel WilliamsKC,6.2,24.2,0.2,3.0,24.4,0.1,0.0,6.6
29,D'Ernest JohnsonCLE,8.2,34.1,0.2,1.5,13.3,0.0,0.1,5.9
30,Mike DavisATL,7.0,25.4,0.1,3.1,20.7,0.1,0.1,5.6
31,Matt BreidaBUF,7.3,31.8,0.1,1.7,13.3,0.1,0.1,5.5
32,Dontrell HilliardTEN,6.5,27.5,0.2,1.8,14.3,0.0,0.1,5.2
33,Brandon BoldenNE,5.1,18.9,0.1,2.8,24.4,0.1,0.0,5.2
34,Royce FreemanHOU,9.0,31.3,0.1,1.5,10.9,0.0,0.0,5.1
35,Godwin IgwebuikeDET,8.1,32.7,0.2,1.5,12.2,0.0,0.3,5.1
36,Devontae BookerNYG,7.2,30.4,0.1,1.6,11.3,0.0,0.0,5.0
37,Rex BurkheadHOU,6.5,27.4,0.1,1.4,11.6,0.0,0.0,4.8
38,Ty JohnsonNYJ,7.0,26.0,0.0,3.0,21.0,0.0,0.0,4.7
39,Ameer AbdullahCAR,5.2,20.2,0.1,2.6,19.6,0.0,0.1,4.6
40,Salvon AhmedMIA,6.9,25.6,0.2,0.9,8.5,0.0,0.0,4.4
41,Tevin ColemanNYJ,5.1,21.5,0.1,1.4,10.6,0.0,0.0,4.0
42,Nyheim HinesIND,3.4,15.0,0.1,2.4,18.4,0.1,0.1,4.0
43,Justin JacksonLAC,6.0,24.4,0.1,0.9,7.5,0.0,0.0,3.8
44,JaMycal HastySF,4.3,15.1,0.1,1.8,12.7,0.0,0.0,3.6
45,Latavius MurrayBAL,5.6,21.5,0.1,0.8,5.2,0.0,0.0,3.5
46,Samaje PerineCIN,4.5,18.2,0.1,1.2,9.5,0.0,0.0,3.3
47,Jaret PattersonWAS,5.4,21.6,0.1,0.8,5.3,0.0,0.0,3.2
48,Peyton BarberLV,4.2,17.6,0.1,0.8,6.3,0.0,0.0,3.1
49,Dare OgunbowaleJAC,3.7,13.9,0.1,1.1,8.8,0.0,0.0,3.0
50,Kenneth GainwellPHI,1.9,8.5,0.1,1.6,13.7,0.1,0.0,3.0
51,Ty MontgomeryNO,0.0,5.1,0.1,1.4,17.6,0.1,0.0,3.0
52,Travis HomerSEA,2.2,11.5,0.1,1.3,10.0,0.0,0.0,2.9
53,Corey ClementDAL,4.9,18.2,0.1,1.0,6.2,0.0,0.1,2.7
54,Jermar JeffersonDET,3.5,14.9,0.1,0.8,5.7,0.0,0.0,2.7
55,Brian HillSF,0.0,13.6,0.1,0.7,7.0,0.0,0.0,2.7
56,Jonathan WilliamsWAS,3.7,13.9,0.1,0.7,5.6,0.0,0.1,2.6
57,DeeJay DallasSEA,2.2,9.4,0.1,1.1,9.3,0.0,0.0,2.6
58,Damien WilliamsCHI,2.3,11.0,0.1,0.8,6.2,0.0,0.0,2.6
59,Devine OzigboNE,4.8,13.6,0.1,0.6,3.8,0.0,0.0,2.5
60,Alex CollinsSEA,5.9,22.4,0.1,0.2,1.5,0.0,0.1,2.5
61,Duke Johnson Jr.MIA,1.8,12.1,0.1,0.9,7.8,0.0,0.0,2.5
62,Qadree OllisonATL,3.5,14.8,0.1,0.6,3.5,0.0,0.0,2.3
63,Demetric FeltonCLE,1.7,5.4,0.0,1.3,11.8,0.1,0.0,2.3
64,Chris EvansCIN,1.6,5.0,0.1,1.0,10.2,0.1,0.0,2.3
