,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
60,Rex BurkheadHOU,1.0,4.0,0.0,0.7,5.4,0.0,0.0,1.2
61,Elijhaa PennyNYG,1.5,5.5,0.1,0.3,2.4,0.0,0.0,1.1
62,Jalen RichardLV,0.6,2.1,0.0,1.0,7.7,0.0,0.0,1.1
63,Andy JanovichCLE,1.0,3.8,0.0,0.4,3.9,0.0,0.0,1.1
64,Jermar JeffersonDET,1.1,4.9,0.1,0.2,2.4,0.0,0.0,1.0
65,Matt BreidaBUF,1.9,8.4,0.0,0.2,1.5,0.0,0.0,1.0
66,Jake FunkLAR,1.2,4.9,0.0,0.2,1.9,0.0,0.0,1.0
67,Dare OgunbowaleJAC,0.8,3.8,0.0,0.5,4.1,0.0,0.0,0.9
68,Ameer AbdullahCAR,1.1,4.4,0.0,0.5,3.3,0.0,0.0,0.9
69,Peyton BarberLV,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8
70,Corey ClementDAL,1.2,4.2,0.0,0.2,1.2,0.0,0.0,0.7
71,C.J. HamMIN,0.6,1.6,0.0,0.6,4.6,0.0,0.0,0.7
72,Michael BurtonKC,0.7,2.2,0.0,0.4,3.0,0.0,0.0,0.7
73,Ke'Shawn VaughnTB,1.0,4.0,0.0,0.1,2.0,0.0,0.0,0.6
74,Giovanni RicciCAR,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.5
75,Damarea CrockettDEN,0.9,4.0,0.0,0.1,1.0,0.0,0.0,0.5
76,Taiwan JonesBUF,0.6,1.6,0.0,0.2,2.6,0.0,0.0,0.5
77,Jakob JohnsonNE,0.1,0.1,0.0,0.3,1.8,0.0,0.0,0.4
78,Derek WattPIT,0.8,2.0,0.0,0.2,1.2,0.0,0.0,0.4
79,Cullen GillaspiaNYG,0.6,1.3,0.0,0.2,1.4,0.0,0.0,0.3
80,Godwin IgwebuikeDET,0.6,2.0,0.0,0.1,1.0,0.0,0.0,0.3
81,Reggie GilliamBUF,0.1,0.0,0.0,0.3,3.0,0.0,0.0,0.3
82,Gabe NabersLAC,0.5,1.2,0.0,0.2,1.3,0.0,0.0,0.3
83,Khari BlasingameTEN,0.0,0.0,0.0,0.2,2.1,0.0,0.0,0.3
84,Johnny StantonCLE,0.2,0.8,0.0,0.2,1.2,0.0,0.0,0.2
85,Nick BelloreSEA,0.5,1.0,0.0,0.1,1.1,0.0,0.0,0.2
