,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Jonathan TaylorIND,22.1,107.1,1.0,3.2,26.4,0.1,0.1,19.8
1,Austin EkelerLAC,12.5,55.9,0.5,4.8,42.0,0.3,0.1,14.5
2,Alvin KamaraNO,17.0,65.6,0.4,4.7,41.1,0.3,0.2,14.5
3,Alexander MattisonMIN,19.6,79.4,0.5,2.8,24.3,0.1,0.1,14.1
4,Elijah MitchellSF,19.9,84.0,0.6,2.0,17.7,0.1,0.1,14.1
5,James ConnerARI,16.9,67.1,0.7,2.4,19.5,0.1,0.1,13.3
6,Antonio GibsonWAS,17.4,71.5,0.6,2.9,21.1,0.1,0.1,13.3
7,Najee HarrisPIT,16.7,65.7,0.5,3.7,29.1,0.1,0.1,13.2
8,Javonte WilliamsDEN,15.2,71.6,0.5,3.2,26.2,0.1,0.1,13.2
9,Jamaal WilliamsDET,15.1,64.3,0.6,3.2,21.8,0.1,0.0,12.3
10,David MontgomeryCHI,15.7,67.9,0.5,2.7,20.2,0.1,0.1,11.9
11,Dalvin CookMIN,14.9,68.1,0.5,2.7,22.5,0.0,0.2,11.7
12,Myles GaskinMIA,14.7,57.7,0.5,3.2,22.0,0.1,0.1,11.6
13,Ezekiel ElliottDAL,13.9,57.7,0.5,2.7,19.9,0.1,0.1,11.4
14,Josh JacobsLV,13.7,55.0,0.5,3.1,24.0,0.1,0.1,11.4
15,Cordarrelle PattersonATL,9.8,44.4,0.3,3.9,38.0,0.2,0.1,11.3
16,Saquon BarkleyNYG,13.9,59.2,0.4,3.4,24.6,0.1,0.1,11.3
17,Sony MichelLAR,14.9,63.8,0.5,1.7,13.8,0.1,0.1,11.2
18,Devonta FreemanBAL,11.1,49.4,0.4,2.0,15.6,0.1,0.1,9.4
19,Damien HarrisNE,12.1,54.8,0.5,1.0,7.6,0.0,0.1,9.1
20,Rex BurkheadHOU,12.0,46.5,0.3,2.0,17.8,0.1,0.1,8.4
21,Devin SingletaryBUF,9.8,43.9,0.2,2.2,14.3,0.1,0.1,7.0
22,Rhamondre StevensonNE,9.2,41.4,0.2,1.7,14.3,0.1,0.1,7.0
23,Tevin ColemanNYJ,10.5,43.7,0.2,1.6,11.2,0.0,0.0,7.0
24,J.D. McKissicWAS,5.3,24.7,0.2,2.9,25.4,0.1,0.1,6.6
25,Darrel WilliamsKC,6.4,26.0,0.2,2.4,20.0,0.1,0.1,6.4
26,Melvin Gordon IIIDEN,7.3,32.5,0.3,1.1,8.9,0.1,0.1,6.3
27,Ty JohnsonNYJ,7.3,27.1,0.1,2.4,20.5,0.1,0.1,6.0
28,Matt BreidaBUF,6.7,29.1,0.1,1.5,13.0,0.1,0.1,5.2
29,Latavius MurrayBAL,8.1,31.8,0.2,1.0,6.8,0.0,0.1,5.1
30,Austin WalterNYJ,7.8,25.0,0.2,1.2,10.7,0.1,0.1,5.1
31,Mike DavisATL,6.3,22.9,0.1,2.5,17.0,0.1,0.0,5.1
32,David JohnsonHOU,5.6,19.1,0.1,2.4,21.3,0.1,0.1,5.0
33,Jermar JeffersonDET,5.9,24.0,0.2,1.3,10.4,0.1,0.1,4.9
34,Jeff Wilson Jr.SF,7.0,27.3,0.2,1.0,9.5,0.1,0.1,4.9
35,JaMycal HastySF,5.4,19.6,0.1,1.8,16.4,0.0,0.1,4.5
36,Alex CollinsSEA,8.8,34.7,0.1,0.7,5.6,0.0,0.0,4.3
37,Nyheim HinesIND,3.6,15.6,0.1,2.2,18.1,0.1,0.0,4.3
38,Mike BooneDEN,6.4,26.2,0.2,0.7,5.8,0.0,0.0,4.3
39,DeeJay DallasSEA,4.8,17.4,0.1,1.7,13.5,0.0,0.0,4.1
40,Zack MossBUF,6.0,19.6,0.2,0.9,8.3,0.1,0.1,3.9
41,Rashaad PennySEA,6.0,24.7,0.2,0.4,4.1,0.0,0.0,3.8
42,Brandon BoldenNE,2.1,8.8,0.0,2.8,23.0,0.1,0.0,3.7
43,Salvon AhmedMIA,5.8,20.7,0.1,0.7,5.8,0.0,0.0,3.5
44,Kenneth GainwellPHI,2.1,10.2,0.1,1.7,15.7,0.1,0.0,3.4
45,Devontae BookerNYG,5.2,21.5,0.1,1.0,7.0,0.0,0.1,3.4
46,Samaje PerineCIN,4.3,16.9,0.1,1.2,9.4,0.0,0.0,3.4
47,Qadree OllisonATL,4.2,14.9,0.1,0.8,7.0,0.1,0.0,3.3
48,Godwin IgwebuikeDET,4.7,18.4,0.1,0.8,6.9,0.0,0.0,3.3
49,Eno BenjaminARI,4.5,18.1,0.1,0.7,5.6,0.0,0.0,3.2
50,Peyton BarberLV,4.6,19.1,0.1,0.5,3.5,0.0,0.0,3.1
51,Kene NwangwuMIN,4.2,16.6,0.1,0.7,6.0,0.0,0.0,3.1
52,Kyle JuszczykSF,0.7,2.0,0.0,2.0,20.9,0.1,0.0,2.9
