rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,T.Y. Hilton,9.0,9.0,223.0,24.8,49.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,28.3,28.3,16.8,IND,WR,6,2014
3.0,DeSean Jackson,3.0,5.0,115.0,38.3,64.0,2.0,1.0,1.0,5.0,0.0,0.0,1.0,18.0,18.0,4.4,WAS,WR,6,2014
4.0,Larry Fitzgerald,6.0,6.0,98.0,16.3,24.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,15.8,15.8,0.3,ARI,WR,6,2014
5.0,Robert Woods,7.0,10.0,78.0,11.1,35.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.8,15.8,29.9,BUF,WR,6,2014
6.0,Alshon Jeffery,5.0,7.0,136.0,27.2,74.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,13.6,13.6,0.1,CHI,WR,6,2014
7.0,Jarvis Landry,6.0,8.0,75.0,12.5,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.5,13.5,72.5,MIA,WR,6,2014
8.0,Chris Hogan,5.0,6.0,72.0,14.4,24.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.2,13.2,0.0,BUF,WR,6,2014
9.0,Randall Cobb,5.0,7.0,58.0,11.6,28.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,11.9,11.9,7.6,GB,WR,6,2014
10.0,Antonio Brown,7.0,10.0,118.0,16.9,23.0,2.0,0.0,1.0,-2.0,0.0,0.0,1.0,11.6,11.6,84.1,PIT,WR,6,2014
11.0,Mike Evans,4.0,8.0,55.0,13.8,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.5,11.5,97.8,TB,WR,6,2014
12.0,Julian Edelman,9.0,12.0,91.0,10.1,20.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,10.1,10.1,13.1,NE,WR,6,2014
13.0,Davante Adams,6.0,8.0,77.0,12.8,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,7.7,100.0,GB,WR,6,2014
14.0,Julio Jones,4.0,12.0,68.0,17.0,29.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.9,6.9,60.7,ATL,WR,6,2014
16.0,Dez Bryant,4.0,10.0,63.0,15.8,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,2.6,DAL,WR,6,2014
17.0,Jordan Matthews,4.0,6.0,50.0,12.5,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,PHI,WR,6,2014
18.0,Golden Tate,7.0,12.0,44.0,6.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.4,0.1,DET,WR,6,2014
19.0,John Brown,4.0,6.0,43.0,10.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,4.3,1.3,ARI,WR,6,2014
20.0,Emmanuel Sanders,3.0,6.0,38.0,12.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,46.6,DEN,WR,6,2014
21.0,Andre Roberts,5.0,9.0,55.0,11.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,3.5,0.1,WAS,WR,6,2014
