,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
68,Olamide ZaccheausATL,2.0,26.3,0.1,0.0,0.1,0.0,0.0,3.3
69,Randall CobbGB,2.1,24.5,0.1,0.1,0.3,0.0,0.0,3.3
70,Zay JonesLV,1.9,23.4,0.1,0.0,0.1,0.0,0.0,3.2
71,Jalen GuytonLAC,1.8,23.7,0.1,0.4,2.1,0.0,0.0,3.2
72,Ashton DulinIND,1.9,20.5,0.1,0.1,0.0,0.0,0.0,2.9
73,Demarcus RobinsonKC,1.5,19.5,0.1,0.0,0.0,0.0,0.0,2.8
74,Devin DuvernayBAL,1.6,19.5,0.1,0.3,1.9,0.0,0.0,2.7
75,Chris ConleyHOU,1.4,20.4,0.1,0.0,0.0,0.0,0.0,2.7
76,Byron PringleKC,1.6,20.2,0.1,0.0,0.0,0.0,0.0,2.7
77,Kenny StillsNO,1.2,17.2,0.1,0.2,0.6,0.0,0.0,2.6
78,Marcus JohnsonTEN,1.5,19.7,0.1,0.1,0.6,0.0,0.0,2.6
79,Nick Westbrook-IkhineTEN,1.6,17.5,0.1,0.0,0.0,0.0,0.0,2.5
80,Chester RogersTEN,1.6,19.3,0.1,0.1,0.6,0.0,0.0,2.5
81,Marquise GoodwinCHI,1.3,18.9,0.1,0.1,0.5,0.0,0.0,2.4
82,Isaiah FordMIA,1.5,17.7,0.1,0.0,0.0,0.0,0.0,2.3
83,Kendall HintonDEN,1.3,15.2,0.1,0.1,0.2,0.0,0.0,2.3
84,Mohamed Sanu Sr.SF,1.5,16.4,0.1,0.0,0.1,0.0,0.0,2.2
85,Chris MooreHOU,1.3,16.2,0.1,0.0,0.0,0.0,0.0,2.1
86,Albert WilsonMIA,1.5,15.5,0.1,0.1,0.5,0.0,0.0,2.1
87,Josh GordonKC,0.9,13.9,0.1,0.0,0.0,0.0,0.0,1.9
88,Tavon AustinJAC,1.5,13.8,0.1,0.1,0.8,0.0,0.0,1.9
89,Anthony SchwartzCLE,1.0,13.1,0.1,0.2,1.2,0.0,0.0,1.9
90,Ray-Ray McCloudPIT,1.2,11.9,0.1,0.3,1.2,0.0,0.0,1.7
91,Trent SherfieldSF,1.0,13.8,0.1,0.0,0.0,0.0,0.0,1.7
92,Noah BrownDAL,1.0,12.5,0.1,0.0,0.0,0.0,0.0,1.7
93,James Proche IIBAL,0.9,11.7,0.1,0.0,0.0,0.0,0.0,1.7
94,Lil'Jordan HumphreyNO,0.6,10.0,0.1,0.0,0.1,0.0,0.0,1.6
95,Collin JohnsonNYG,1.0,12.5,0.1,0.0,0.0,0.0,0.0,1.6
96,Andy IsabellaARI,1.0,11.8,0.1,0.0,0.0,0.0,0.0,1.5
97,Joshua PalmerLAC,1.1,12.3,0.1,0.0,0.0,0.0,0.0,1.5
98,Ben SkowronekLAR,0.8,10.3,0.1,0.0,0.1,0.0,0.0,1.5
