,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Cooper KuppLAR,8.1,106.0,0.8,0.3,1.6,0.0,0.0,15.5
1,Justin JeffersonMIN,6.9,95.9,0.7,0.3,1.3,0.0,0.0,14.1
2,Tyreek HillKC,6.4,81.9,0.7,0.6,3.4,0.0,0.0,12.5
3,Deebo SamuelSF,5.1,75.2,0.3,3.6,22.2,0.2,0.1,12.5
4,A.J. BrownTEN,5.8,82.9,0.7,0.0,0.4,0.0,0.0,12.3
5,Stefon DiggsBUF,6.1,79.1,0.7,0.0,0.0,0.0,0.0,12.1
6,Brandin CooksHOU,6.7,81.5,0.5,0.1,0.5,0.0,0.0,11.3
7,Mike EvansTB,5.6,74.3,0.6,0.0,0.1,0.0,0.0,11.2
8,Diontae JohnsonPIT,6.6,76.7,0.5,0.4,2.1,0.0,0.1,11.1
9,Christian KirkARI,5.9,73.4,0.5,0.0,0.3,0.0,0.0,10.5
10,Keenan AllenLAC,6.2,69.8,0.6,0.0,0.1,0.0,0.0,10.4
11,Davante AdamsGB,5.4,68.3,0.6,0.0,0.0,0.0,0.0,10.3
12,Tyler LockettSEA,5.1,69.4,0.5,0.0,0.1,0.0,0.0,10.2
13,Michael Pittman Jr.IND,5.2,66.1,0.5,0.4,2.2,0.0,0.0,9.9
14,Amon-Ra St. BrownDET,6.1,64.8,0.5,0.7,3.4,0.0,0.0,9.9
15,Hunter RenfrowLV,6.0,67.8,0.5,0.1,0.6,0.0,0.1,9.9
16,D.K. MetcalfSEA,4.6,62.9,0.6,0.0,0.1,0.0,0.0,9.8
17,Jaylen WaddleMIA,6.2,65.2,0.5,0.1,0.5,0.0,0.1,9.3
18,Mike WilliamsLAC,4.4,61.4,0.5,0.0,0.0,0.0,0.0,9.2
19,Terry McLaurinWAS,5.0,63.7,0.5,0.0,0.1,0.0,0.0,9.1
20,Darnell MooneyCHI,4.6,59.4,0.4,0.4,2.4,0.0,0.0,8.9
21,DJ MooreCAR,5.5,70.8,0.2,0.4,2.0,0.0,0.0,8.5
22,Jarvis LandryCLE,4.8,55.0,0.4,0.4,2.5,0.0,0.1,8.3
23,CeeDee LambDAL,4.1,54.5,0.4,0.2,1.3,0.0,0.0,8.2
24,Amari CooperDAL,4.1,52.2,0.5,0.0,0.4,0.0,0.0,8.2
25,Ja'Marr ChaseCIN,4.3,62.9,0.3,0.3,2.1,0.0,0.0,8.2
26,Odell Beckham Jr.LAR,3.6,48.6,0.5,0.1,0.4,0.0,0.0,7.8
27,K.J. OsbornMIN,3.9,49.1,0.5,0.0,0.0,0.0,0.0,7.7
28,Cole BeasleyBUF,4.3,47.7,0.5,0.0,0.0,0.0,0.0,7.5
29,Marquise BrownBAL,5.3,59.6,0.3,0.0,0.1,0.0,0.1,7.4
30,Jamison CrowderNYJ,4.5,47.9,0.4,0.0,0.0,0.0,0.0,7.4
31,Chase ClaypoolPIT,3.9,54.8,0.2,0.9,4.4,0.0,0.0,7.2
32,Tyler BoydCIN,4.3,50.8,0.4,0.1,0.6,0.0,0.0,7.2
33,Russell GageATL,5.2,59.0,0.2,0.0,0.1,0.0,0.0,6.9
34,A.J. GreenARI,3.9,56.8,0.2,0.0,0.0,0.0,0.0,6.9
35,Brandon AiyukSF,4.1,53.8,0.2,0.1,0.8,0.0,0.0,6.8
36,Jakobi MeyersNE,5.1,55.7,0.2,0.0,0.1,0.0,0.0,6.6
37,Marvin Jones Jr.JAC,4.4,53.8,0.2,0.0,0.0,0.0,0.0,6.5
38,Kenny GolladayNYG,3.6,53.4,0.2,0.0,0.0,0.0,0.0,6.4
39,Allen LazardGB,3.6,46.4,0.3,0.1,0.9,0.0,0.0,6.3
40,DeVante ParkerMIA,4.1,51.3,0.2,0.0,0.0,0.0,0.0,6.1
41,Gabriel DavisBUF,3.1,44.0,0.3,0.0,0.0,0.0,0.0,6.0
42,DeVonta SmithPHI,3.4,47.8,0.2,0.0,0.0,0.0,0.0,6.0
43,Marquez Valdes-ScantlingGB,3.0,46.3,0.2,0.1,0.4,0.0,0.0,6.0
44,Marquez CallawayNO,3.5,48.2,0.2,0.0,0.0,0.0,0.0,6.0
45,Robby AndersonCAR,4.1,47.1,0.2,0.4,1.7,0.0,0.0,5.9
46,Courtland SuttonDEN,3.7,49.6,0.2,0.0,0.0,0.0,0.0,5.9
47,Zay JonesLV,3.8,45.5,0.2,0.0,0.4,0.0,0.0,5.8
48,Jerry JeudyDEN,3.8,49.6,0.1,0.0,0.0,0.0,0.0,5.8
49,Van JeffersonLAR,3.2,41.8,0.2,0.1,0.4,0.0,0.0,5.6
50,Donovan Peoples-JonesCLE,3.2,43.7,0.2,0.0,0.0,0.0,0.0,5.6
51,Cedrick Wilson Jr.DAL,3.5,42.0,0.2,0.0,0.2,0.0,0.0,5.6
52,Laquon TreadwellJAC,3.9,47.4,0.1,0.0,0.1,0.0,0.0,5.6
53,Josh ReynoldsDET,3.5,44.0,0.2,0.0,0.0,0.0,0.0,5.5
54,Cyril Grayson Jr.TB,3.7,44.8,0.2,0.1,0.2,0.0,0.0,5.5
55,Allen Robinson IICHI,3.5,43.2,0.2,0.0,0.0,0.0,0.0,5.5
56,Kendrick BourneNE,2.9,38.5,0.2,0.5,2.9,0.0,0.0,5.4
57,T.Y. HiltonIND,2.8,37.4,0.2,0.0,0.0,0.0,0.0,5.1
58,Julio JonesTEN,2.9,40.5,0.2,0.0,0.0,0.0,0.0,5.0
59,Nelson AgholorNE,2.9,37.2,0.2,0.1,0.5,0.0,0.0,4.9
60,Quez WatkinsPHI,2.9,39.6,0.2,0.0,0.0,0.0,0.0,4.9
61,Nico CollinsHOU,3.4,39.6,0.2,0.0,0.1,0.0,0.0,4.9
62,Rashod BatemanBAL,3.5,40.8,0.1,0.0,0.0,0.0,0.0,4.9
63,Laviska Shenault Jr.JAC,3.6,35.7,0.1,0.7,4.2,0.0,0.0,4.8
64,Tim PatrickDEN,3.1,38.9,0.1,0.0,0.0,0.0,0.0,4.7
65,Keelan Cole Sr.NYJ,3.0,40.0,0.1,0.0,0.0,0.0,0.0,4.6
66,Darius SlaytonNYG,2.8,38.3,0.1,0.0,0.0,0.0,0.0,4.6
67,Byron PringleKC,2.7,34.9,0.2,0.0,0.0,0.0,0.0,4.6
68,Antoine WesleyARI,2.7,33.3,0.2,0.0,0.0,0.0,0.0,4.3
69,Deonte HartyNO,2.4,31.6,0.1,0.2,1.7,0.0,0.0,4.2
70,Tre'Quan SmithNO,2.5,32.5,0.1,0.0,0.1,0.0,0.0,4.1
71,Jalen ReagorPHI,2.7,32.0,0.1,0.2,1.3,0.0,0.0,4.1
72,Tarik BlackNYJ,3.2,33.0,0.1,0.0,0.0,0.0,0.0,3.9
73,Zach PascalIND,2.0,26.2,0.2,0.1,0.8,0.0,0.0,3.8
74,David Sills VNYG,2.7,29.1,0.1,0.0,0.0,0.0,0.0,3.8
75,Olamide ZaccheausATL,2.3,30.6,0.1,0.0,0.0,0.0,0.0,3.8
76,Kalif RaymondDET,2.3,28.6,0.1,0.0,0.0,0.0,0.0,3.7
77,Adam HumphriesWAS,2.8,29.2,0.1,0.0,0.1,0.0,0.0,3.6
78,Tavon AustinJAC,2.8,31.9,0.1,0.0,0.0,0.0,0.0,3.6
79,Tyler JohnsonTB,2.5,29.3,0.1,0.0,0.1,0.0,0.0,3.5
80,Ray-Ray McCloudPIT,3.1,29.0,0.1,0.1,0.6,0.0,0.0,3.5
81,Breshad PerrimanTB,1.9,27.4,0.1,0.1,0.4,0.0,0.0,3.5
82,Rashard HigginsCLE,2.1,26.5,0.1,0.0,0.0,0.0,0.0,3.5
83,Mecole HardmanKC,1.7,21.1,0.1,0.4,2.9,0.0,0.0,3.3
84,Jalen GuytonLAC,1.7,22.6,0.1,0.2,1.4,0.0,0.0,3.2
85,Bryan EdwardsLV,1.7,23.8,0.1,0.0,0.0,0.0,0.0,3.1
86,Jeff SmithNYJ,2.1,25.0,0.1,0.0,0.1,0.0,0.0,3.1
87,Joshua PalmerLAC,1.9,22.7,0.1,0.0,0.1,0.0,0.0,3.1
88,Denzel MimsNYJ,2.0,25.3,0.1,0.0,0.0,0.0,0.0,2.9
89,Nick Westbrook-IkhineTEN,1.9,21.8,0.1,0.0,0.0,0.0,0.0,2.9
90,DeAndre CarterWAS,1.7,19.4,0.1,0.7,3.9,0.0,0.0,2.9
91,Isaiah McKenzieBUF,1.5,16.2,0.1,0.7,4.0,0.0,0.0,2.9
92,Danny AmendolaHOU,2.3,23.2,0.1,0.0,0.0,0.0,0.0,2.8
93,Cam SimsWAS,1.6,20.6,0.1,0.0,0.0,0.0,0.0,2.7
94,Greg WardPHI,1.8,19.8,0.1,0.0,0.0,0.0,0.0,2.7
95,DeSean JacksonLV,1.3,21.1,0.1,0.0,0.2,0.0,0.0,2.7
96,Jauan JenningsSF,1.8,21.8,0.1,0.0,0.0,0.0,0.0,2.7
97,Damiere ByrdCHI,1.7,21.9,0.1,0.0,0.0,0.0,0.0,2.7
98,Malik TurnerDAL,1.6,19.3,0.1,0.0,0.0,0.0,0.0,2.7
99,Devin DuvernayBAL,1.8,19.9,0.1,0.3,2.2,0.0,0.0,2.7
100,Equanimeous St. BrownGB,1.5,19.0,0.1,0.1,0.7,0.0,0.0,2.6
101,Noah BrownDAL,1.8,19.7,0.1,0.0,0.0,0.0,0.0,2.6
102,Tajae SharpeATL,1.8,21.0,0.1,0.0,0.0,0.0,0.0,2.6
103,Parris CampbellIND,1.6,17.3,0.1,0.0,0.0,0.0,0.0,2.6
104,Juwann WinfreeGB,1.6,18.3,0.1,0.0,0.0,0.0,0.0,2.5
105,Dazz NewsomeCHI,1.7,19.0,0.1,0.0,0.0,0.0,0.0,2.5
106,Shi SmithCAR,1.5,18.7,0.1,0.0,0.5,0.0,0.0,2.4
107,Terry GodwinJAC,1.7,19.5,0.1,0.0,0.0,0.0,0.0,2.4
108,Brandon ZylstraCAR,1.6,19.6,0.1,0.0,0.0,0.0,0.0,2.4
109,Albert WilsonMIA,1.7,18.3,0.0,0.3,2.2,0.0,0.0,2.4
110,Sammy WatkinsBAL,1.5,18.7,0.1,0.0,0.0,0.0,0.0,2.4
111,Freddie SwainSEA,1.5,17.5,0.1,0.1,0.4,0.0,0.0,2.3
112,Cordarrelle PattersonATL,2.0,23.0,0.0,0.0,0.0,0.0,0.0,2.3
113,Demarcus RobinsonKC,1.3,16.3,0.1,0.0,0.0,0.0,0.0,2.3
114,D'Wayne EskridgeSEA,1.3,14.6,0.1,0.3,1.6,0.0,0.0,2.2
115,Marquise GoodwinCHI,1.2,16.8,0.1,0.0,0.1,0.0,0.0,2.2
116,Trent TaylorCIN,1.7,17.9,0.1,0.0,0.0,0.0,0.0,2.1
117,Chester RogersTEN,1.5,16.2,0.1,0.0,0.1,0.0,0.0,2.1
118,Trenton IrwinCIN,1.4,16.5,0.1,0.0,0.0,0.0,0.0,2.0
119,Amari RodgersGB,1.1,13.4,0.1,0.1,0.5,0.0,0.0,1.9
120,Dede WestbrookMIN,1.4,13.9,0.1,0.0,0.0,0.0,0.0,1.9
121,Jalen CampHOU,1.4,13.0,0.1,0.0,0.0,0.0,0.0,1.9
122,Lil'Jordan HumphreyNO,1.1,14.6,0.1,0.0,0.0,0.0,0.0,1.9
123,N'Keal HarryNE,1.1,12.7,0.1,0.1,0.0,0.0,0.0,1.8
124,Mack HollinsMIA,1.1,15.4,0.0,0.0,0.0,0.0,0.0,1.8
125,KhaDarel HodgeDET,1.0,13.4,0.1,0.0,0.0,0.0,0.0,1.8
126,Collin JohnsonNYG,1.2,13.9,0.1,0.0,0.0,0.0,0.0,1.7
127,Alex BachmanNYG,1.1,13.9,0.1,0.0,0.0,0.0,0.0,1.7
128,Seth WilliamsDEN,1.0,11.4,0.1,0.0,0.2,0.0,0.0,1.7
129,Josh GordonKC,0.9,13.3,0.1,0.0,0.0,0.0,0.0,1.7
130,Ben SkowronekLAR,1.1,12.6,0.1,0.0,0.1,0.0,0.0,1.6
131,Mike ThomasCIN,1.2,13.1,0.1,0.0,0.0,0.0,0.0,1.6
132,Chris MooreHOU,1.2,13.3,0.0,0.0,0.0,0.0,0.0,1.6
133,Kendall HintonDEN,0.7,8.4,0.1,0.3,2.5,0.0,0.0,1.6
134,Ihmir Smith-MarsetteMIN,0.9,11.1,0.1,0.0,0.0,0.0,0.0,1.5
135,J.J. Arcega-WhitesidePHI,0.9,12.5,0.0,0.0,0.0,0.0,0.0,1.5
136,Kristian WilkersonNE,0.9,10.5,0.1,0.0,0.0,0.0,0.0,1.5
137,Stanley Morgan Jr.CIN,1.0,11.5,0.1,0.0,0.0,0.0,0.0,1.5
138,Isaiah FordMIA,1.0,11.1,0.0,0.0,0.0,0.0,0.0,1.4
139,Dyami BrownWAS,0.8,10.4,0.1,0.0,0.0,0.0,0.0,1.4
140,D.J. MontgomeryNYJ,0.9,10.7,0.0,0.0,0.0,0.0,0.0,1.3
141,Scotty MillerTB,0.7,9.1,0.0,0.1,0.8,0.0,0.0,1.3
142,Ashton DulinIND,0.7,8.2,0.0,0.1,0.8,0.0,0.0,1.2
143,Anthony SchwartzCLE,0.5,6.3,0.0,0.3,1.7,0.0,0.0,1.1
144,Ty MontgomeryNO,0.8,7.0,0.0,0.9,3.0,0.0,0.0,1.0
145,Frank DarbyATL,0.6,6.7,0.1,0.0,0.1,0.0,0.0,1.0
146,Trent SherfieldSF,0.6,7.5,0.0,0.0,0.0,0.0,0.0,1.0
147,Andy IsabellaARI,0.6,7.6,0.0,0.0,0.0,0.0,0.0,1.0
148,Christian BlakeATL,0.7,7.3,0.0,0.0,0.0,0.0,0.0,0.9
149,Chris ConleyHOU,0.5,9.0,0.0,0.0,0.0,0.0,0.0,0.9
150,Greg DortchARI,0.6,7.5,0.0,0.0,0.0,0.0,0.0,0.9
151,Tom KennedyDET,0.5,6.5,0.0,0.0,0.1,0.0,0.0,0.9
152,Jaelon DardenTB,0.8,8.0,0.0,0.0,0.0,0.0,0.0,0.8
153,Dax MilneWAS,0.4,5.1,0.0,0.0,0.6,0.0,0.0,0.7
154,Gunner OlszewskiNE,0.3,3.5,0.0,0.3,1.5,0.0,0.0,0.7
155,John HightowerPHI,0.2,3.6,0.0,0.0,0.7,0.0,0.0,0.6
156,Kenny StillsNO,0.4,5.3,0.0,0.0,0.1,0.0,0.0,0.6
157,Racey McMathTEN,0.4,4.4,0.0,0.0,0.0,0.0,0.0,0.5
158,Ja'Marcus BradleyCLE,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.5
159,C.J. SaundersCAR,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.4
160,Penny HartSEA,0.2,2.6,0.0,0.0,0.1,0.0,0.0,0.4
161,Dan ChisenaMIN,0.1,2.6,0.0,0.0,0.1,0.0,0.0,0.3
162,Josh HammondJAC,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3
163,Simi FehokoDAL,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3
164,Tylan WallaceBAL,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3
165,Austin TrammellATL,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.3
166,Preston WilliamsMIA,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3
167,Andre RobertsLAC,0.1,1.3,0.0,0.0,1.0,0.0,0.0,0.3
168,Matthew SlaterNE,0.1,1.9,0.0,0.0,0.0,0.0,0.0,0.3
169,Alex EricksonCAR,0.1,1.7,0.0,0.0,0.1,0.0,0.0,0.2
170,Marquez StevensonBUF,0.1,1.8,0.0,0.0,0.1,0.0,0.0,0.2
171,Brandon PowellLAR,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.1
