,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Tyreek HillKC,6.5,93.8,0.8,0.8,4.6,0.0,0.1,14.6
1,Davante AdamsGB,7.5,93.5,0.8,0.0,0.0,0.0,0.1,14.1
2,Calvin RidleyATL,6.0,89.0,0.7,0.3,1.5,0.0,0.1,13.1
3,Stefon DiggsBUF,6.6,85.9,0.7,0.1,0.7,0.0,0.1,12.8
4,DeAndre HopkinsARI,7.3,87.6,0.6,0.0,0.2,0.0,0.1,12.5
5,D.K. MetcalfSEA,5.4,83.8,0.7,0.0,0.2,0.0,0.0,12.4
6,A.J. BrownTEN,5.3,77.8,0.8,0.1,0.8,0.0,0.0,12.4
7,Justin JeffersonMIN,5.7,86.0,0.5,0.1,0.2,0.0,0.1,11.5
8,Adam ThielenMIN,5.3,69.1,0.7,0.2,0.9,0.0,0.0,11.2
9,Terry McLaurinWAS,5.8,78.3,0.6,0.2,0.8,0.0,0.0,11.2
10,Tyler LockettSEA,6.0,71.9,0.6,0.1,0.3,0.0,0.0,11.0
11,Mike EvansTB,4.7,69.0,0.7,0.0,0.0,0.0,0.0,11.0
12,Amari CooperDAL,5.7,72.5,0.6,0.2,0.8,0.0,0.1,10.8
13,Tee HigginsCIN,5.3,72.1,0.6,0.1,0.8,0.0,0.1,10.6
14,Julio JonesTEN,5.0,70.3,0.6,0.0,0.0,0.0,0.0,10.6
15,CeeDee LambDAL,5.6,69.9,0.5,0.5,2.8,0.0,0.1,10.5
16,DJ MooreCAR,5.0,71.9,0.5,0.2,1.3,0.0,0.0,10.5
17,Chris GodwinTB,5.1,67.6,0.6,0.0,0.2,0.0,0.0,10.4
18,Deebo SamuelSF,4.7,64.1,0.5,1.0,8.1,0.0,0.1,10.3
19,Cooper KuppLAR,5.6,66.5,0.6,0.2,1.1,0.0,0.1,10.3
20,Keenan AllenLAC,6.5,68.8,0.6,0.2,0.9,0.0,0.1,10.2
21,Robert WoodsLAR,5.4,61.8,0.5,1.1,6.3,0.0,0.1,10.1
22,Marvin Jones Jr.JAC,4.3,60.1,0.6,0.0,0.0,0.0,0.0,9.6
23,Laviska Shenault Jr.JAC,4.9,55.8,0.5,1.4,7.5,0.0,0.1,9.6
24,Diontae JohnsonPIT,5.9,63.1,0.5,0.2,1.2,0.0,0.1,9.6
25,Robby AndersonCAR,5.0,61.6,0.5,0.2,1.1,0.0,0.0,9.3
26,Brandin CooksHOU,4.9,67.4,0.4,0.1,0.3,0.0,0.0,9.0
27,Brandon AiyukSF,4.7,64.6,0.3,0.8,4.7,0.0,0.0,8.8
28,Allen Robinson IICHI,5.6,65.1,0.4,0.0,0.0,0.0,0.1,8.7
29,JuJu Smith-SchusterPIT,5.3,55.8,0.5,0.0,0.0,0.0,0.0,8.6
30,Kenny GolladayNYG,4.1,60.6,0.4,0.0,0.0,0.0,0.0,8.5
31,Tyler BoydCIN,5.3,61.6,0.4,0.2,1.5,0.0,0.1,8.5
32,Marquise BrownBAL,4.2,55.2,0.5,0.1,0.9,0.0,0.0,8.4
33,Michael Pittman Jr.IND,4.4,55.3,0.4,0.2,1.2,0.0,0.0,8.3
34,Jakobi MeyersNE,4.6,59.0,0.4,0.1,0.2,0.0,0.0,8.3
35,Corey DavisNYJ,5.0,63.3,0.3,0.0,0.3,0.0,0.0,8.3
36,Jerry JeudyDEN,4.6,62.5,0.3,0.0,0.0,0.0,0.0,8.3
37,D.J. Chark Jr.JAC,4.3,58.1,0.4,0.0,0.3,0.0,0.0,8.3
38,DeVonta SmithPHI,4.2,59.7,0.4,0.1,0.7,0.0,0.0,8.1
39,DeVante ParkerMIA,4.7,59.8,0.4,0.0,0.0,0.0,0.0,8.1
40,Jarvis LandryCLE,5.2,61.7,0.3,0.2,1.0,0.0,0.0,7.8
41,Mecole HardmanKC,3.7,51.8,0.4,0.3,2.5,0.0,0.0,7.7
42,Marquez CallawayNO,4.3,56.1,0.3,0.1,0.7,0.0,0.0,7.6
43,Courtland SuttonDEN,4.2,60.0,0.2,0.1,0.6,0.0,0.0,7.4
44,Sterling ShepardNYG,4.9,51.3,0.3,0.3,2.2,0.0,0.0,7.3
45,Chase ClaypoolPIT,4.3,55.2,0.2,0.5,2.3,0.0,0.0,7.2
46,Mike WilliamsLAC,3.4,51.7,0.3,0.0,0.1,0.0,0.0,7.1
47,Ja'Marr ChaseCIN,4.2,56.8,0.2,0.1,0.5,0.0,0.0,7.0
48,Michael GallupDAL,3.8,56.5,0.2,0.0,0.0,0.0,0.0,6.8
49,Emmanuel SandersBUF,3.7,44.5,0.3,0.1,0.4,0.0,0.0,6.6
50,Jaylen WaddleMIA,3.9,54.2,0.2,0.2,1.4,0.0,0.1,6.6
51,Russell GageATL,4.6,51.1,0.2,0.1,0.5,0.0,0.0,6.4
52,Elijah MooreNYJ,4.3,52.0,0.2,0.1,0.7,0.0,0.0,6.3
53,Cole BeasleyBUF,4.1,48.0,0.2,0.0,0.0,0.0,0.0,6.1
54,Nelson AgholorNE,3.4,48.2,0.2,0.0,0.4,0.0,0.0,6.0
55,Randall CobbGB,3.2,38.1,0.3,0.1,0.3,0.0,0.0,5.8
56,Darnell MooneyCHI,4.3,46.5,0.2,0.2,1.0,0.0,0.0,5.7
57,Jalen ReagorPHI,3.3,46.6,0.2,0.2,1.1,0.0,0.0,5.7
58,Christian KirkARI,3.5,40.9,0.2,0.3,1.8,0.0,0.0,5.5
59,DeSean JacksonLV,2.8,41.3,0.2,0.2,1.2,0.0,0.0,5.4
60,Terrace Marshall Jr.CAR,3.3,42.7,0.2,0.0,0.3,0.0,0.0,5.3
61,A.J. GreenARI,3.4,41.6,0.2,0.0,0.0,0.0,0.0,5.2
62,Parris CampbellIND,3.4,41.1,0.1,0.2,1.7,0.0,0.0,5.1
63,Sammy WatkinsBAL,3.1,41.0,0.2,0.1,0.6,0.0,0.0,5.0
64,Zach PascalIND,2.8,38.0,0.2,0.0,0.1,0.0,0.0,5.0
65,Darius SlaytonNYG,2.8,38.1,0.2,0.1,0.1,0.0,0.0,4.8
66,Chris ConleyHOU,2.8,37.3,0.2,0.0,0.2,0.0,0.0,4.7
67,Gabriel DavisBUF,2.4,37.0,0.2,0.0,0.1,0.0,0.0,4.7
68,Rondale MooreARI,3.1,37.2,0.1,0.5,2.9,0.0,0.1,4.7
69,Adam HumphriesWAS,3.3,35.7,0.1,0.0,0.1,0.0,0.0,4.5
70,Marquez Valdes-ScantlingGB,2.0,34.5,0.2,0.1,0.7,0.0,0.0,4.4
71,Hunter RenfrowLV,3.4,36.7,0.1,0.0,0.0,0.0,0.0,4.4
72,Amon-Ra St. BrownDET,3.2,36.8,0.1,0.0,0.1,0.0,0.0,4.4
73,Deonte HartyNO,2.8,33.2,0.1,0.2,2.0,0.0,0.0,4.3
74,Nico CollinsHOU,2.6,33.5,0.2,0.0,0.2,0.0,0.0,4.2
75,Bryan EdwardsLV,2.7,34.9,0.1,0.0,0.1,0.0,0.0,4.2
76,Cordarrelle PattersonATL,1.3,12.4,0.1,4.8,18.5,0.1,0.1,4.1
77,Kendrick BourneNE,2.5,31.7,0.1,0.0,0.0,0.0,0.0,4.0
78,Josh ReynoldsDET,2.8,33.4,0.1,0.0,0.0,0.0,0.0,4.0
79,Denzel MimsNYJ,2.6,32.1,0.1,0.0,0.0,0.0,0.0,3.9
80,Allen LazardGB,2.3,30.4,0.1,0.1,0.8,0.0,0.0,3.9
81,Quintez CephusDET,2.4,31.5,0.1,0.0,0.0,0.0,0.0,3.8
82,KJ HamlerDEN,2.1,26.3,0.1,0.7,3.4,0.0,0.0,3.5
83,Rashard HigginsCLE,1.8,27.0,0.1,0.0,0.0,0.0,0.0,3.5
84,Donovan Peoples-JonesCLE,2.0,28.5,0.1,0.0,0.1,0.0,0.0,3.5
85,Albert WilsonMIA,2.2,25.4,0.1,0.2,1.3,0.0,0.0,3.4
86,Tim PatrickDEN,2.0,25.9,0.1,0.0,0.0,0.0,0.0,3.3
87,Demarcus RobinsonKC,2.0,24.7,0.1,0.0,0.0,0.0,0.0,3.2
88,Dyami BrownWAS,1.8,26.4,0.1,0.0,0.1,0.0,0.0,3.2
89,Quez WatkinsPHI,1.9,25.3,0.1,0.0,0.1,0.0,0.0,3.1
90,Damiere ByrdCHI,2.4,26.3,0.1,0.1,0.3,0.0,0.0,3.1
91,Olamide ZaccheausATL,1.7,23.6,0.1,0.0,0.1,0.0,0.0,3.1
92,Travis FulghamDEN,1.7,23.3,0.1,0.0,0.0,0.0,0.0,3.0
93,D'Wayne EskridgeSEA,2.0,23.2,0.1,0.1,0.4,0.0,0.0,3.0
94,Lil'Jordan HumphreyNO,1.8,23.4,0.1,0.1,0.9,0.0,0.0,3.0
95,Van JeffersonLAR,1.8,21.6,0.1,0.1,0.2,0.0,0.0,3.0
96,Danny AmendolaHOU,1.9,22.7,0.1,0.0,0.2,0.0,0.0,3.0
97,Jalen GuytonLAC,1.6,23.7,0.1,0.1,0.4,0.0,0.0,2.9
98,James WashingtonPIT,1.7,21.9,0.1,0.0,0.0,0.0,0.0,2.8
99,Mohamed Sanu Sr.SF,1.8,20.8,0.1,0.1,0.4,0.0,0.0,2.7
100,Kalif RaymondDET,1.6,20.1,0.1,0.0,0.0,0.0,0.0,2.3
101,Auden TateCIN,1.4,18.2,0.1,0.0,0.0,0.0,0.0,2.3
102,Cam SimsWAS,1.3,17.8,0.1,0.1,0.3,0.0,0.0,2.3
103,Scotty MillerTB,1.2,16.4,0.1,0.2,1.1,0.0,0.0,2.3
104,Ty MontgomeryNO,1.4,14.3,0.1,0.5,2.2,0.0,0.0,2.2
105,Juwan JohnsonNO,1.2,15.2,0.1,0.0,0.0,0.0,0.0,2.1
106,Joshua PalmerLAC,1.4,16.5,0.1,0.0,0.3,0.0,0.0,2.1
107,Freddie SwainSEA,1.3,16.3,0.1,0.0,0.0,0.0,0.0,2.1
108,Byron PringleKC,1.3,16.9,0.1,0.0,0.0,0.0,0.0,2.1
109,Braxton BerriosNYJ,1.3,13.8,0.1,0.1,0.7,0.0,0.0,2.0
110,Devin DuvernayBAL,1.2,16.2,0.1,0.1,0.8,0.0,0.0,2.0
111,Tyron JohnsonLV,0.9,14.3,0.1,0.0,0.3,0.0,0.0,2.0
112,Jakeem Grant Sr.CHI,1.3,12.9,0.1,0.5,2.2,0.0,0.0,1.9
113,Kadarius ToneyNYG,1.1,13.2,0.1,0.4,2.1,0.0,0.0,1.9
