,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Davante AdamsGB,7.6,100.4,0.8,0.0,0.0,0.0,0.1,14.9
1,Tyreek HillKC,6.4,90.4,0.7,0.9,6.2,0.0,0.1,14.3
2,Stefon DiggsBUF,6.9,92.2,0.8,0.1,0.5,0.0,0.1,14.0
3,Julio JonesTEN,6.0,86.0,0.8,0.0,0.0,0.0,0.0,13.4
4,Cooper KuppLAR,6.7,82.9,0.8,0.3,1.4,0.0,0.1,13.2
5,D.K. MetcalfSEA,5.7,87.5,0.7,0.0,0.2,0.0,0.1,12.9
6,Calvin RidleyATL,6.6,88.1,0.7,0.3,1.5,0.0,0.1,12.8
7,Deebo SamuelSF,6.0,82.4,0.6,1.2,8.2,0.1,0.1,12.7
8,Justin JeffersonMIN,5.9,87.4,0.7,0.0,0.2,0.0,0.1,12.6
9,Keenan AllenLAC,7.4,84.8,0.6,0.1,0.5,0.0,0.1,12.2
10,Tyler LockettSEA,6.0,80.1,0.7,0.1,0.3,0.0,0.1,12.2
11,CeeDee LambDAL,6.3,80.4,0.6,0.7,4.2,0.0,0.1,12.1
12,Ja'Marr ChaseCIN,5.4,76.2,0.7,0.3,1.1,0.0,0.1,11.9
13,DJ MooreCAR,6.1,86.6,0.5,0.3,1.8,0.0,0.1,11.9
14,Amari CooperDAL,5.9,77.2,0.7,0.1,0.9,0.0,0.1,11.7
15,Terry McLaurinWAS,5.9,80.1,0.6,0.1,0.5,0.0,0.1,11.5
16,Mike WilliamsLAC,5.1,73.0,0.6,0.0,0.1,0.0,0.0,11.0
17,Mike EvansTB,4.9,70.1,0.6,0.0,0.0,0.0,0.0,10.4
18,Brandin CooksHOU,6.0,79.4,0.4,0.2,1.1,0.0,0.1,10.4
19,Diontae JohnsonPIT,6.4,69.1,0.5,0.3,1.4,0.0,0.1,10.1
20,Marvin Jones Jr.JAC,5.2,68.5,0.5,0.0,0.0,0.0,0.0,10.0
21,Odell Beckham Jr.LAR,4.6,69.1,0.5,0.3,2.2,0.0,0.0,9.9
22,Courtland SuttonDEN,5.2,73.2,0.4,0.0,0.2,0.0,0.1,9.8
23,Marquise BrownBAL,4.6,61.7,0.6,0.2,1.2,0.0,0.0,9.6
24,Tyler BoydCIN,5.7,66.6,0.5,0.2,1.5,0.0,0.1,9.5
25,Kenny GolladayNYG,4.6,67.1,0.5,0.0,0.0,0.0,0.0,9.5
26,Allen Robinson IICHI,5.1,68.8,0.4,0.0,0.0,0.0,0.1,9.4
27,Jakobi MeyersNE,6.0,69.9,0.4,0.1,0.2,0.0,0.1,9.2
28,Michael Pittman Jr.IND,4.9,65.6,0.4,0.3,1.8,0.0,0.0,9.2
29,Cole BeasleyBUF,5.2,59.3,0.5,0.0,0.0,0.0,0.0,9.1
30,Cordarrelle PattersonATL,3.6,40.6,0.1,6.8,27.5,0.3,0.1,9.0
31,Chase ClaypoolPIT,4.6,63.5,0.4,0.3,1.0,0.0,0.0,8.9
32,DeVonta SmithPHI,4.4,59.8,0.5,0.1,0.5,0.0,0.0,8.8
33,Darius SlaytonNYG,3.0,50.0,0.5,0.0,0.0,0.0,0.0,8.0
34,Brandon AiyukSF,4.0,48.9,0.4,0.6,4.2,0.0,0.0,7.9
35,Robby AndersonCAR,4.4,57.9,0.3,0.1,0.8,0.0,0.0,7.8
36,Tim PatrickDEN,4.4,58.2,0.3,0.1,0.7,0.0,0.0,7.8
37,Jaylen WaddleMIA,4.7,56.1,0.3,0.1,1.1,0.0,0.1,7.3
38,DeVante ParkerMIA,4.1,55.6,0.3,0.0,0.0,0.0,0.0,7.1
39,Mecole HardmanKC,3.4,46.6,0.3,0.5,3.0,0.0,0.0,6.8
40,JuJu Smith-SchusterPIT,4.7,51.1,0.2,0.2,0.9,0.0,0.0,6.7
41,A.J. GreenARI,3.4,43.7,0.4,0.0,0.0,0.0,0.0,6.6
42,Darnell MooneyCHI,3.9,48.6,0.3,0.3,1.4,0.0,0.0,6.5
43,Hunter RenfrowLV,4.4,51.8,0.2,0.0,0.0,0.0,0.0,6.5
44,Nelson AgholorNE,3.8,49.3,0.3,0.0,0.2,0.0,0.0,6.5
45,Marquez CallawayNO,3.8,47.3,0.3,0.1,0.6,0.0,0.0,6.5
46,Laviska Shenault Jr.JAC,4.3,44.2,0.2,1.1,5.5,0.0,0.1,6.3
47,Zach PascalIND,3.2,44.4,0.3,0.0,0.1,0.0,0.0,6.2
48,Christian KirkARI,3.8,44.9,0.3,0.2,1.1,0.0,0.0,6.1
49,Jalen ReagorPHI,3.5,43.8,0.3,0.1,0.8,0.0,0.0,5.9
50,Chester RogersTEN,3.4,41.5,0.3,0.0,0.4,0.0,0.1,5.8
51,Allen LazardGB,3.1,42.0,0.3,0.1,0.7,0.0,0.0,5.8
52,Sammy WatkinsBAL,3.5,45.5,0.2,0.1,0.2,0.0,0.0,5.7
53,Olamide ZaccheausATL,3.0,39.3,0.2,0.0,0.1,0.0,0.0,5.4
54,Van JeffersonLAR,2.9,36.8,0.2,0.0,0.2,0.0,0.0,5.0
55,K.J. OsbornMIN,2.8,37.5,0.2,0.0,0.1,0.0,0.0,5.0
56,Bryan EdwardsLV,2.6,39.6,0.2,0.0,0.0,0.0,0.0,5.0
57,Nick Westbrook-IkhineTEN,2.9,36.9,0.2,0.0,0.1,0.0,0.1,4.8
58,Kalif RaymondDET,2.7,39.3,0.1,0.1,0.7,0.0,0.0,4.8
59,Jamison CrowderNYJ,2.8,32.6,0.2,0.0,0.3,0.0,0.0,4.7
60,Deonte HartyNO,2.8,34.7,0.2,0.5,2.3,0.0,0.0,4.7
61,Kendrick BourneNE,2.8,33.9,0.2,0.0,0.4,0.0,0.0,4.5
62,Anthony MillerPIT,3.2,35.9,0.1,0.0,0.2,0.0,0.0,4.4
63,Randall CobbGB,2.6,31.1,0.2,0.2,0.7,0.0,0.0,4.3
64,DeSean JacksonLV,1.9,31.2,0.2,0.2,0.8,0.0,0.0,4.2
65,Auden TateCIN,2.1,27.7,0.2,0.0,0.0,0.0,0.0,4.2
66,Dyami BrownWAS,2.4,31.2,0.2,0.2,0.8,0.0,0.0,4.1
67,Rashard HigginsCLE,2.0,31.1,0.2,0.0,0.0,0.0,0.0,4.1
68,Elijah MooreNYJ,2.0,28.0,0.2,0.0,0.0,0.0,0.0,4.0
69,Freddie SwainSEA,2.2,28.2,0.2,0.3,1.8,0.0,0.0,4.0
70,Collin JohnsonNYG,2.6,32.4,0.1,0.0,0.0,0.0,0.0,4.0
71,Parris CampbellIND,2.4,30.3,0.1,0.2,1.5,0.0,0.0,4.0
72,Quez WatkinsPHI,2.1,30.6,0.1,0.0,0.1,0.0,0.0,3.8
73,Chris ConleyHOU,2.5,30.8,0.1,0.0,0.2,0.0,0.0,3.8
74,Cedrick Wilson Jr.DAL,2.2,27.7,0.1,0.1,0.5,0.0,0.0,3.6
75,Kenny StillsNO,1.9,25.9,0.2,0.1,0.8,0.0,0.0,3.6
76,Juwan JohnsonNO,1.7,17.1,0.3,0.0,0.0,0.0,0.0,3.5
77,Amon-Ra St. BrownDET,2.3,27.9,0.1,0.0,0.1,0.0,0.0,3.5
78,Gabriel DavisBUF,1.5,23.8,0.2,0.0,0.0,0.0,0.0,3.5
79,Keelan Cole Sr.NYJ,1.9,25.8,0.1,0.0,0.1,0.0,0.0,3.4
80,Demarcus RobinsonKC,1.9,23.6,0.2,0.0,0.0,0.0,0.0,3.3
81,Donovan Peoples-JonesCLE,1.8,26.7,0.1,0.1,0.2,0.0,0.0,3.2
82,Josh ReynoldsDET,1.7,22.9,0.1,0.0,0.3,0.0,0.0,3.1
83,Albert WilsonMIA,1.8,20.4,0.1,0.0,1.5,0.0,0.0,3.0
84,Adam HumphriesWAS,2.4,24.2,0.1,0.0,0.1,0.0,0.0,3.0
85,Marcus JohnsonTEN,1.6,22.2,0.1,0.0,0.0,0.0,0.0,2.9
86,Jalen GuytonLAC,1.5,21.3,0.1,0.4,2.1,0.0,0.0,2.9
87,Marquise GoodwinCHI,1.4,21.9,0.1,0.2,1.0,0.0,0.0,2.8
88,Mohamed Sanu Sr.SF,2.0,22.6,0.1,0.0,0.1,0.0,0.0,2.8
89,Damiere ByrdCHI,1.6,21.4,0.1,0.1,0.2,0.0,0.0,2.7
90,Trinity BensonDET,1.5,18.2,0.1,0.0,0.0,0.0,0.0,2.4
91,Byron PringleKC,1.5,18.1,0.1,0.0,0.0,0.0,0.0,2.4
92,Ty MontgomeryNO,1.4,14.0,0.1,0.8,3.0,0.0,0.0,2.3
93,Mike ThomasCIN,1.3,16.1,0.1,0.0,0.0,0.0,0.0,2.2
94,Devin DuvernayBAL,1.3,15.7,0.1,0.1,0.6,0.0,0.0,2.0
95,Frank DarbyATL,1.3,14.9,0.1,0.0,0.5,0.0,0.0,2.0
96,Anthony SchwartzCLE,1.2,15.1,0.1,0.1,0.6,0.0,0.0,2.0
97,Denzel MimsNYJ,1.1,14.5,0.1,0.0,0.1,0.0,0.0,2.0
98,Tajae SharpeATL,1.1,14.3,0.1,0.0,0.0,0.0,0.0,1.9
99,C.J. BoardNYG,1.2,14.7,0.1,0.1,0.4,0.0,0.0,1.8
100,Trenton IrwinCIN,1.1,13.2,0.1,0.0,0.1,0.0,0.0,1.8
101,N'Keal HarryNE,1.3,12.7,0.1,0.1,0.7,0.0,0.1,1.8
102,Racey McMathTEN,1.0,12.8,0.1,0.0,0.1,0.0,0.0,1.8
103,Tavon AustinJAC,0.9,7.6,0.0,0.8,5.9,0.0,0.0,1.7
104,Trent SherfieldSF,0.9,11.3,0.1,0.0,0.1,0.0,0.0,1.6
105,KhaDarel HodgeDET,1.0,12.9,0.1,0.0,0.0,0.0,0.0,1.6
