,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Cooper KuppLAR,7.6,99.5,0.8,0.1,0.3,0.0,0.1,14.6
1,Justin JeffersonMIN,6.5,94.7,0.7,0.4,2.2,0.0,0.1,13.6
2,Tyreek HillKC,6.7,83.6,0.7,0.8,5.4,0.0,0.1,13.2
3,Cordarrelle PattersonATL,4.5,50.4,0.2,9.7,41.4,0.3,0.1,12.0
4,Keenan AllenLAC,7.1,82.4,0.5,0.0,0.1,0.0,0.1,11.4
5,Ja'Marr ChaseCIN,5.4,74.7,0.6,0.6,3.0,0.0,0.1,11.3
6,Stefon DiggsBUF,6.2,77.9,0.6,0.0,0.1,0.0,0.1,11.2
7,Diontae JohnsonPIT,6.5,76.9,0.5,0.2,1.5,0.0,0.1,10.9
8,Mike EvansTB,5.0,70.2,0.7,0.1,0.2,0.0,0.0,10.9
9,Brandon AiyukSF,5.4,72.6,0.5,0.7,3.2,0.0,0.1,10.6
10,Marquise BrownBAL,5.4,71.7,0.6,0.1,0.2,0.0,0.1,10.4
11,CeeDee LambDAL,5.1,68.7,0.6,0.4,2.2,0.0,0.1,10.3
12,Terry McLaurinWAS,5.6,73.1,0.5,0.1,0.5,0.0,0.1,10.3
13,Hunter RenfrowLV,6.2,71.3,0.5,0.2,1.1,0.0,0.1,10.2
14,Darnell MooneyCHI,5.3,70.0,0.4,0.3,2.0,0.0,0.0,9.9
15,Michael Pittman Jr.IND,5.2,68.3,0.5,0.1,0.5,0.0,0.0,9.9
16,Tyler LockettSEA,4.9,67.1,0.5,0.0,0.0,0.0,0.0,9.7
17,Jaylen WaddleMIA,6.3,65.9,0.5,0.3,1.5,0.0,0.1,9.7
18,Brandin CooksHOU,5.3,67.3,0.4,0.1,0.4,0.0,0.1,9.3
19,Deebo SamuelSF,1.8,32.2,0.1,3.8,29.7,0.4,0.1,9.0
20,Odell Beckham Jr.LAR,4.0,55.4,0.5,0.3,1.7,0.0,0.0,8.7
21,DeVonta SmithPHI,4.8,66.4,0.3,0.0,0.0,0.0,0.0,8.6
22,D.K. MetcalfSEA,4.3,62.5,0.4,0.0,0.1,0.0,0.0,8.6
23,Mike WilliamsLAC,4.5,63.6,0.3,0.0,0.0,0.0,0.0,8.3
24,Chase ClaypoolPIT,4.0,59.9,0.2,0.9,4.7,0.0,0.0,7.9
25,Elijah MooreNYJ,4.3,54.0,0.3,0.4,3.0,0.0,0.0,7.6
26,Kenny GolladayNYG,4.4,60.6,0.2,0.0,0.0,0.0,0.0,7.3
27,Amari CooperDAL,4.0,52.9,0.3,0.1,0.1,0.0,0.0,7.2
28,Tre'Quan SmithNO,3.5,47.5,0.4,0.0,0.1,0.0,0.0,7.1
29,Van JeffersonLAR,3.9,52.2,0.3,0.0,0.2,0.0,0.0,7.1
30,Jerry JeudyDEN,4.3,56.8,0.2,0.4,1.5,0.0,0.0,7.1
31,Marvin Jones Jr.JAC,4.1,52.4,0.3,0.0,0.0,0.0,0.0,6.8
32,Courtland SuttonDEN,4.0,55.4,0.2,0.0,0.1,0.0,0.0,6.7
33,Jakobi MeyersNE,5.5,59.1,0.1,0.0,0.1,0.0,0.0,6.7
34,DeVante ParkerMIA,4.0,50.4,0.2,0.0,0.0,0.0,0.0,6.5
35,Russell GageATL,4.8,50.8,0.2,0.1,0.2,0.0,0.1,6.3
36,Kendrick BourneNE,3.7,47.0,0.2,0.4,2.7,0.0,0.0,6.3
37,Christian KirkARI,3.7,47.2,0.2,0.1,0.6,0.0,0.0,6.3
38,Tyler BoydCIN,4.3,45.8,0.3,0.1,0.8,0.0,0.1,6.1
39,Tim PatrickDEN,3.5,46.6,0.2,0.0,0.0,0.0,0.0,6.1
40,Allen Robinson IICHI,3.8,47.2,0.2,0.0,0.0,0.0,0.0,5.9
41,Cole BeasleyBUF,4.3,46.7,0.2,0.0,0.0,0.0,0.0,5.8
42,Laviska Shenault Jr.JAC,4.4,44.9,0.2,0.8,3.4,0.0,0.1,5.8
43,Darius SlaytonNYG,3.6,45.6,0.2,0.2,0.3,0.0,0.0,5.7
44,Rashod BatemanBAL,3.3,44.6,0.2,0.0,0.3,0.0,0.0,5.6
45,Josh ReynoldsDET,3.5,45.2,0.2,0.0,0.2,0.0,0.0,5.6
46,T.Y. HiltonIND,3.1,41.0,0.2,0.0,0.0,0.0,0.0,5.4
47,Amon-Ra St. BrownDET,3.9,43.6,0.2,0.0,0.1,0.0,0.0,5.3
