rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Stephen Gostkowski,35.0,37.0,94.6,53.0,1.0,11.0,10.0,12.0,1.0,51.0,51.0,16.0,170.0,10.6,0.1,FA,K,2014
2.0,Cody Parkey,32.0,36.0,88.9,54.0,0.0,10.0,14.0,4.0,4.0,54.0,54.0,16.0,162.0,10.1,0.4,FA,K,2014
3.0,Dan Bailey,25.0,29.0,86.2,56.0,0.0,6.0,6.0,8.0,5.0,56.0,56.0,16.0,149.0,9.3,0.0,FA,K,2014
4.0,Stephen Hauschka,31.0,37.0,83.8,58.0,0.0,10.0,10.0,9.0,2.0,41.0,41.0,16.0,147.0,9.2,0.0,FA,K,2014
5.0,Mason Crosby,27.0,33.0,81.8,55.0,0.0,7.0,11.0,5.0,4.0,53.0,53.0,16.0,147.0,9.2,40.7,GB,K,2014
6.0,Randy Bullock,30.0,35.0,85.7,55.0,0.0,6.0,13.0,7.0,4.0,40.0,40.0,16.0,145.0,9.1,10.8,TEN,K,2014
7.0,Justin Tucker,29.0,34.0,85.3,55.0,0.0,10.0,11.0,4.0,4.0,42.0,42.0,16.0,141.0,8.8,98.0,BAL,K,2014
8.0,Nick Folk,32.0,39.0,82.1,55.0,0.0,13.0,7.0,9.0,3.0,23.0,23.0,16.0,134.0,8.4,81.8,NE,K,2014
9.0,Graham Gano,29.0,35.0,82.9,53.0,0.0,7.0,12.0,9.0,1.0,34.0,34.0,16.0,132.0,8.3,31.4,NYG,K,2014
10.0,Mike Nugent,26.0,33.0,78.8,49.0,0.0,6.0,10.0,10.0,0.0,39.0,39.0,16.0,127.0,7.9,1.0,FA,K,2014
11.0,Cairo Santos,25.0,30.0,83.3,53.0,1.0,10.0,6.0,7.0,1.0,38.0,38.0,16.0,122.0,7.6,2.1,CHI,K,2014
12.0,Greg Zuerlein,24.0,30.0,80.0,56.0,1.0,6.0,10.0,2.0,5.0,34.0,35.0,16.0,118.0,7.4,74.2,DAL,K,2014
13.0,Kai Forbath,24.0,27.0,88.9,49.0,0.0,11.0,6.0,7.0,0.0,31.0,31.0,16.0,110.0,6.9,3.0,LAR,K,2014
14.0,Matt Prater,21.0,26.0,80.8,52.0,0.0,8.0,4.0,6.0,3.0,21.0,21.0,11.0,96.0,8.7,52.8,ARI,K,2014
15.0,Ryan Succop,19.0,22.0,86.4,51.0,0.0,5.0,7.0,5.0,2.0,27.0,27.0,16.0,93.0,5.8,57.4,TB,K,2014
16.0,Brandon McManus,9.0,13.0,69.2,44.0,0.0,5.0,2.0,2.0,0.0,41.0,41.0,15.0,70.0,4.7,44.3,DEN,K,2014
17.0,Robbie Gould,9.0,12.0,75.0,45.0,0.0,4.0,2.0,3.0,0.0,28.0,28.0,12.0,58.0,4.8,22.5,SF,K,2014
18.0,Joey Slye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,WAS,K,2014
19.0,Eddy Pineiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,NYJ,K,2014
20.0,Greg Joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,MIN,K,2014
21.0,Jason Sanders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,MIA,K,2014
22.0,Matthew Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,JAC,K,2014
23.0,Michael Badgley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,IND,K,2014
24.0,Austin Seibert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,DET,K,2014
25.0,Matt Gay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,LAR,K,2014
26.0,Chris Blewitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,CLE,K,2014
27.0,Adam Vinatieri,30.0,31.0,96.8,53.0,0.0,10.0,10.0,7.0,3.0,50.0,50.0,16.0,0.0,0.0,0.2,FA,K,2014
28.0,Daniel Carlson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,LV,K,2014
29.0,Ty Long,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,LAC,K,2014
30.0,Ka'imi Fairbairn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,HOU,K,2014
31.0,Jonathan Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.1,FA,K,2014
32.0,Wil Lutz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,NO,K,2014
33.0,Sam Ficken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,TEN,K,2014
34.0,Jake Elliott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,PHI,K,2014
35.0,Zane Gonzalez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,CAR,K,2014
36.0,Harrison Butker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,KC,K,2014
