Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Tampa Bay Buccaneers,16,382,"5,127",13.4,320.4,71,33,3,3
Atlanta Falcons,16,459,"5,049",11.0,315.6,93,29,3,1
Dallas Cowboys,16,388,"4,902",12.6,306.4,62,30,4,2
Kansas City Chiefs,16,378,"4,690",12.4,293.1,83,30,5,3
Los Angeles Rams,16,397,"4,669",11.8,291.8,66,22,3,0
Los Angeles Chargers,16,394,"4,648",11.8,290.5,84,24,4,3
New Orleans Saints,16,418,"4,431",10.6,276.9,61,36,2,0
Detroit Lions,16,344,"4,187",12.2,261.7,75,28,2,2
New England Patriots,16,378,"4,153",11.0,259.6,59,25,4,2
Carolina Panthers,16,382,"4,134",10.8,258.4,52,17,2,1
Miami Dolphins,16,371,"4,117",11.1,257.3,51,22,7,4
Oakland Raiders,16,367,"4,110",11.2,256.9,75,22,4,3
Seattle Seahawks,16,341,"4,110",12.1,256.9,60,31,8,6
Houston Texans,16,355,"4,083",11.5,255.2,54,27,2,1
New York Giants,16,376,"4,070",10.8,254.4,75,30,5,2
Philadelphia Eagles,16,391,"4,063",10.4,253.9,53,27,6,4
San Francisco 49ers,16,331,"4,029",12.2,251.8,75,28,3,1
Jacksonville Jaguars,16,364,"4,023",11.1,251.4,70,24,1,1
Green Bay Packers,16,356,"4,017",11.3,251.1,74,26,6,3
Cincinnati Bengals,16,356,"3,994",11.2,249.6,66,18,7,5
Tennessee Titans,16,297,"3,956",13.3,247.3,91,29,4,1
Cleveland Browns,16,318,"3,847",12.1,240.4,89,22,2,2
Arizona Cardinals,16,355,"3,797",10.7,237.3,88,20,4,4
Minnesota Vikings,16,319,"3,729",11.7,233.1,66,26,6,3
Chicago Bears,16,371,"3,573",9.6,223.3,53,20,1,0
Buffalo Bills,16,299,"3,476",11.6,217.3,53,21,0,0
New York Jets,16,323,"3,443",10.7,215.2,92,19,3,2
Denver Broncos,16,312,"3,401",10.9,212.6,75,16,4,2
Baltimore Ravens,16,289,"3,350",11.6,209.4,83,37,2,1
Indianapolis Colts,16,307,"3,314",10.8,207.1,50,22,5,3
Pittsburgh Steelers,16,315,"3,214",10.2,200.9,79,18,7,4
Washington,16,298,"3,205",10.8,200.3,75,18,4,2
