Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Tampa Bay Buccaneers,16,362,"1,181",3.3,73.8,59,11,6,4
New York Jets,16,417,"1,391",3.3,86.9,66,12,8,2
Philadelphia Eagles,16,353,"1,442",4.1,90.1,68,13,8,5
New Orleans Saints,16,345,"1,461",4.2,91.3,49,12,7,6
Baltimore Ravens,16,340,"1,494",4.4,93.4,88,12,5,1
New England Patriots,16,365,"1,528",4.2,95.5,65,7,5,3
Indianapolis Colts,16,383,"1,567",4.1,97.9,60,8,4,2
Oakland Raiders,16,405,"1,570",3.9,98.1,30,15,3,2
Chicago Bears,16,414,"1,632",3.9,102.0,59,16,5,4
Buffalo Bills,16,388,"1,649",4.3,103.1,65,12,6,1
Dallas Cowboys,16,407,"1,656",4.1,103.5,59,14,7,5
Tennessee Titans,16,415,"1,672",4.0,104.5,69,14,5,3
Minnesota Vikings,16,404,"1,728",4.3,108.0,91,8,3,3
Pittsburgh Steelers,16,462,"1,753",3.8,109.6,38,7,14,7
Atlanta Falcons,16,421,"1,775",4.2,110.9,37,13,10,2
Denver Broncos,16,426,"1,783",4.2,111.4,81,9,1,0
San Francisco 49ers,16,401,"1,802",4.5,112.6,40,11,9,6
Los Angeles Chargers,16,429,"1,805",4.2,112.8,84,15,7,1
Los Angeles Rams,16,444,"1,809",4.1,113.1,44,15,8,3
New York Giants,16,469,"1,812",3.9,113.3,41,19,8,3
Detroit Lions,16,455,"1,855",4.1,115.9,45,13,7,5
Seattle Seahawks,16,388,"1,883",4.9,117.7,80,22,5,3
Green Bay Packers,16,411,"1,921",4.7,120.1,75,15,10,3
Arizona Cardinals,16,439,"1,922",4.4,120.1,76,9,3,2
Houston Texans,16,403,"1,937",4.8,121.1,63,12,4,3
Kansas City Chiefs,16,416,"2,051",4.9,128.2,68,14,6,2
Miami Dolphins,16,485,"2,166",4.5,135.4,60,15,8,1
Jacksonville Jaguars,16,435,"2,229",5.1,139.3,84,23,6,3
Carolina Panthers,16,445,"2,296",5.2,143.5,60,31,5,2
Cleveland Browns,16,463,"2,315",5.0,144.7,83,19,10,3
Washington,16,493,"2,339",4.7,146.2,67,14,8,3
Cincinnati Bengals,16,504,"2,382",4.7,148.9,57,17,5,2
