Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
Tampa Bay Buccaneers,16,382,630,60.6,"4,845",8.1,302.8,71,33,30,47,282,84.1
Dallas Cowboys,16,388,597,65.0,"4,751",8.2,296.9,62,30,11,23,151,99.5
Atlanta Falcons,16,459,684,67.1,"4,714",7.4,294.6,93,29,15,50,335,93.8
Los Angeles Rams,16,397,632,62.8,"4,499",7.4,281.2,66,22,17,22,170,85.6
Kansas City Chiefs,16,378,576,65.6,"4,498",8.1,281.1,83,30,5,25,192,104.4
Los Angeles Chargers,16,394,597,66.0,"4,426",7.8,276.6,84,24,20,34,222,89.0
New Orleans Saints,16,418,581,71.9,"4,244",7.6,265.3,61,36,6,25,187,110.2
New England Patriots,16,378,620,61.0,"3,961",6.7,247.6,59,25,9,28,192,88.2
Oakland Raiders,16,367,523,70.2,"3,926",7.9,245.4,75,22,8,29,184,101.0
Detroit Lions,16,344,571,60.2,"3,900",7.3,243.8,75,28,15,43,287,88.2
Philadelphia Eagles,16,391,613,63.8,"3,833",6.6,239.6,53,27,8,37,230,92.1
Miami Dolphins,16,371,615,60.3,"3,804",6.7,237.8,51,22,18,58,313,80.0
San Francisco 49ers,16,331,478,69.2,"3,792",8.4,237.0,75,28,13,36,237,103.1
Seattle Seahawks,16,341,517,66.0,"3,791",8.0,236.9,60,31,6,48,319,105.3
Houston Texans,16,355,534,66.5,"3,783",7.6,236.4,54,27,14,49,300,95.3
Jacksonville Jaguars,16,364,589,61.8,"3,760",6.8,235.0,70,24,8,42,263,90.0
Green Bay Packers,16,356,573,62.1,"3,733",7.0,233.3,74,26,4,36,284,95.3
New York Giants,16,376,607,61.9,"3,731",6.7,233.2,75,30,17,43,339,86.4
Cincinnati Bengals,16,356,616,57.8,"3,652",6.5,228.3,66,18,16,48,342,76.2
Carolina Panthers,16,382,633,60.3,"3,650",6.5,228.1,52,17,21,58,484,74.7
Tennessee Titans,16,297,448,66.3,"3,582",8.8,223.9,91,29,8,56,374,108.3
Cleveland Browns,16,318,539,59.0,"3,554",7.1,222.1,89,22,21,41,293,78.4
Minnesota Vikings,16,319,466,68.5,"3,523",8.0,220.2,66,26,8,28,206,103.9
Arizona Cardinals,16,355,554,64.1,"3,477",6.9,217.3,88,20,12,50,320,87.0
Chicago Bears,16,371,580,64.0,"3,291",6.2,205.7,53,20,12,45,282,83.9
Buffalo Bills,16,299,513,58.3,"3,229",6.8,201.8,53,21,12,40,247,82.8
Baltimore Ravens,16,289,440,65.7,"3,225",7.6,201.6,83,37,8,28,125,109.0
Denver Broncos,16,312,504,61.9,"3,115",6.7,194.7,75,16,10,41,286,84.1
New York Jets,16,323,521,62.0,"3,111",6.6,194.4,92,19,16,52,332,80.6
Indianapolis Colts,16,307,513,59.8,"3,108",6.5,194.3,50,22,10,32,206,85.0
Pittsburgh Steelers,16,315,510,61.8,"2,981",6.3,186.3,79,18,19,32,233,76.1
Washington,16,298,479,62.2,"2,812",6.7,175.8,75,18,13,50,393,83.0
