Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
San Francisco 49ers,16,318,519,61.3,"2,707",5.9,169.2,88,23,12,48,367,83.0
New England Patriots,16,303,536,56.5,"2,886",6.0,180.4,64,13,25,47,328,62.8
Pittsburgh Steelers,16,314,514,61.1,"3,113",6.7,194.6,58,23,20,54,342,79.7
Buffalo Bills,16,348,553,62.9,"3,123",6.2,195.2,61,15,14,44,298,78.8
Los Angeles Chargers,16,328,464,70.7,"3,204",7.3,200.3,70,21,11,30,190,96.7
Baltimore Ravens,16,318,544,58.5,"3,315",6.6,207.2,83,15,13,37,268,77.5
Cleveland Browns,16,318,513,62.0,"3,470",7.3,216.9,75,25,14,38,270,89.0
Kansas City Chiefs,16,352,582,60.5,"3,543",6.7,221.4,69,21,16,45,338,80.8
Chicago Bears,16,362,571,63.4,"3,554",6.6,222.1,75,17,10,32,242,85.2
Dallas Cowboys,16,370,569,65.0,"3,576",6.8,223.5,92,21,7,39,303,91.9
Denver Broncos,16,348,537,64.8,"3,609",7.1,225.6,75,19,10,40,213,89.8
Los Angeles Rams,16,348,562,61.9,"3,625",7.0,226.6,67,23,13,50,303,86.8
Carolina Panthers,16,347,544,63.8,"3,696",7.3,231.0,93,21,14,53,301,88.0
Green Bay Packers,16,326,546,59.7,"3,721",7.4,232.6,66,19,17,41,295,81.1
Minnesota Vikings,16,394,601,65.6,"3,737",6.8,233.6,60,23,17,48,362,86.1
Jacksonville Jaguars,16,327,517,63.3,"3,778",7.9,236.1,84,22,10,47,310,93.9
New York Jets,16,363,585,62.1,"3,779",6.8,236.2,89,25,12,35,222,88.0
Washington,16,371,540,68.7,"3,823",7.6,238.9,53,35,13,46,270,102.5
Philadelphia Eagles,16,348,571,60.9,"3,865",7.2,241.6,75,27,11,43,271,90.8
New Orleans Saints,16,371,603,61.5,"3,868",7.0,241.8,75,27,13,51,333,88.3
Cincinnati Bengals,16,308,499,61.7,"3,917",8.3,244.8,79,25,11,31,204,95.4
Atlanta Falcons,16,351,536,65.5,"3,918",7.7,244.9,71,28,12,28,219,96.9
Indianapolis Colts,16,394,562,70.1,"3,982",7.5,248.9,61,29,15,41,249,98.0
Tennessee Titans,16,386,598,64.5,"4,080",7.3,255.0,63,25,14,43,276,90.4
Oakland Raiders,16,337,526,64.1,"4,107",8.3,256.7,91,33,9,32,248,103.8
Miami Dolphins,16,344,545,63.1,"4,198",8.0,262.4,83,39,13,23,155,101.9
Seattle Seahawks,16,383,598,64.0,"4,223",7.4,263.9,58,19,16,28,184,85.6
New York Giants,16,369,556,66.4,"4,225",8.0,264.1,62,30,10,36,246,101.4
Houston Texans,16,375,586,64.0,"4,276",7.7,267.3,65,33,12,31,215,97.6
Tampa Bay Buccaneers,16,408,664,61.4,"4,322",7.0,270.1,75,30,12,47,325,90.0
Arizona Cardinals,16,421,601,70.1,"4,510",8.0,281.9,57,38,7,40,275,109.9
Detroit Lions,16,381,611,62.4,"4,551",7.8,284.4,66,33,7,28,188,99.6
