Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
San Francisco 49ers,16,318,"3,074",9.7,192.1,88,23,7,4
New England Patriots,16,303,"3,214",10.6,200.9,64,13,6,3
Los Angeles Chargers,16,328,"3,394",10.3,212.1,70,21,1,0
Buffalo Bills,16,348,"3,421",9.8,213.8,61,15,9,6
Pittsburgh Steelers,16,314,"3,455",11.0,215.9,58,23,3,2
Baltimore Ravens,16,318,"3,583",11.3,223.9,83,15,6,4
Cleveland Browns,16,318,"3,740",11.8,233.8,75,25,3,2
Chicago Bears,16,362,"3,796",10.5,237.3,75,17,4,2
Denver Broncos,16,348,"3,822",11.0,238.9,75,19,5,3
Dallas Cowboys,16,370,"3,879",10.5,242.4,92,21,3,2
Kansas City Chiefs,16,352,"3,881",11.0,242.6,69,21,2,1
Los Angeles Rams,16,348,"3,928",11.3,245.5,67,23,5,4
Carolina Panthers,16,347,"3,997",11.5,249.8,93,21,0,0
New York Jets,16,363,"4,001",11.0,250.1,89,25,2,1
Green Bay Packers,16,326,"4,016",12.3,251.0,66,19,4,2
Jacksonville Jaguars,16,327,"4,088",12.5,255.5,84,22,2,1
Washington,16,371,"4,093",11.0,255.8,53,35,3,1
Minnesota Vikings,16,394,"4,099",10.4,256.2,60,23,9,7
Cincinnati Bengals,16,308,"4,121",13.4,257.6,79,25,4,3
Philadelphia Eagles,16,348,"4,136",11.9,258.5,75,27,3,0
Atlanta Falcons,16,351,"4,137",11.8,258.6,71,28,3,0
New Orleans Saints,16,371,"4,201",11.3,262.6,75,27,2,2
Indianapolis Colts,16,394,"4,231",10.7,264.4,61,29,4,4
Miami Dolphins,16,344,"4,353",12.7,272.1,83,39,2,0
Oakland Raiders,16,337,"4,355",12.9,272.2,91,33,2,1
Tennessee Titans,16,386,"4,356",11.3,272.3,63,25,3,2
Seattle Seahawks,16,383,"4,407",11.5,275.4,58,19,7,3
New York Giants,16,369,"4,471",12.1,279.4,62,30,3,2
Houston Texans,16,375,"4,491",12.0,280.7,65,33,1,0
Tampa Bay Buccaneers,16,408,"4,647",11.4,290.4,75,30,5,4
Detroit Lions,16,381,"4,739",12.4,296.2,66,33,5,2
Arizona Cardinals,16,421,"4,785",11.4,299.1,57,38,5,3
