Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Baltimore Ravens,16,596,"3,296",5.5,206.0,63,21,12,5
San Francisco 49ers,16,498,"2,305",4.6,144.1,83,23,8,3
Tennessee Titans,16,445,"2,223",5.0,138.9,74,21,8,4
Seattle Seahawks,16,481,"2,200",4.6,137.5,59,15,11,7
Dallas Cowboys,16,449,"2,153",4.8,134.6,44,18,7,3
Minnesota Vikings,16,476,"2,133",4.5,133.3,75,19,10,4
Indianapolis Colts,16,471,"2,130",4.5,133.1,63,17,3,2
Buffalo Bills,16,465,"2,054",4.4,128.4,41,13,13,4
Houston Texans,16,434,"2,009",4.6,125.6,58,17,11,4
Arizona Cardinals,16,396,"1,990",5.0,124.4,80,18,3,2
Philadelphia Eagles,16,454,"1,939",4.3,121.2,65,16,9,4
Cleveland Browns,16,393,"1,901",4.8,118.8,88,15,5,2
Oakland Raiders,16,437,"1,893",4.3,118.3,60,13,9,5
Carolina Panthers,16,386,"1,819",4.7,113.7,84,20,7,4
Green Bay Packers,16,411,"1,795",4.4,112.2,56,18,3,2
New Orleans Saints,16,405,"1,738",4.3,108.6,40,12,3,1
Jacksonville Jaguars,16,389,"1,708",4.4,106.8,81,3,3,2
New England Patriots,16,447,"1,703",3.8,106.4,33,17,3,1
New York Giants,16,362,"1,685",4.7,105.3,68,11,9,5
Denver Broncos,16,409,"1,662",4.1,103.9,40,11,2,1
Detroit Lions,16,407,"1,649",4.1,103.1,44,7,5,3
Washington,16,356,"1,583",4.4,98.9,65,9,7,2
Kansas City Chiefs,16,375,"1,569",4.2,98.1,91,16,5,3
Tampa Bay Buccaneers,16,409,"1,521",3.7,95.1,49,15,6,3
Cincinnati Bengals,16,385,"1,517",3.9,94.8,41,9,3,0
Los Angeles Rams,16,401,"1,499",3.7,93.7,27,20,6,3
Chicago Bears,16,395,"1,458",3.7,91.1,55,8,5,3
Los Angeles Chargers,16,366,"1,453",4.0,90.8,40,12,7,4
Pittsburgh Steelers,16,395,"1,447",3.7,90.4,45,7,7,5
Atlanta Falcons,16,362,"1,361",3.8,85.1,28,10,4,2
New York Jets,16,383,"1,257",3.3,78.6,24,6,5,0
Miami Dolphins,16,349,"1,156",3.3,72.3,28,10,7,2
