,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Pat Freiermuth(PIT),5,6,43,8.6,13,0,2,0,0,0,0,1,16.3,16.3,56.7%
1,2,George Kittle(SF),6,8,101,16.8,29,0,1,0,0,0,1,1,14.1,14.1,99.7%
2,3,Travis Kelce(KC),5,8,68,13.6,25,0,1,0,0,0,0,1,12.8,12.8,100.0%
3,4,Donald Parham Jr.(LAC),3,3,39,13.0,19,0,1,0,0,0,0,1,9.9,9.9,0.7%
4,5,Stephen Anderson(LAC),4,4,39,9.8,23,0,1,0,0,0,0,1,9.9,9.9,0.2%
5,6,Evan Engram(NYG),3,3,38,12.7,30,0,1,0,0,0,0,1,9.8,9.8,28.5%
6,7,Darren Waller(LV),7,11,92,13.1,24,0,0,0,0,0,0,1,9.2,9.2,92.6%
7,8,Geoff Swaim(TEN),4,4,29,7.3,11,0,1,0,0,0,0,1,8.9,8.9,0.3%
8,9,Ryan Griffin(NYJ),4,7,28,7.0,13,0,1,0,0,0,0,1,8.8,8.8,0.6%
9,10,Cole Kmet(CHI),6,8,87,14.5,25,0,0,0,0,0,0,1,8.7,8.7,33.3%
10,11,Hunter Henry(NE),2,3,19,9.5,12,0,1,0,0,0,0,1,7.9,7.9,65.9%
11,12,David Njoku(CLE),1,3,18,18.0,18,0,1,0,0,0,0,1,7.8,7.8,12.9%
12,13,Jared Cook(LAC),4,4,48,12.0,23,0,0,0,0,0,0,1,6.8,6.8,50.2%
13,14,Kyle Pitts(ATL),3,7,62,20.7,39,0,0,0,0,0,0,1,6.2,6.2,97.4%
14,15,Jack Doyle(IND),1,2,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,2.2%
15,16,Dan Arnold(JAC),4,7,60,15.0,28,0,0,0,0,0,0,1,6.0,6.0,6.7%
16,17,Mike Gesicki(MIA),4,8,54,13.5,18,0,0,0,0,0,0,1,5.4,5.4,87.6%
17,18,Dalton Schultz(DAL),4,5,54,13.5,20,0,0,0,0,0,0,1,5.4,5.4,89.9%
18,19,Tyler Higbee(LAR),5,10,51,10.2,26,0,0,0,0,0,0,1,5.1,5.1,77.4%
19,20,Adam Trautman(NO),4,7,47,11.8,25,0,0,0,0,0,0,1,4.7,4.7,3.7%
20,21,Tyler Conklin(MIN),5,7,45,9.0,18,0,0,0,0,0,0,1,4.5,4.5,40.5%
21,22,Mark Andrews(BAL),5,10,44,8.8,13,0,0,0,0,0,0,1,4.4,4.4,99.9%
22,23,Dallas Goedert(PHI),3,6,43,14.3,21,0,0,0,0,0,0,1,4.3,4.3,89.8%
