,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Dawson Knox(BUF),3,3,32,10.7,24,0,2,0,0,0,0,1,15.2,15.2,87.2%
1,2,Jack Doyle(IND),6,7,81,13.5,22,0,1,0,0,0,0,1,14.1,14.1,2.2%
2,3,Dalton Schultz(DAL),3,7,46,15.3,32,0,1,0,0,0,0,1,12.6,12.6,89.9%
3,4,Mark Andrews(BAL),4,10,65,16.3,39,0,1,0,0,0,0,1,12.5,12.5,99.9%
4,5,Rob Gronkowski(TB),7,9,123,17.6,32,0,0,0,0,0,0,1,12.3,12.3,97.7%
5,6,Pat Freiermuth(PIT),4,4,40,10.0,15,0,1,0,0,0,0,1,10.0,10.0,56.7%
6,7,Gerald Everett(SEA),5,9,37,7.4,12,0,1,0,0,0,0,1,9.7,9.7,35.7%
7,8,David Njoku(CLE),3,5,35,11.7,20,0,1,0,0,0,0,1,9.5,9.5,12.9%
8,9,T.J. Hockenson(DET),3,3,35,11.7,17,0,1,0,0,0,0,1,9.5,9.5,57.4%
9,10,Jimmy Graham(CHI),2,3,34,17.0,17,0,1,0,0,0,0,1,9.4,9.4,0.8%
10,11,Jared Cook(LAC),2,5,25,12.5,16,0,1,0,0,0,0,1,8.5,8.5,50.2%
11,12,Brevin Jordan(HOU),3,3,23,7.7,13,0,1,0,0,0,0,1,8.3,8.3,1.4%
12,13,Chris Myarick(CIN),2,2,11,5.5,10,0,1,0,0,0,0,1,7.1,7.1,0.0%
13,14,Nick Vannett(NO),1,1,11,11.0,11,0,1,0,0,0,0,1,7.1,7.1,0.1%
14,15,Sean McKeon(DAL),1,1,10,10.0,10,0,1,0,0,0,0,1,7.0,7.0,0.0%
15,16,Cole Kmet(CHI),8,11,65,8.1,16,0,0,0,0,0,0,1,6.5,6.5,33.3%
16,17,Eric Saubert(DEN),1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,0.0%
17,18,Jonnu Smith(NE),3,4,49,16.3,20,0,0,1,9,0,0,1,5.8,5.8,22.7%
18,19,Harrison Bryant(CLE),3,3,50,16.7,41,0,0,0,0,0,0,1,5.0,5.0,0.2%
19,20,James O'Shaughnessy(JAC),3,5,29,9.7,21,0,0,0,0,0,0,1,4.9,4.9,1.7%
20,21,Evan Engram(NYG),3,6,37,12.3,20,0,0,0,0,0,0,1,3.7,3.7,28.5%
21,22,Durham Smythe(MIA),5,5,32,6.4,11,0,0,2,3,0,0,1,3.5,3.5,0.1%
22,23,Darren Waller(LV),2,5,33,16.5,21,0,0,0,0,0,0,1,3.3,3.3,92.6%
23,24,Logan Thomas(WAS),3,6,31,10.3,14,0,0,0,0,0,0,1,3.1,3.1,27.1%
24,25,Kyle Pitts(ATL),2,6,26,13.0,19,0,0,0,0,0,0,1,2.6,2.6,97.4%
25,26,Tyler Conklin(MIN),2,3,25,12.5,17,0,0,0,0,0,0,1,2.5,2.5,40.5%
26,27,Cameron Brate(TB),3,4,23,7.7,10,0,0,0,0,0,0,1,2.3,2.3,2.8%
27,28,Kylen Granson(IND),2,2,22,11.0,15,0,0,0,0,0,0,1,2.2,2.2,0.1%
28,29,Ryan Griffin(NYJ),3,4,20,6.7,10,0,0,0,0,0,0,1,2.0,2.0,0.6%
29,30,Will Dissly(SEA),2,2,19,9.5,13,0,0,0,0,0,0,1,1.9,1.9,0.2%
30,31,Stephen Anderson(LAC),2,2,18,9.0,13,0,0,0,0,0,0,1,1.8,1.8,0.2%
31,32,Mike Gesicki(MIA),3,3,17,5.7,7,0,0,0,0,0,0,1,1.7,1.7,87.6%
32,33,Hunter Henry(NE),2,5,16,8.0,9,0,0,0,0,0,0,1,1.6,1.6,65.9%
33,34,John Bates(WAS),1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.6%
34,35,George Kittle(SF),1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,99.7%
35,36,Josiah Deguara(GB),2,4,13,6.5,12,0,0,0,0,0,0,1,1.3,1.3,0.4%
36,37,Albert Okwuegbunam(DEN),1,2,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,1.0%
37,38,Noah Fant(DEN),3,4,12,4.0,7,0,0,0,0,0,0,1,1.2,1.2,80.3%
38,39,Charlie Woerner(SF),1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%
39,40,Chris Manhertz(JAC),1,2,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%
40,41,MyCole Pruitt(TEN),1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%
41,42,Zach Gentry(PIT),1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.2%
42,43,C.J. Uzomah(CIN),3,3,9,3.0,7,0,0,0,0,0,0,1,0.9,0.9,20.8%
43,44,Dan Arnold(JAC),1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,6.7%
44,45,Mo Alie-Cox(IND),1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,2.2%
45,46,Geoff Swaim(TEN),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.3%
46,47,Parker Hesse(ATL),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%
47,48,Anthony Firkser(TEN),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,3.7%
48,49,Donald Parham Jr.(LAC),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.7%
49,50,Tommy Tremble(CAR),1,3,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.3%
50,51,Marcedes Lewis(GB),2,3,4,2.0,2,0,0,0,0,0,0,1,0.4,0.4,0.2%
51,52,Foster Moreau(LV),1,5,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,23.7%
52,53,Tyler Higbee(LAR),1,5,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,77.4%
53,54,Matthew Orzech(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Ian Bunting(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Matt Sokol(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Austin Fort(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,58,Jody Fortson(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Mitchell Fraboni(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
59,60,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
60,61,Tommy Hudson(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,62,Kyle Markway(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,63,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,64,Charlie Taumoepeau(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,65,Noah Togiai(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,66,Nakia Griffin-Stewart(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
