Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Denver Broncos,16,306,"3,200",10.5,200.0,80,13,5,3
Houston Texans,16,319,"3,424",10.7,214.0,86,20,2,0
Jacksonville Jaguars,16,345,"3,627",10.5,226.7,64,20,1,0
Minnesota Vikings,16,332,"3,637",11.0,227.3,67,22,2,1
Arizona Cardinals,16,344,"3,739",10.9,233.7,71,21,2,1
Chicago Bears,16,342,"3,828",11.2,239.3,60,22,3,1
Buffalo Bills,16,306,"3,835",12.5,239.7,66,19,2,1
Seattle Seahawks,16,331,"3,884",11.7,242.8,80,16,2,1
Los Angeles Rams,16,378,"3,928",10.4,245.5,64,32,5,4
Baltimore Ravens,16,369,"3,947",10.7,246.7,79,28,1,1
Cincinnati Bengals,16,374,"3,985",10.7,249.1,74,22,3,1
San Francisco 49ers,16,322,"4,013",12.5,250.8,78,30,3,2
New England Patriots,16,368,"4,033",11.0,252.1,66,21,4,4
Philadelphia Eagles,16,333,"4,039",12.1,252.4,80,25,4,2
New York Jets,16,347,"4,077",11.7,254.8,84,30,2,1
Miami Dolphins,16,368,"4,101",11.1,256.3,77,30,6,4
Kansas City Chiefs,16,350,"4,120",11.8,257.5,76,23,6,4
Detroit Lions,16,399,"4,136",10.4,258.5,64,33,1,0
Pittsburgh Steelers,16,381,"4,141",10.9,258.8,95,20,4,3
Cleveland Browns,16,347,"4,173",12.0,260.8,63,36,1,0
San Diego Chargers,16,364,"4,217",11.6,263.6,64,21,3,3
Tampa Bay Buccaneers,16,347,"4,246",12.2,265.4,68,24,7,4
New York Giants,16,369,"4,260",11.5,266.3,71,15,5,2
Oakland Raiders,16,328,"4,267",13.0,266.7,98,27,5,1
Dallas Cowboys,16,425,"4,376",10.3,273.5,67,25,6,2
Washington Redskins,16,387,"4,383",11.3,273.9,54,22,2,2
Indianapolis Colts,16,378,"4,411",11.7,275.7,49,27,6,3
Atlanta Falcons,16,422,"4,495",10.7,280.9,58,31,6,0
Carolina Panthers,16,409,"4,561",11.2,285.1,87,27,4,1
Tennessee Titans,16,388,"4,585",11.8,286.6,58,25,1,1
New Orleans Saints,16,378,"4,593",12.2,287.1,66,27,7,6
Green Bay Packers,16,370,"4,603",12.4,287.7,73,32,3,1
