Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
New Orleans Saints,16,472,"5,258",11.1,328.6,98,38,7,2
Atlanta Falcons,16,374,"4,960",13.3,310.0,76,38,1,1
Washington Redskins,16,407,"4,948",12.2,309.3,80,25,4,2
Indianapolis Colts,16,370,"4,491",12.1,280.7,64,32,4,1
New England Patriots,16,368,"4,456",12.1,278.5,79,32,3,3
Green Bay Packers,16,403,"4,445",11.0,277.8,66,40,6,3
Arizona Cardinals,16,383,"4,425",11.6,276.6,80,28,5,3
Seattle Seahawks,16,368,"4,422",12.0,276.4,59,23,6,3
San Diego Chargers,16,349,"4,386",12.6,274.1,59,33,6,4
Pittsburgh Steelers,16,381,"4,377",11.5,273.6,72,33,1,0
Baltimore Ravens,16,439,"4,343",9.9,271.4,95,20,2,1
Detroit Lions,16,388,"4,327",11.2,270.4,73,24,1,0
Cincinnati Bengals,16,364,"4,206",11.6,262.9,86,18,4,4
Tampa Bay Buccaneers,16,355,"4,165",11.7,260.3,45,29,1,0
Chicago Bears,16,347,"4,139",11.9,258.7,64,19,5,2
Oakland Raiders,16,379,"4,137",10.9,258.6,75,29,4,0
Minnesota Vikings,16,414,"4,119",9.9,257.4,71,20,1,0
New York Giants,16,377,"4,027",10.7,251.7,75,26,7,4
Carolina Panthers,16,306,"3,962",12.9,247.6,88,21,2,2
Jacksonville Jaguars,16,369,"3,925",10.6,245.3,51,24,2,0
Denver Broncos,16,339,"3,914",11.5,244.6,76,20,8,7
Kansas City Chiefs,16,365,"3,914",10.7,244.6,80,19,5,1
Dallas Cowboys,16,325,"3,799",11.7,237.4,83,25,4,3
Philadelphia Eagles,16,380,"3,798",10.0,237.4,73,16,3,0
Tennessee Titans,16,307,"3,720",12.1,232.5,60,29,2,1
Miami Dolphins,16,316,"3,716",11.8,232.3,74,27,2,2
Cleveland Browns,16,338,"3,693",10.9,230.8,58,15,2,0
New York Jets,16,311,"3,645",11.7,227.8,69,16,3,3
Houston Texans,16,347,"3,418",9.9,213.6,53,15,2,1
Los Angeles Rams,16,312,"3,313",10.6,207.1,66,14,4,3
Buffalo Bills,16,286,"3,250",11.4,203.1,84,17,0,0
San Francisco 49ers,16,287,"3,166",11.0,197.9,75,21,7,4
