Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Buffalo Bills,16,492,"2,630",5.3,164.4,75,29,11,3
Dallas Cowboys,16,499,"2,396",4.8,149.8,60,24,9,2
Tennessee Titans,16,476,"2,187",4.6,136.7,75,16,10,4
San Francisco 49ers,16,458,"2,019",4.4,126.2,47,15,8,6
Atlanta Falcons,16,421,"1,928",4.6,120.5,75,20,3,1
Oakland Raiders,16,434,"1,922",4.4,120.1,75,17,8,4
New England Patriots,16,482,"1,872",3.9,117.0,44,19,8,2
Houston Texans,16,456,"1,859",4.1,116.2,45,8,8,2
Miami Dolphins,16,405,"1,824",4.5,114.0,62,14,11,2
Carolina Panthers,16,453,"1,814",4.0,113.4,47,16,6,4
Philadelphia Eagles,16,438,"1,813",4.1,113.3,30,16,9,4
New York Jets,16,418,"1,802",4.3,112.6,35,10,6,3
Cincinnati Bengals,16,446,"1,769",4.0,110.6,74,17,5,2
Pittsburgh Steelers,16,409,"1,760",4.3,110.0,60,13,6,1
Kansas City Chiefs,16,412,"1,748",4.2,109.3,70,15,5,4
New Orleans Saints,16,404,"1,742",4.3,108.9,75,17,2,2
Chicago Bears,16,380,"1,735",4.6,108.4,69,10,9,3
Arizona Cardinals,16,399,"1,732",4.3,108.3,58,20,11,5
Cleveland Browns,16,350,"1,712",4.9,107.0,85,13,12,5
Green Bay Packers,16,374,"1,701",4.5,106.3,61,11,5,3
Washington Redskins,16,379,"1,696",4.5,106.0,66,17,7,4
Jacksonville Jaguars,16,392,"1,631",4.2,101.9,57,8,9,5
Indianapolis Colts,16,409,"1,628",4.0,101.8,33,13,5,3
Tampa Bay Buccaneers,16,453,"1,616",3.6,101.0,45,8,8,4
Seattle Seahawks,16,403,"1,591",3.9,99.4,75,13,6,3
San Diego Chargers,16,398,"1,510",3.8,94.4,48,10,6,3
Denver Broncos,16,410,"1,484",3.6,92.8,64,11,5,2
Baltimore Ravens,16,367,"1,463",4.0,91.4,41,10,4,1
New York Giants,16,398,"1,412",3.5,88.3,25,6,2,1
Detroit Lions,16,350,"1,310",3.7,81.9,42,9,2,2
Los Angeles Rams,16,375,"1,252",3.3,78.3,30,9,6,2
Minnesota Vikings,16,380,"1,205",3.2,75.3,36,9,3,2
