Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Houston Texans,16,272,87,157,28,82,213,38.5,3,13,23.1,114,950
Arizona Cardinals,16,293,90,175,28,85,219,38.8,7,15,46.7,123,"1,010"
New England Patriots,16,294,81,190,23,76,206,36.9,7,18,38.9,113,930
Baltimore Ravens,16,294,74,190,30,75,214,35.1,11,16,68.8,95,900
New York Giants,16,298,82,191,25,84,238,35.3,7,14,50.0,104,853
Philadelphia Eagles,16,300,89,177,34,82,205,40.0,8,18,44.4,99,837
Minnesota Vikings,16,304,87,186,31,80,206,38.8,3,14,21.4,99,825
Jacksonville Jaguars,16,305,93,174,38,83,224,37.1,6,13,46.2,101,948
Denver Broncos,16,306,101,169,36,86,236,36.4,6,16,37.5,110,990
Seattle Seahawks,16,307,94,180,33,82,212,38.7,6,20,30.0,103,925
Pittsburgh Steelers,16,313,95,184,34,88,214,41.1,11,21,52.4,109,920
Oakland Raiders,16,318,94,188,36,78,198,39.4,4,15,26.7,115,"1,051"
New York Jets,16,318,86,203,29,84,210,40.0,2,10,20.0,74,650
Chicago Bears,16,322,99,188,35,85,210,40.5,10,14,71.4,103,959
Tennessee Titans,16,324,70,227,27,77,210,36.7,12,22,54.6,137,"1,191"
Los Angeles Rams,16,325,91,194,40,82,220,37.3,12,14,85.7,108,920
Tampa Bay Buccaneers,16,326,102,203,21,67,195,34.4,8,10,80.0,121,"1,061"
Cincinnati Bengals,16,327,95,196,36,86,217,39.6,9,19,47.4,105,950
Green Bay Packers,16,329,80,227,22,82,199,41.2,12,18,66.7,109,964
Carolina Panthers,16,329,90,223,16,80,211,37.9,9,13,69.2,112,907
Dallas Cowboys,16,330,79,226,25,77,197,39.1,9,14,64.3,90,784
San Diego Chargers,16,330,98,204,28,83,208,39.9,11,16,68.8,118,837
Detroit Lions,16,333,99,206,28,90,198,45.5,3,8,37.5,122,979
Buffalo Bills,16,338,122,183,33,82,205,40.0,4,14,28.6,106,884
Kansas City Chiefs,16,342,102,209,31,96,222,43.2,10,20,50.0,109,797
Miami Dolphins,16,349,109,199,41,77,213,36.2,9,16,56.3,109,919
Indianapolis Colts,16,353,93,225,35,80,193,41.5,3,8,37.5,125,"1,159"
New Orleans Saints,16,353,91,230,32,84,194,43.3,4,10,40.0,104,881
Atlanta Falcons,16,358,95,232,31,89,213,41.8,18,25,72.0,113,974
San Francisco 49ers,16,358,140,187,31,102,226,45.1,4,7,57.1,93,795
Cleveland Browns,16,364,121,220,23,93,206,45.2,9,12,75.0,104,930
Washington Redskins,16,368,109,225,34,97,208,46.6,9,16,56.3,100,"1,023"
