Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Dallas Cowboys,16,340,"1,336",3.9,83.5,36,9,8,3
Tennessee Titans,16,356,"1,413",4.0,88.3,68,10,5,2
New England Patriots,16,368,"1,417",3.9,88.6,45,6,11,2
New York Giants,16,397,"1,417",3.6,88.6,33,10,5,3
Baltimore Ravens,16,384,"1,430",3.7,89.4,85,10,10,5
Carolina Panthers,16,376,"1,465",3.9,91.6,75,11,5,3
Seattle Seahawks,16,441,"1,487",3.4,92.9,34,16,8,6
Green Bay Packers,16,376,"1,515",4.0,94.7,75,11,1,1
Arizona Cardinals,16,424,"1,518",3.6,94.9,49,16,11,4
San Diego Chargers,16,410,"1,567",3.8,97.9,40,20,6,3
New York Jets,16,428,"1,581",3.7,98.8,58,11,12,2
Houston Texans,16,397,"1,595",4.0,99.7,41,13,8,4
Pittsburgh Steelers,16,369,"1,600",4.3,100.0,67,15,5,3
New Orleans Saints,16,396,"1,626",4.1,101.6,75,19,5,4
Philadelphia Eagles,16,391,"1,652",4.2,103.3,72,10,2,1
Los Angeles Rams,16,424,"1,660",3.9,103.8,61,12,3,1
Atlanta Falcons,16,370,"1,672",4.5,104.5,55,15,6,4
Detroit Lions,16,389,"1,701",4.4,106.3,67,8,5,4
Jacksonville Jaguars,16,446,"1,703",3.8,106.4,75,17,7,3
Minnesota Vikings,16,404,"1,711",4.2,106.9,69,9,12,7
Cincinnati Bengals,16,412,"1,812",4.4,113.3,60,12,4,0
Tampa Bay Buccaneers,16,427,"1,875",4.4,117.2,42,15,4,2
Oakland Raiders,16,421,"1,881",4.5,117.6,64,18,11,4
Washington Redskins,16,423,"1,916",4.5,119.8,35,19,10,4
Indianapolis Colts,16,409,"1,926",4.7,120.4,57,12,4,1
Kansas City Chiefs,16,437,"1,938",4.4,121.1,44,10,8,4
Chicago Bears,16,445,"1,950",4.4,121.9,61,18,3,0
Denver Broncos,16,482,"2,085",4.3,130.3,70,15,8,3
Buffalo Bills,16,468,"2,130",4.6,133.1,57,21,10,4
Miami Dolphins,16,464,"2,247",4.8,140.4,60,12,7,3
Cleveland Browns,16,498,"2,283",4.6,142.7,74,18,3,0
San Francisco 49ers,16,548,"2,654",4.8,165.9,75,25,8,4
